 (Half Day),(نصف يوم)
CSS,CSS
CUST,CUST
CUSTMUM,CUSTMUM
Calculate Based On,حساب الربح بناء على
Calculate Total Score,حساب النتيجة الإجمالية
Calendar,تقويم
Calendar Events,الأحداث
Call,دعوة
Campaign,حملة
Campaign Name,اسم الحملة
Can only be exported by users with role 'Report Manager',لا يمكن إلا أن تصدر من قبل المستخدمين مع &#39;إدارة التقارير &quot;دور
Cancel,إلغاء
Cancel permission also allows the user to delete a document (if it is not linked to any other document).,إلغاء إذن كما يسمح للمستخدم حذف وثيقة (إذا لم يتم ربطه أي وثيقة أخرى).
Cancelled,إلغاء
Cannot ,لا يمكن
Cannot approve leave as you are not authorized to approve leaves on Block Dates.,لا يمكن الموافقة على ترك كما لا يحق لك الموافقة الأوراق في تواريخ بلوك.
Cannot change from,لا يمكن تغيير من
Cannot continue.,لا يمكن أن يستمر.
Cannot have two prices for same Price List,لا يمكن أن يكون سعرين لنفس قائمة الأسعار
Cannot map because following condition fails: ,لا يمكن تعيين بسبب فشل الشرط التالي:
Capacity,قدرة
Capacity Units,قدرة الوحدات
Carry Forward,المضي قدما
Carry Forwarded Leaves,تحمل أوراق واحال
Case No(s) already in use. Please rectify and try again.				Recommended <b>From Case No. = %s</b>,القضية رقم (ق) قيد الاستخدام بالفعل. يرجى تصحيح وحاول مرة أخرى. الموصى بها <b>من القضية رقم =٪ S</b>
Cash,نقد
Cash Voucher,قسيمة نقدية
Cash/Bank Account,النقد / البنك حساب
Categorize blog posts.,تصنيف بلوق وظيفة.
Category,فئة
Category Name,اسم التصنيف
Category of customer as entered in Customer master,فئة العملاء كما تم إدخالها في ماجستير العملاء
Cell Number,الخلية رقم
Center,مركز
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.",يجب أن لا يتم تغيير بعض الوثائق النهائية مرة واحدة، مثل الفاتورة على سبيل المثال. ويسمى <b>قدمت</b> الدولة النهائية لهذه الوثائق. يمكنك تقييد الأدوار التي يمكن أن تقدم.
Change UOM for an Item.,تغيير UOM للعنصر.
Change the starting / current sequence number of an existing series.,تغيير رقم تسلسل بدء / الحالي من سلسلة الموجودة.
Channel Partner,قناة الشريك
Charge,تهمة
Chargeable,تحمل
Chart of Accounts,دليل الحسابات
Chart of Cost Centers,بيانيا من مراكز التكلفة
Chat,الدردشة
Check,تحقق
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,تحقق أدوار ازل / المسندة إلى الملف. انقر على دور لمعرفة ما الأذونات التي الدور الذي.
Check all the items below that you want to send in this digest.,تحقق من كل العناصر التي تريد أدناه لإرسال ملخص في هذا.
Check how the newsletter looks in an email by sending it to your email.,التحقق من كيفية النشرة الإخبارية يبدو في رسالة بالبريد الالكتروني عن طريق إرساله إلى البريد الإلكتروني الخاص بك.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",تحقق مما إذا الفاتورة متكررة، قم بإلغاء المتكررة لوقف أو وضع نهاية التاريخ الصحيح
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",تحقق مما إذا كنت بحاجة الفواتير المتكررة التلقائي. بعد تقديم أي فاتورة المبيعات، وقسم التكراري تكون مرئية.
Check if you want to send salary slip in mail to each employee while submitting salary slip,تحقق مما إذا كنت ترغب في إرسال قسيمة الراتب في البريد إلى كل موظف أثناء قيامهم بتقديم قسيمة الراتب
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,التحقق من ذلك إذا كنت تريد لإجبار المستخدم لتحديد سلسلة قبل الحفظ. لن يكون هناك الافتراضي إذا قمت بتحديد هذا.
Check this if you want to send emails as this id only (in case of restriction by your email provider).,الاختيار هذا إذا كنت تريد أن ترسل رسائل البريد الإلكتروني في هذا المعرف فقط (في حالة تقييد من قبل مزود البريد الإلكتروني الخاص بك).
Check this if you want to show in website,التحقق من ذلك إذا كنت تريد أن تظهر في الموقع
Check this to disallow fractions. (for Nos),الاختيار هذه لكسور عدم السماح بها. (لNOS)
Check this to make this the default letter head in all prints,التحقق من ذلك لجعل هذه الرسالة الافتراضية الرأس في جميع الطبعات
Check this to pull emails from your mailbox,التحقق من ذلك لسحب رسائل البريد الإلكتروني من صندوق البريد
Check to activate,تحقق لتفعيل
Check to make Shipping Address,تحقق للتأكد عنوان الشحن
Check to make primary address,تحقق للتأكد العنوان الأساسي
Checked,فحص
Cheque,شيك
Cheque Date,تاريخ الشيك
Cheque Number,عدد الشيكات
Child Tables are shown as a Grid in other DocTypes.,وتظهر جداول الطفل بأنه في الشبكة DocTypes أخرى.
City,مدينة
City/Town,المدينة / البلدة
Claim Amount,المطالبة المبلغ
Claims for company expense.,مطالبات لحساب الشركة.
Class / Percentage,فئة / النسبة المئوية
Classic,كلاسيكي
Classification of Customers by region,تصنيف العملاء حسب المنطقة
Clear Cache & Refresh,مسح ذاكرة التخزين المؤقت وتحديث
Clear Table,الجدول واضح
Clearance Date,إزالة التاريخ
"Click on ""Get Latest Updates""",انقر على &quot;الحصول على آخر التحديثات&quot;
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,انقر على &#39;جعل مبيعات الفاتورة &quot;الزر لإنشاء فاتورة مبيعات جديدة.
Click on button in the 'Condition' column and select the option 'User is the creator of the document',انقر على زر في عمود &quot;الحالة&quot; وحدد الخيار &quot;المستخدم هو الخالق من وثيقة&quot;
Click to Expand / Collapse,انقر لتوسيع / ​​طي
Client,زبون
Close,أغلق
Closed,مغلق
Closing Account Head,إغلاق حساب رئيس
Closing Date,تاريخ الإنتهاء
Closing Fiscal Year,إغلاق السنة المالية
CoA Help,تعليمات لجنة الزراعة
Code,رمز
Cold Calling,ووصف الباردة
Color,اللون
Column Break,العمود استراحة
Comma separated list of email addresses,فاصلة فصل قائمة من عناوين البريد الإلكتروني
Comment,تعليق
Comment By,تعليق من جانب
Comment By Fullname,التعليق بواسطة الاسم بالكامل
Comment Date,التعليق تاريخ
Comment Docname,التعليق Docname
Comment Doctype,التعليق DOCTYPE
Comment Time,التعليق الوقت
Comments,تعليقات
Commission Rate,اللجنة قيم
Commission Rate (%),اللجنة قيم (٪)
Commission partners and targets,شركاء اللجنة والأهداف
Communication,اتصالات
Communication HTML,الاتصالات HTML
Communication History,الاتصال التاريخ
Communication Medium,الاتصالات متوسطة
Communication log.,سجل الاتصالات.
Company,شركة
Company Details,الشركة معلومات
Company History,نبذة عن تاريخ الشركة
Company History Heading,نبذة عن تاريخ الشركة عنوان
Company Info,معلومات عن الشركة
Company Introduction,الشركة مقدمة
Company Master.,ماجستير الشركة.
Company Name,اسم الشركة
Company Settings,إعدادات الشركة
Company branches.,فروع الشركة.
Company departments.,شركة الإدارات.
Company is missing or entered incorrect value,شركة مفقود أو دخلت قيمة غير صحيحة
Company mismatch for Warehouse,عدم تطابق الشركة للمستودع
