 (Half Day),(Poludnevni)
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Određene dokumente ne treba mijenjati jednom finalu, kao i račun za primjer. Konačno stanje za takvim dokumentima se zove <b>Postavio.</b> Možete ograničiti koje uloge mogu Submit."
Change UOM for an Item.,Promjena UOM za predmet.
Change the starting / current sequence number of an existing series.,Promjena polaznu / tekući redni broj postojeće serije.
Channel Partner,Channel Partner
Charge,Naboj
Chargeable,Naplativ
Chart of Accounts,Kontnog
Chart of Cost Centers,Grafikon troškovnih centara
Chat,Razgovor
Check,Provjeriti
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,Provjerite / Odznačite uloge dodijeljene profil. Kliknite na ulozi saznati što dozvole da uloga.
Check all the items below that you want to send in this digest.,Provjerite sve stavke u nastavku koje želite poslati u ovom svariti.
Check how the newsletter looks in an email by sending it to your email.,Pogledajte kako izgleda newsletter u e-mail tako da ga šalju na e-mail.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date","Provjerite je li ponavljajući fakture, poništite zaustaviti ponavljajući ili staviti odgovarajući datum završetka"
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.","Provjerite ako trebate automatske ponavljajuće fakture. Nakon odavanja prodaje fakturu, ponavljajućih sekcija će biti vidljiv."
Check if you want to send salary slip in mail to each employee while submitting salary slip,"Provjerite ako želite poslati plaće slip u pošti svakom zaposleniku, dok podnošenje plaće slip"
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Označite ovo ako želite prisiliti korisniku odabir seriju prije spremanja. Tu će biti zadana ako to provjerili.
Check this if you want to send emails as this id only (in case of restriction by your email provider).,"Provjerite to, ako želite poslati e-mail, jer to samo ID (u slučaju ograničenja po vašem e-mail usluga)."
Check this if you want to show in website,Označite ovo ako želite pokazati u web
Check this to disallow fractions. (for Nos),Provjerite to da ne dopušta frakcija. (Za br)
Check this to make this the default letter head in all prints,Provjerite to napraviti ovu glavu zadani slovo u svim otisaka
Check this to pull emails from your mailbox,Provjerite to povući e-pošte iz poštanskog sandučića
Check to activate,Provjerite za aktiviranje
Check to make Shipping Address,Provjerite otprema adresu
Check to make primary address,Provjerite primarnu adresu
Checked,Provjeren
Cheque,Ček
Cheque Date,Ček Datum
Cheque Number,Ček Broj
Child Tables are shown as a Grid in other DocTypes.,Dijete Tablice su prikazane kao Grid u drugim DocTypes.
City,Grad
City/Town,Grad / Mjesto
Claim Amount,Iznos štete
Claims for company expense.,Potraživanja za tvrtke trošak.
Class / Percentage,Klasa / Postotak
Classic,Klasik
Classification of Customers by region,Klasifikacija kupaca po regiji
Clear Cache & Refresh,Clear Cache &amp; Osvježi
Clear Table,Jasno Tablica
Clearance Date,Razmak Datum
"Click on ""Get Latest Updates""",Kliknite na &quot;dobiti najnovija ažuriranja&quot;
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,Kliknite na &quot;Make prodaje Račun &#39;gumb za stvaranje nove prodaje fakture.
Click on button in the 'Condition' column and select the option 'User is the creator of the document',Kliknite na gumb u &#39;hotela&#39; stupcu i odaberite opciju &#39;Korisnik je kreator dokument&#39;
Click to Expand / Collapse,Kliknite na Proširi / Sažmi
Client,Klijent
Close,Zatvoriti
Closed,Zatvoreno
Closing Account Head,Zatvaranje računa šefa
Closing Date,Datum zatvaranja
Closing Fiscal Year,Zatvaranje Fiskalna godina
CoA Help,CoA Pomoć
Code,Šifra
Cold Calling,Hladno pozivanje
Color,Boja
Column Break,Kolona Break
Comma separated list of email addresses,Zarez odvojen popis e-mail adrese
Comment,Komentirati
Comment By,Komentar
Comment By Fullname,Komentar FULLNAME
Comment Date,Komentar Datum
Comment Docname,Komentar Docname
Comment Doctype,Komentar DOCTYPE
Comment Time,Komentar Vrijeme
Comments,Komentari
Commission Rate,Komisija Stopa
Commission Rate (%),Komisija stopa (%)
Commission partners and targets,Komisija partneri i ciljevi
Communication,Komunikacija
Communication HTML,Komunikacija HTML
Communication History,Komunikacija Povijest
Communication Medium,Komunikacija srednje
Communication log.,Komunikacija dnevnik.
Company,Društvo
Company Details,Tvrtka Detalji
Company History,Povijest tvrtke
Company History Heading,Povijest tvrtke Naslov
Company Info,Podaci o tvrtki
Company Introduction,Tvrtka Uvod
Company Master.,Tvrtka Master.
Company Name,Ime tvrtke
Company Settings,Tvrtka Postavke
Company branches.,Tvrtka grane.
Company departments.,Tvrtka odjeli.
Company is missing or entered incorrect value,Tvrtka je nestao ili je ušao netočne vrijednosti
Company mismatch for Warehouse,Tvrtka Neslaganje za skladište
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,Tvrtka registracijski brojevi za svoju referencu. Primjer: PDV registracijski brojevi i sl.
Company registration numbers for your reference. Tax numbers etc.,Tvrtka registracijski brojevi za svoju referencu. Porezni brojevi itd.
Complaint,Prigovor
Complete,Dovršiti
Complete By,Kompletan Do
Completed,Dovršen
Completed Qty,Završen Kol
Completion Date,Završetak Datum
Completion Status,Završetak Status
Confirmed orders from Customers.,Potvrđeno narudžbe od kupaca.
Consider Tax or Charge for,Razmislite poreza ili pristojbi za
"Consider this Price List for fetching rate. (only which have ""For Buying"" as checked)",Razmislite ovom cjeniku za dobavljanje stopu. (Samo što su &quot;Za kupnju&quot; kao provjereni)
Considered as Opening Balance,Smatra početnog stanja
Considered as an Opening Balance,Smatra se kao početno stanje
Consultant,Konzultant
Consumed Qty,Potrošeno Kol
Contact,Kontaktirati
Contact Control,Kontaktirajte kontrolu
Contact Desc,Kontakt ukratko
Contact Details,Kontakt podaci
Contact Email,Kontakt e
Contact HTML,Kontakt HTML
Contact Info,Kontakt Informacije
Contact Mobile No,Kontaktirajte Mobile Nema
Contact Name,Kontakt Naziv
Contact No.,Kontakt broj
Contact Person,Kontakt osoba
Contact Type,Vrsta kontakta
Contact Us Settings,Kontaktirajte nas Settings
Contact in Future,Kontakt u budućnosti
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Kontakt opcije, poput &quot;Sales Query, Podrška upit&quot; itd jedni na novoj liniji ili odvojene zarezima."
Contacted,Kontaktirao
Content,Sadržaj
Content Type,Vrsta sadržaja
Content in markdown format that appears on the main side of your page,Sadržaj u smanjenje formatu koji se pojavljuje na glavnoj strani stranice
Content web page.,Sadržaj web stranica.
Contra Voucher,Contra bon
Contract End Date,Ugovor Datum završetka
Contribution (%),Doprinos (%)
Contribution to Net Total,Doprinos neto Ukupno
Control Panel,Upravljačka ploča
Conversion Factor,Konverzijski faktor
Conversion Rate,Stopa konverzije
Convert into Recurring Invoice,Pretvori u Ponavljajući fakture
Converted,Pretvoreno
Copy,Kopirajte
Copy From Item Group,Primjerak iz točke Group
Copyright,Autorsko pravo
Core,Srž
Cost Center,Troška
Cost Center Details,Troška Detalji
Cost Center Name,Troška Name
Cost Center is mandatory for item: ,Troška je obavezan za stavke:
Cost Center must be specified for PL Account: ,Troška mora biti navedeno za PL račun:
Costing,Koštanje
Country,Zemlja
Country Name,Država Ime
Create,Stvoriti
Create Bank Voucher for the total salary paid for the above selected criteria,Stvaranje Bank bon za ukupne plaće isplaćene za gore odabranih kriterija
Create Material Requests,Stvaranje materijalni zahtijevi
Create Production Orders,Stvaranje radne naloge
Create Receiver List,Stvaranje Receiver popis
Create Salary Slip,Stvaranje plaće Slip
Create Stock Ledger Entries when you submit a Sales Invoice,Otvori Stock stavke knjige kada podnijeti prodaje fakture
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.","Stvaranje cjenik iz Cjenika gospodara i unijeti standardne Ref. stope jedni protiv njih. Na izboru cjeniku u ponudu, prodajnog naloga ili otpremnici, odgovara ref stopa će biti preuzeta za tu stavku."
Create and Send Newsletters,Stvaranje i slati newslettere
Created Account Head: ,Objavljeno račun Voditelj:
Created By,Stvorio
Created Customer Issue,Objavljeno Kupac Issue
Created Group ,Objavljeno Group
Created Opportunity,Objavljeno Opportunity
Created Support Ticket,Objavljeno Podrška karata
Creates salary slip for above mentioned criteria.,Stvara plaće slip za gore navedene kriterije.
Credentials,Svjedodžba
Credit,Kredit
Credit Amt,Kreditne Amt
Credit Card Voucher,Kreditne kartice bon
Credit Controller,Kreditne kontroler
Credit Days,Kreditne Dani
Credit Limit,Kreditni limit
Credit Note,Kreditne Napomena
Credit To,Kreditne Da
Cross Listing of Item in multiple groups,Križ Oglas stavke u više grupa
Currency,Valuta
Currency Exchange,Mjenjačnica
Currency Format,Valuta Format
Currency Name,Valuta Ime
Currency Settings,Valuta Postavke
Currency and Price List,Valuta i cjenik
Currency does not match Price List Currency for Price List,Valuta ne odgovara Valuta cijene iz cjenika za Cjenika
Current Accommodation Type,Trenutni Tip smještaja
Current Address,Trenutna adresa
Current BOM,Trenutni BOM
Current Fiscal Year,Tekuće fiskalne godine
Current Stock,Trenutni Stock
Current Stock UOM,Trenutni kataloški UOM
Current Value,Trenutna vrijednost
Current status,Trenutni status
Custom,Običaj
Custom Autoreply Message,Prilagođena Automatski Poruka
Custom CSS,Prilagođena CSS
Custom Field,Prilagođena polja
Custom Message,Prilagođena poruka
Custom Reports,Prilagođena izvješća
Custom Script,Prilagođena skripta
Custom Startup Code,Prilagođena Pokretanje Šifra
Custom?,Prilagođena?
Customer,Kupac
Customer (Receivable) Account,Kupac (Potraživanja) račun
Customer / Item Name,Kupac / Stavka Ime
Customer Account,Kupac račun
Customer Account Head,Kupac račun Head
Customer Address,Kupac Adresa
Customer Addresses And Contacts,Kupac adrese i kontakti
Customer Code,Kupac Šifra
Customer Codes,Kupac Kodovi
Customer Details,Korisnički podaci
Customer Discount,Kupac Popust
Customer Discounts,Kupac Popusti
Customer Feedback,Kupac Ocjena
Customer Group,Kupac Grupa
Customer Group Name,Kupac Grupa Ime
Customer Intro,Kupac Uvod
Customer Issue,Kupac Issue
Customer Issue against Serial No.,Kupac izdavanja protiv serijski broj
Customer Name,Naziv klijenta
Customer Naming By,Kupac Imenovanje By
Customer Type,Vrsta klijenta
Customer classification tree.,Kupac klasifikacija stablo.
Customer database.,Kupac baze.
Customer's Currency,Kupca valuta
Customer's Item Code,Kupca Stavka Šifra
Customer's Purchase Order Date,Kupca narudžbenice Datum
Customer's Purchase Order No,Kupca Narudžbenica br
Customer's Vendor,Kupca Prodavatelj
Customer's currency,Kupca valuta
"Customer's currency - If you want to select a currency that is not the default currency, then you must also specify the Currency Conversion Rate.","Kupca valuta - Ako želite odabrati valutu koja nije zadana valuta, onda morate odrediti stopu pretvorbe valuta."
Customers Not Buying Since Long Time,Kupci ne kupuju jer dugo vremena
Customerwise Discount,Customerwise Popust
Customize,Prilagodite
Customize Form,Prilagodite obrazac
Customize Form Field,Prilagodba polja obrasca
"Customize Label, Print Hide, Default etc.","Prilagodite oznaku, print sakriti, Zadani itd."
Customize the Notification,Prilagodite Obavijest
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,Prilagodite uvodni tekst koji ide kao dio tog e-maila. Svaka transakcija ima zaseban uvodni tekst.
DN,DN
DN Detail,DN Detalj
Daily,Svakodnevno
Daily Event Digest is sent for Calendar Events where reminders are set.,"Dnevni događaji Digest je poslan za kalendar događanja, gdje su postavljene podsjetnici."
Daily Time Log Summary,Dnevno vrijeme Log Profila
Danger,Opasnost
Data,Podaci
Data missing in table,Podaci koji nedostaju u tablici
Database,Baza podataka
Database Folder ID,Baza mapa ID
Database of potential customers.,Baza potencijalnih kupaca.
Date,Datum
Date Format,Datum Format
Date Of Retirement,Datum odlaska u mirovinu
Date and Number Settings,Datum i broj Postavke
Date is repeated,Datum se ponavlja
Date must be in format,Datum mora biti u obliku
Date of Birth,Datum rođenja
Date of Issue,Datum izdavanja
Date of Joining,Datum Ulazak
Date on which lorry started from supplier warehouse,Datum na koji je kamion počeo od dobavljača skladištu
Date on which lorry started from your warehouse,Datum na koji je kamion počeo iz skladišta
Date on which the lead was last contacted,Datum na koji je vodstvo zadnje kontaktirao
Dates,Termini
Datetime,Datetime
Days for which Holidays are blocked for this department.,Dani za koje Praznici su blokirane za ovaj odjel.
Dealer,Trgovac
Dear,Drag
Debit,Zaduženje
Debit Amt,Rashodi Amt
Debit Note,Rashodi Napomena
Debit To,Rashodi za
Debit or Credit,Itnim
Deduct,Odbiti
Deduction,Odbitak
Deduction Type,Odbitak Tip
Deduction1,Deduction1
Deductions,Odbici
Default,Zadani
Default Account,Zadani račun
Default BOM,Zadani BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,"Zadani banka / Novčani račun će se automatski ažuriraju u POS računu, kada je ovaj mod odabran."
Default Bank Account,Zadani bankovni račun
Default Cash Account,Default Novac račun
Default Commission Rate,Zadani komisija Ocijenite
Default Company,Zadani Tvrtka
Default Cost Center,Zadani troška
Default Cost Center for tracking expense for this item.,Zadani troška za praćenje trošak za tu stavku.
Default Currency,Zadani valuta
Default Customer Group,Zadani Korisnik Grupa
