(Half Day),(Halber Tag)
Child Tables are shown as a Grid in other DocTypes.,Child-Tabellen werden als Grid in anderen DocTypes gezeigt.
City,City
City/Town,Stadt / Ort
Claim Amount,Schadenhöhe
Claims for expenses made on behalf of the organization.,Ansprüche für Aufwendungen im Namen der Organisation gemacht.
Class / Percentage,Klasse / Anteil
Classification of Customers by region,Klassifizierung der Kunden nach Regionen
Clear Cache & Refresh,Clear Cache & Refresh
Clear Pending,Löschen Pending
Clear Table,Tabelle löschen
Clearance Date,Clearance Datum
Click on button in the 'Condition' column and select the option 'User is the creator of the document',"Klicken Sie auf die Schaltfläche in der 'Bedingung' Spalte und wählen Sie die Option ""Benutzer ist der Schöpfer des Dokuments"""
Click on edit button to start a new report.,"Klicken Sie auf Bearbeiten, um einen neuen Bericht zu starten."
Click to Expand / Collapse,Klicken Sie auf Erweitern / Reduzieren
Client,Auftraggeber
Client Script,Clientskript
Closed,Geschlossen
Closing Account Head,Konto schließen Leiter
Closing Date,Einsendeschluss
Closing Fiscal Year,Schließen Geschäftsjahr
CoA Help,CoA Hilfe
Code,Code
Cold Calling,Cold Calling
Collections,Sammlungen
Color,Farbe
Column Break,Spaltenumbruch
Columns,Columns
Comma separated list of email addresses,Durch Komma getrennte Liste von E-Mail-Adressen
Comment,Kommentar
Comment By,Kommentar von
Comment By Fullname,Kommentar von Fullname
Comment Date,Kommentar Datum
Comment Docname,Kommentar DocName
Comment Doctype,Kommentar Doctype
Comment Time,Kommentar Zeit
Comments,Kommentare
Commission Rate,Kommission bewerten
Commission Rate (%),Kommission Rate (%)
Commission partners and targets,Kommission Partnern und Ziele
Communication,Kommunikation
Communication HTML,Communication HTML
Communication History,Communication History
Communication Log,Communication Log
Communication Medium,Communication Medium
Communication by,Kommunikation durch
Communication log.,Communication log.
Communication type,Art der Kommunikation
Company,Firma
Company Control,Firma Control
Company Details,Unternehmensprofil
Company History,Unternehmensgeschichte
Company History Heading,Unternehmensgeschichte Überschrift
Company Info,Firmeninfo
Company Introduction,Vorstellung der Gesellschaft
Company Name,Firmenname
Company branches.,Unternehmen Niederlassungen.
Company departments.,Abteilungen des Unternehmens.
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,Handelsregisternummer für Ihre Referenz. Beispiel: Umsatzsteuer-Identifikationsnummern usw.
Company registration numbers for your reference. Tax numbers etc.,Handelsregisternummer für Ihre Referenz. MwSt.-Nummern etc.
Complaint,Beschwerde
Complete By,Complete von
Completed,Fertiggestellt
Completion Date,Datum der Fertigstellung
Completion Status,Completion Status
Confirmed orders from Customers.,Bestätigte Bestellungen von Kunden.
Consider Tax or Charge for,Betrachten Sie Steuern oder Gebühren für die
"Consider this Price List for fetching rate. (only which have ""For Buying"" as checked)","Betrachten Sie diese Preisliste für das Abrufen bewerten. (Nur die haben ""für den Kauf"", wie geprüft)"
Consultant,Berater
Consumed Qty,Verbrauchte Menge
Contact,Kontakt
Contact Control,Kontakt Kontrolle
Contact Desc,Kontakt Desc
Contact Details,Kontakt Details
Contact Email,Kontakt per E-Mail
Contact HTML,Kontakt HTML
Contact Info,Kontakt Info
Contact Mobile No,Kontakt Mobile Kein
Contact Name,Kontakt Name
Contact No,Kontakt No
Contact No.,Kontakt Nr.
Contact Person,Ansprechpartner
Contact Type,Kontakt Typ
Contact Us Settings,Kontakt Settings
Contact in Future,Kontakt in Zukunft
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Kontakt Optionen, wie ""Sales Query, Support-Anfrage"" etc jeweils auf einer neuen Zeile oder durch Kommas getrennt."
Contacted,Kontaktiert
Content,Inhalt
Content Type,Content Type
Content in markdown format that appears on the main side of your page,"Content in markdown Format, das auf der Hauptseite Ihrer Seite"
Content web page.,Inhalt Web-Seite.
Contra Voucher,Contra Gutschein
Contract End Date,Contract End Date
Control Panel,Control Panel
Conversion Factor,Umrechnungsfaktor
Conversion Rate,Conversion Rate
Convert into Recurring Invoice,Konvertieren in Wiederkehrende Rechnung
Converted,Umgerechnet
Copyright,Copyright
Core,Kern
Cost Center,Kostenstellenrechnung
Cost Center Details,Kosten Center Details
Cost Center Name,Kosten Center Name
Cost Center must be specified for PL Account:,Cost Center muss für PL Konto angegeben werden:
Cost to Company,Kosten Unternehmen
Costing,Kalkulation
Country,Land
Country Name,Land Name
Create,Schaffen
Create Bank Voucher for the total salary paid for the above selected criteria,Erstellen Bankgutschein für die Lohnsumme für die oben ausgewählten Kriterien gezahlt
Create Production Orders,Erstellen Fertigungsaufträge
Create Receiver List,Erstellen Receiver Liste
Create Salary Slip,Erstellen Gehaltsabrechnung
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.","Erstellen Sie eine Preisliste von Preisliste Master und geben Sie Standard-ref Preise gegen jeden von ihnen. Bei Auswahl einer Preisliste Angebot, Auftrag oder Lieferschein, werden entsprechende ref für dieser Artikel abgeholt werden."
Create and Send Newsletters,Erstellen und Senden Newsletters
Created Account Head:,Erstellt Konto Head:
Created Customer Issue,Erstellt Kunde Ausgabe
Created Group,Erstellt Gruppe
Created Opportunity,Erstellt Chance
Created Support Ticket,Erstellt Support Ticket
Creates salary slip for above mentioned criteria.,Erstellt Gehaltsabrechnung für die oben genannten Kriterien.
Credit,Kredit
Credit Amt,Kredit-Amt
Credit Card Voucher,Credit Card Gutschein
Credit Controller,Credit Controller
Credit Days,Kredit-Tage
Credit Limit,Kreditlimit
Credit Note,Gutschrift
Credit To,Kredite an
Criteria Name,Criteria Namen
Cross List Item Group,Überqueren List Item-Gruppe
Cross Listing of Item in multiple groups,Überqueren Auflistung der Artikel in mehreren Gruppen
Currency,Währung
Currency & Price List,Währung & Preisliste
Currency Format,Währung Format
Currency Name,Währung Name
Current Accommodation Type,Aktuelle Unterkunftstyp
Current Address,Aktuelle Adresse
Current BOM,Aktuelle Stückliste
Current Fiscal Year,Laufenden Geschäftsjahr
Current Stock,Aktuelle Stock
Current Stock UOM,Aktuelle Stock UOM
Current Value,Aktueller Wert
Current status,Aktueller Status
Cust/Supp Address,Cust / Supp Adresse
Cust/Supp Name,Cust / Supp Namen
Custom,Brauch
Custom Autoreply Message,Benutzerdefinierte Autoreply Nachricht
Custom CSS,Custom CSS
Custom Field,Custom Field
Custom Message,Custom Message
Custom Query,Individuelle Abfrage
Custom Reports,Benutzerdefinierte Berichte
Custom Script,Custom Script
Custom Startup Code,Benutzerdefinierte Startup Code
Custom?,Custom?
Customer,Kunde
Customer / Item Name,Kunde / Item Name
Customer Account,Kundenkonto
Customer Address,Kundenadresse
Customer Addresses And Contacts,Kundenadressen und Kontakte
Customer Code,Customer Code
Customer Codes,Kunde Codes
Customer Details,Customer Details
Customer Feedback,Kundenfeedback
Customer Group,Customer Group
Customer Group Name,Kunden Group Name
Customer Intro,Kunden Intro
Customer Issue,Das Anliegen des Kunden
Customer Issue No,Kunden Issue No
Customer Issue against a Serial No (warranty).,Das Anliegen des Kunden gegen eine Serial No (Garantie).
Customer Master created by,Customer Master erstellt von
Customer Name,Name des Kunden
Customer Type,Kundentyp
Customer classification tree.,Einteilung der Kunden Baum.
Customer database.,Kunden-Datenbank.
Customer's Currency,Kunden Währung
Customer's Item Code,Kunden Item Code
Customer's Vendor,Kunden Hersteller
Customer's currency,Kunden Währung
"Customer's currency - If you want to select a currency that is not the default currency, then you must also specify the Currency Conversion Rate.","Kunden Währung - Wenn Sie eine Währung, die nicht die Standard-Währung auswählen wollen, dann müssen Sie auch die Currency Conversion Rate."
Customer/Supplier,Kunde / Lieferant
Customerwise Discount,Customerwise Discount
Customize,Anpassen
Customize Form,Formular anpassen
Customize Form Field,Passen Form Field
"Customize Label, Print Hide, Default etc.","Passen Label, Print Hide, Standard, etc."
Customize the Notification,Passen Sie die Benachrichtigung
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,"Passen Sie den einleitenden Text, der als Teil der E-Mail geht. Jede Transaktion hat einen separaten einleitenden Text."
DN,DN
DN Detail,DN Detailansicht
Daily,Täglich
"Daily, weekly, monthly email Digests","Täglich Digests wöchentlich, monatlich E-Mail-"
Danger,Gefahr
Data,Daten
Data Import,Datenimport
Data Import Tool,Daten Import Tool
Database,Datenbank
Database of potential customers.,Datenbank von potentiellen Kunden.
Date,Datum
Date Format,Datumsformat
Date Of Retirement,Datum der Pensionierung
Date is repeated,Datum wird wiederholt
Date of Birth,Geburtsdatum
Date of Issue,Datum der Ausgabe
Date of Joining,Datum der Verbindungstechnik
Date on which lorry started from supplier warehouse,"Datum, an dem Lastwagen startete von Lieferantenlager"
Date on which lorry started from your warehouse,"Datum, an dem Lkw begann von Ihrem Lager"
Date on which the lead was last contacted,"Datum, an dem das Blei letzten kontaktiert wurde"
Dates,Termine
Datetime,Datetime
Days for which Holidays are blocked for this department.,"Tage, für die Feiertage sind für diese Abteilung blockiert."
Dealer,Händler
Dear,Liebe
Debit,Soll
Debit Amt,Debit Amt
Debit Note,Lastschrift
Debit To,Debit Um
Debit or Credit,Debit-oder Kreditkarten
Deduct,Abziehen
Deduction,Abzug
Deduction Type,Abzug Typ
Deduction1,Deduction1
Deductions,Abzüge
Default,Default
Default Account,Default-Konto
Default BOM,Standard BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,"Standard Bank / Cash-Konto werden automatisch in POS Rechnung aktualisiert werden, wenn dieser Modus ausgewählt ist."
Default Bank Account,Standard Bank Account
Default Commission Rate,Standard Kommission bewerten
Default Company,Standard Unternehmen
Default Cost Center,Standard Kostenstelle
Default Cost Center for tracking expense for this item.,Standard Cost Center for Tracking Kosten für diesen Artikel.
Default Currency,Standardwährung
Default Customer Group,Standard Customer Group
Default Expense Account,Standard Expense Konto
Default Home Page,Standard Home Page
Default Home Pages,Standard-Home-Pages
Default Income Account,Standard Income Konto
Default Item Group,Standard Element Gruppe
Default Price List,Standard Preisliste
Default Price List Currency,Standard Preisliste Währung
Default Print Format,Standard Print Format
Default Product Category,Standard Produktkategorie
Default Purchase Account in which cost of the item will be debited.,Standard Purchase Konto in dem Preis des Artikels wird abgebucht.
Default Reserved Warehouse,Standard Reserved Warehouse
Default Sales Partner,Standard Vertriebspartner
Default Settings,Default Settings
Default Source Warehouse,Default Source Warehouse
Default Stock UOM,Standard Lager UOM
Default Supplier Type,Standard Lieferant Typ
Default Target Warehouse,Standard Ziel Warehouse
Default Territory,Standard Territory
Default Unit of Measure,Standard-Maßeinheit
Default Valuation Method,Standard Valuation Method
Default Value,Default Value
Default Warehouse Type,Standard Warehouse Typ
Default values are set across the role and can be over-ridden by user permissions.,"Default-Werte sind in der Rolle eingestellt und kann übersteuert werden, indem Benutzerberechtigungen."
"Default: ""Product Search""","Default: ""Product Search"""
DefaultValue,DefaultValue
Defaults,Defaults
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","Definieren Budget für diese Kostenstelle. Um Budget Aktion finden Sie unter <a href=""#!List/Company""> Firma Master </ a>"
Define Rule,Definieren Rule
Defines actions on states and the next step and allowed roles.,Definiert Aktionen auf Staaten und den nächsten Schritt und erlaubt Rollen.
Defines workflow states and rules for a document.,Definiert Workflow-Status und Regeln für ein Dokument.
Delete,Löschen
Delivered,Lieferung
Delivered Items To Be Billed,Liefergegenstände in Rechnung gestellt werden
Delivered Qty,Geliefert Menge
Delivery (shipment) to customers.,Lieferung (Versand) an die Kunden.
Delivery Address,Lieferanschrift
Delivery Date,Liefertermin
Delivery Details,Anlieferungs-Details
Delivery Document No,Lieferung Dokument Nr.
Delivery Document Type,Lieferung Document Type
Delivery Note,Lieferschein
Delivery Note Item,Lieferscheinposition
Delivery Note Items,Lieferscheinpositionen
Delivery Note Message,Lieferschein Nachricht
Delivery Note No,Lieferschein Nein
Delivery Note Packing Item,Lieferschein Verpackung Artikel
Delivery Note Required,Lieferschein erforderlich
Delivery Status,Lieferstatus
Delivery Time,Lieferzeit
Department,Abteilung
Depend on LWP,Verlassen Sie sich auf LWP
Depends On,Depends On
Depends on LWP,Abhängig von LWP
Descending,Absteigend
Description,Beschreibung
Description HTML,Beschreibung HTML
Description of a Job Opening,Beschreibung eines Job Opening
Desert,Wüste
Designation,Bezeichnung
Desktop,Desktop
Detail Name,Detail Name
Detailed Breakup of the totals,Detaillierte Breakup der Gesamtsummen
Details,Details
Did not add.,Haben Sie nicht hinzuzufügen.
Did not cancel,Haben Sie nicht abbrechen
Did not save,Nicht speichern
Difference,Unterschied
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Different ""Staaten"" in diesem Dokument existieren kann in. Gefällt mir ""Open"", ""Pending Approval"" etc."
Disabled,Behindert
Disabled Filters,Behinderte Filter
Discount  %,Discount%
Discount %,Discount%
Discount (%),Rabatt (%)
"Discount Fields will be available in Purchase Order, Purchase Receipt, Purchase Invoice","Discount Felder werden in der Bestellung, Kaufbeleg Kauf Rechnung verfügbar"
Discount(%),Rabatt (%)
Display,Anzeige
Display Settings,Display-Einstellungen
Display all the individual items delivered with the main items,Alle anzeigen die einzelnen Punkte mit den wichtigsten Liefergegenstände
Distinct unit of an Item,Separate Einheit eines Elements
Distribute transport overhead across items.,Verteilen Transport-Overhead auf Gegenstände.
Distribution Id,Verteilung Id
Distribution Name,Namen der Distribution
Distributor,Verteiler
Divorced,Geschieden
Do not show any symbol like $ etc next to currencies.,Zeigen keine Symbol wie $ etc neben Währungen.
Doc Name,Doc Namen
Doc Status,Doc-Status
Doc Type,Doc Type
DocField,DocField
