 (Half Day),(ครึ่งวัน)
Background Image,ภาพพื้นหลัง
Backup Manager,ผู้จัดการฝ่ายการสำรองข้อมูล
Backup Right Now,สำรอง Right Now
Backups will be uploaded to,การสำรองข้อมูลจะถูกอัปโหลดไปยัง
"Balances of Accounts of type ""Bank or Cash""",ยอดคงเหลือของบัญชีประเภท &quot;ธนาคารหรือเงินสด&quot;
Bank,ธนาคาร
Bank A/C No.,ธนาคาร / เลขที่ C
Bank Account,บัญชีเงินฝาก
Bank Account No.,เลขที่บัญชีธนาคาร
Bank Clearance Summary,ข้อมูลอย่างย่อ Clearance ธนาคาร
Bank Name,ชื่อธนาคาร
Bank Reconciliation,กระทบยอดธนาคาร
Bank Reconciliation Detail,รายละเอียดการกระทบยอดธนาคาร
Bank Reconciliation Statement,งบกระทบยอดธนาคาร
Bank Voucher,บัตรกำนัลธนาคาร
Bank or Cash,ธนาคารหรือเงินสด
Bank/Cash Balance,ธนาคารเงินสด / ยอดคงเหลือ
Banner,ธง
Banner HTML,HTML แบนเนอร์
Banner Image,ภาพแบนเนอร์
Banner is above the Top Menu Bar.,แบนเนอร์บนแถบเมนูด้านบน
Barcode,บาร์โค้ด
Based On,ขึ้นอยู่กับ
Basic Info,ข้อมูลพื้นฐาน
Basic Information,ข้อมูลพื้นฐาน
Basic Rate,อัตราขั้นพื้นฐาน
Basic Rate (Company Currency),อัตราขั้นพื้นฐาน (สกุลเงิน บริษัท )
Batch,ชุด
Batch (lot) of an Item.,แบทช์ (มาก) ของรายการ
Batch Finished Date,ชุดสำเร็จรูปวันที่
Batch ID,ID ชุด
Batch No,ชุดไม่มี
Batch Started Date,ชุดเริ่มวันที่
Batch Time Logs for Billing.,ชุดบันทึกเวลาสำหรับการเรียกเก็บเงิน
Batch Time Logs for billing.,ชุดบันทึกเวลาสำหรับการเรียกเก็บเงิน
Batch-Wise Balance History,ชุดฉลาดประวัติยอดคงเหลือ
Batched for Billing,batched สำหรับการเรียกเก็บเงิน
Be the first one to comment,เป็นคนแรกที่แสดงความเห็น
Begin this page with a slideshow of images,เริ่มต้นหน้านี้ให้กับสไลด์โชว์จากภาพ
Better Prospects,อนาคตที่ดีกว่า
Bill Date,วันที่บิล
Bill No,ไม่มีบิล
Bill of Material to be considered for manufacturing,บิลของวัสดุที่จะต้องพิจารณาสำหรับการผลิต
Bill of Materials,บิลของวัสดุ
Bill of Materials (BOM),บิลวัสดุ (BOM)
Billable,ที่เรียกเก็บเงิน
Billed,เรียกเก็บเงิน
Billed Amt,จำนวนจำนวนมากที่สุด
Billing,การเรียกเก็บเงิน
Billing Address,ที่อยู่การเรียกเก็บเงิน
Billing Address Name,ชื่อที่อยู่การเรียกเก็บเงิน
Billing Status,สถานะการเรียกเก็บเงิน
Bills raised by Suppliers.,ตั๋วเงินยกโดยซัพพลายเออร์
Bills raised to Customers.,ตั๋วเงินยกให้กับลูกค้า
Bin,ถัง
Bio,ไบโอ
Bio will be displayed in blog section etc.,ไบโอจะถูกแสดงในส่วนบล็อก ฯลฯ
Birth Date,วันเกิด
Blob,หยด
Block Date,บล็อกวันที่
Block Days,วันที่ถูกบล็อก
Block Holidays on important days.,ปิดกั้นหยุดในวันสำคัญ
Block leave applications by department.,ปิดกั้นการใช้งานออกโดยกรม
Blog Category,หมวดหมู่บล็อก
Blog Intro,แนะนำบล็อก
Blog Introduction,แนะนำบล็อก
