 (Half Day),(Demi-journée)
"Certain documents should not be changed once final, like an Invoice for example. The final state for such documents is called <b>Submitted</b>. You can restrict which roles can Submit.","Certains documents ne doivent pas être modifiés une fois définitif, comme une facture par exemple. L&#39;état final de ces documents est appelée <b>Soumis.</b> Vous pouvez restreindre les rôles qui peuvent Soumettre."
Change UOM for an Item.,Changer Emballage pour un article.
Change the starting / current sequence number of an existing series.,Changer le numéro de séquence de démarrage / courant d&#39;une série existante.
Channel Partner,Channel Partner
Charge,Charge
Chargeable,À la charge
Chart of Accounts,Plan comptable
Chart of Cost Centers,Carte des centres de coûts
Chat,Bavarder
Check,Vérifier
Check / Uncheck roles assigned to the Profile. Click on the Role to find out what permissions that Role has.,Vérifiez / Décochez les rôles assignés au profil. Cliquez sur le Rôle de savoir ce que ce rôle a des autorisations.
Check all the items below that you want to send in this digest.,Vérifiez tous les points ci-dessous que vous souhaitez envoyer dans ce recueil.
Check how the newsletter looks in an email by sending it to your email.,Vérifiez comment la newsletter regarde dans un e-mail en l&#39;envoyant à votre adresse email.
"Check if recurring invoice, uncheck to stop recurring or put proper End Date","Vérifiez si la facture récurrente, décochez-vous s&#39;arrête ou mis Date de fin correcte"
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.","Vérifiez si vous avez besoin automatiques factures récurrentes. Après avoir présenté la facture de vente, l&#39;article récurrent sera visible."
Check if you want to send salary slip in mail to each employee while submitting salary slip,Vérifiez si vous voulez envoyer le bulletin de salaire dans le courrier à chaque salarié lors de la soumission bulletin de salaire
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Cochez cette case si vous voulez forcer l&#39;utilisateur à sélectionner une série avant de l&#39;enregistrer. Il n&#39;y aura pas défaut si vous cochez cette.
Check this if you want to send emails as this id only (in case of restriction by your email provider).,Cochez cette case si vous souhaitez envoyer des emails que cette id seulement (en cas de restriction par votre fournisseur de messagerie).
Check this if you want to show in website,Cochez cette case si vous souhaitez afficher sur le site
Check this to disallow fractions. (for Nos),Cochez cette case pour interdire les fractions. (Pour les numéros)
Check this to make this the default letter head in all prints,Cochez cette case pour faire de cette tête de lettre par défaut dans toutes les copies
Check this to pull emails from your mailbox,Cochez cette case pour extraire des emails de votre boîte aux lettres
Check to activate,Vérifiez pour activer
Check to make Shipping Address,Vérifiez l&#39;adresse de livraison
Check to make primary address,Vérifiez l&#39;adresse principale
Checked,Vérifié
Cheque,Chèque
Cheque Date,Date de chèques
Cheque Number,Numéro de chèque
Child Tables are shown as a Grid in other DocTypes.,Tableaux pour enfants sont présentés comme une grille dans DocTypes autres.
City,Ville
City/Town,Ville /
Claim Amount,Montant réclamé
Claims for company expense.,Les réclamations pour frais de la société.
Class / Percentage,Classe / Pourcentage
Classic,Classique
Classification of Customers by region,Classification des clients par région
Clear Cache & Refresh,Effacer le cache et Actualiser
Clear Table,Effacer le tableau
Clearance Date,Date de la clairance
"Click on ""Get Latest Updates""",Cliquez sur &quot;Get Latest Updates&quot;
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,Cliquez sur le bouton pour créer une nouvelle facture de vente «Facture de vente Make &#39;.
Click on button in the 'Condition' column and select the option 'User is the creator of the document',Cliquez sur le bouton dans la &#39;condition&#39; colonne et sélectionnez l&#39;option «L&#39;utilisateur est le créateur du document &#39;
Click to Expand / Collapse,Cliquez ici pour afficher / masquer
Client,Client
Close,Proche
Closed,Fermé
Closing Account Head,Fermeture chef Compte
Closing Date,Date de clôture
Closing Fiscal Year,Clôture de l&#39;exercice
CoA Help,Aide CoA
Code,Code
Cold Calling,Cold Calling
Color,Couleur
Column Break,Saut de colonne
Comma separated list of email addresses,Comma liste séparée par des adresses e-mail
Comment,Commenter
Comment By,Commentaire En
Comment By Fullname,Commentaire En Fullname
Comment Date,Date de commentaires
Comment Docname,Commenter docName
Comment Doctype,Commenter Doctype
Comment Time,Commenter Temps
Comments,Commentaires
Commission Rate,Taux de commission
Commission Rate (%),Taux de commission (%)
Commission partners and targets,Partenaires de la Commission et des objectifs
Communication,Communication
Communication HTML,Communication HTML
Communication History,Histoire de la communication
Communication Medium,Moyen de communication
Communication log.,Journal des communications.
Company,Entreprise
Company Details,Détails de la société
Company History,Historique de l&#39;entreprise
Company History Heading,Historique de la société Cap
Company Info,Informations sur la société
Company Introduction,Société Introduction
Company Master.,Maître de l&#39;entreprise.
Company Name,Nom de la société
Company Settings,des paramètres de société
Company branches.,Filiales de l&#39;entreprise.
Company departments.,Départements de l&#39;entreprise.
Company is missing or entered incorrect value,Société est manquant ou entré une valeur incorrecte
Company mismatch for Warehouse,inadéquation de la société pour l&#39;entrepôt
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,"Numéros d&#39;immatriculation de la Société pour votre référence. Numéros d&#39;enregistrement TVA, etc: par exemple"
Company registration numbers for your reference. Tax numbers etc.,"Numéros d&#39;immatriculation de la Société pour votre référence. Numéros de taxes, etc"
Complaint,Plainte
Complete,Compléter
Complete By,Compléter par
Completed,Terminé
Completed Qty,Complété Quantité
Completion Date,Date d&#39;achèvement
Completion Status,L&#39;état d&#39;achèvement
Confirmed orders from Customers.,Confirmé commandes provenant de clients.
Consider Tax or Charge for,Prenons l&#39;impôt ou charge pour
"Consider this Price List for fetching rate. (only which have ""For Buying"" as checked)",Considérez cette liste de prix pour aller chercher de taux. (Seulement qui ont &quot;Pour achat&quot; comme vérifié)
Considered as Opening Balance,Considéré comme Solde d&#39;ouverture
Considered as an Opening Balance,Considéré comme un solde d&#39;ouverture
Consultant,Consultant
Consumed Qty,Quantité consommée
Contact,Contacter
Contact Control,Contactez contrôle
Contact Desc,Contacter Desc
Contact Details,Coordonnées
Contact Email,Contact Courriel
Contact HTML,Contacter HTML
Contact Info,Information de contact
Contact Mobile No,Contact Mobile Aucune
Contact Name,Contact Nom
Contact No.,Contactez No.
Contact Person,Personne à contacter
Contact Type,Type de contact
Contact Us Settings,Contactez-nous Réglages
Contact in Future,Contactez dans l&#39;avenir
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Options de contact, comme &quot;Requête ventes, du support requête&quot; etc chacun sur une nouvelle ligne ou séparées par des virgules."
Contacted,Contacté
Content,Teneur
Content Type,Type de contenu
Content in markdown format that appears on the main side of your page,Contenu au format markdown qui apparaît sur le côté principal de votre page
Content web page.,Page de contenu Web.
Contra Voucher,Bon Contra
Contract End Date,Date de fin du contrat
Contribution (%),Contribution (%)
Contribution to Net Total,Contribution à Total net
Control Panel,Panneau de configuration
Conversion Factor,Facteur de conversion
Conversion Rate,Taux de conversion
Convert into Recurring Invoice,Convertir en facture récurrente
Converted,Converti
Copy,Copiez
Copy From Item Group,Copy From Group article
Copyright,Droit d&#39;auteur
Core,Cœur
Cost Center,Centre de coûts
Cost Center Details,Coût Center Détails
Cost Center Name,Coût Nom du centre
Cost Center is mandatory for item: ,Centre de coûts est obligatoire pour objet:
Cost Center must be specified for PL Account: ,Centre de coûts doit être spécifiée pour compte PL:
Costing,Costing
Country,Pays
Country Name,Nom Pays
Create,Créer
Create Bank Voucher for the total salary paid for the above selected criteria,Créer Chèques de la Banque pour le salaire total payé pour les critères ci-dessus sélectionnées
Create Material Requests,Créer des demandes de matériel
Create Production Orders,Créer des ordres de fabrication
Create Receiver List,Créer une liste Receiver
Create Salary Slip,Créer bulletin de salaire
Create Stock Ledger Entries when you submit a Sales Invoice,Créer un registre des stocks entrées lorsque vous soumettez une facture de vente
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.","Créer une liste de prix Liste des Prix du maître et entrer les taux standards ref contre chacun d&#39;eux. Lors de la sélection d&#39;une liste de prix devis, commande client ou bon de livraison, le taux ref correspondant sera récupéré pour cet article."
Create and Send Newsletters,Créer et envoyer des bulletins
Created Account Head: ,Chef de Compte créé:
Created By,Créé par
Created Customer Issue,Numéro client créé
Created Group ,Groupe créé
Created Opportunity,Création Opportunity
Created Support Ticket,Support Ticket créé
Creates salary slip for above mentioned criteria.,Crée le bulletin de salaire pour les critères mentionnés ci-dessus.
Credentials,Lettres de créance
Credit,Crédit
Credit Amt,Crédit Amt
Credit Card Voucher,Bon de carte de crédit
Credit Controller,Credit Controller
Credit Days,Jours de crédit
Credit Limit,Limite de crédit
Credit Note,Note de crédit
Credit To,Crédit Pour
Cross Listing of Item in multiple groups,Cross Listing des articles dans plusieurs groupes
Currency,Monnaie
Currency Exchange,Change de devises
Currency Format,Format de devise
Currency Name,Nom de la devise
Currency Settings,Paramètres de devises
Currency and Price List,Monnaie et liste de prix
Currency does not match Price List Currency for Price List,Monnaie ne correspond pas Liste des Prix Devise de liste de prix
Current Accommodation Type,Type d&#39;hébergement actuel
Current Address,Adresse actuelle
Current BOM,Nomenclature actuelle
Current Fiscal Year,Exercice en cours
Current Stock,Stock actuel
Current Stock UOM,Emballage Stock actuel
Current Value,Valeur actuelle
Current status,Situation actuelle
Custom,Coutume
Custom Autoreply Message,Message personnalisé Autoreply
Custom CSS,CSS personnalisé
Custom Field,Champ personnalisé
Custom Message,Message personnalisé
Custom Reports,Rapports personnalisés
Custom Script,Script personnalisé
Custom Startup Code,Code de démarrage personnalisée
