 (Half Day),（半天）
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,公司註冊號碼，供大家參考。例如：增值稅註冊號碼等
Company registration numbers for your reference. Tax numbers etc.,公司註冊號碼，供大家參考。稅務號碼等
Complaint,抱怨
Complete,完整
Complete By,完成
Completed,已完成
Completed Production Orders,完成生產訂單
Completed Qty,完成數量
Completion Date,完成日期
Completion Status,完成狀態
Condition Field,條件字段
Confirmation Date,確認日期
Confirmed orders from Customers.,確認訂單的客戶。
Consider Tax or Charge for,考慮稅收或收費
Considered as Opening Balance,視為期初餘額
Considered as an Opening Balance,視為期初餘額
Consultant,顧問
Consumable Cost,耗材成本
Consumable cost per hour,每小時可消耗成本
Consumed Qty,消耗的數量
Contact,聯繫
Contact Control,接觸控制
Contact Desc,聯繫倒序
Contact Details,聯繫方式
Contact Email,聯絡電郵
Contact HTML,聯繫HTML
Contact Info,聯繫方式
Contact Mobile No,聯繫手機號碼
Contact Name,聯繫人姓名
Contact No.,聯絡電話
Contact Person,聯繫人
Contact Type,觸點類型：
Contact Us Settings,聯繫我們設置
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",聯繫人選項，如“銷售查詢，支持查詢”等每一個新行或以逗號分隔。
Content,內容
Content Type,內容類型
Content in markdown format that appears on the main side of your page,在降價格式的內容，在頁面的主側出現
Contra Voucher,魂斗羅券
Contract End Date,合同結束日期
Contribution (%),貢獻（％）
Contribution to Net Total,貢獻合計淨
Control Panel,控制面板
Controller,調節器
Conversion Factor,轉換因子
Conversion Factor of UOM: %s should be equal to 1. 						As UOM: %s is Stock UOM of Item: %s.,計量單位的換算係數：％s應該是等於1。由於計量單位：％s是股票UOM貨號：％s的。
Convert into Recurring Invoice,轉換成週期性發票
Convert to Group,轉換為集團
Convert to Ledger,轉換到總帳
Converted,轉換
Copy,複製
Copy From Item Group,複製從項目組
Copyright,版權
Core,核心
Cost Center,成本中心
Cost Center Details,成本中心詳情
Cost Center Name,成本中心名稱
Cost Center must be specified for PL Account: ,成本中心必須為特等賬戶指定：
Costing,成本核算
Count,算
Country,國家
Country Name,國家名稱
"Country, Timezone and Currency",國家，時區和貨幣
Create,創建
Create Bank Voucher for the total salary paid for the above selected criteria,創建銀行券為支付上述選擇的標準工資總額
Create Customer,創建客戶
Create Material Requests,創建材料要求
Create New,創建新
Create Opportunity,創造機會
Create Production Orders,創建生產訂單
Create Quotation,創建報價
Create Receiver List,創建接收器列表
Create Salary Slip,建立工資單
Create Stock Ledger Entries when you submit a Sales Invoice,創建庫存總帳條目當您提交銷售發票
Create and Send Newsletters,創建和發送簡訊
Created Account Head: ,創建帳戶頭：
Created By,創建人
Created Customer Issue,創建客戶問題
Created Group ,創建群組
Created Opportunity,創造機會
Created Support Ticket,創建支持票
Creates salary slip for above mentioned criteria.,建立工資單上面提到的標準。
Creation Date,創建日期
Creation Document No,文檔創建無
Creation Document Type,創建文件類型
Creation Time,創作時間
Credentials,證書
Credit,信用
Credit Amt,信用額
Credit Card Voucher,信用卡券
Credit Controller,信用控制器
Credit Days,信貸天
Credit Limit,信用額度
Credit Note,信用票據
Credit To,信貸
Credited account (Customer) is not matching with Sales Invoice,存入帳戶（客戶）不與銷售發票匹配
Cross Listing of Item in multiple groups,項目的多組交叉上市
Currency,貨幣
Currency Exchange,外幣兌換
Currency Format,貨幣格式
Currency Name,貨幣名稱
Currency Settings,貨幣設置
Currency and Price List,貨幣和價格表
Currency is missing for Price List,貨幣是缺少價格表
Current Address,當前地址
Current Address Is,當前地址是
Current BOM,當前BOM表
Current Fiscal Year,當前會計年度
Current Stock,當前庫存
Current Stock UOM,目前的庫存計量單位
Current Value,當前值
Current status,現狀
Custom,習俗
Custom Autoreply Message,自定義自動回复消息
Custom CSS,自定義CSS
Custom Field,自定義字段
Custom Message,自定義消息
Custom Reports,自定義報告
Custom Script,自定義腳本
Custom Startup Code,自定義啟動代碼
Custom?,自定義？
Customer,顧客
Customer (Receivable) Account,客戶（應收）帳
Customer / Item Name,客戶/項目名稱
Customer / Lead Address,客戶/鉛地址
Customer Account,客戶帳戶
Customer Account Head,客戶帳戶頭
Customer Acquisition and Loyalty,客戶獲得和忠誠度
Customer Address,客戶地址
Customer Addresses And Contacts,客戶的地址和聯繫方式
Customer Code,客戶代碼
Customer Codes,客戶代碼
Customer Details,客戶詳細信息
Customer Discount,客戶折扣
Customer Discounts,客戶折扣
Customer Feedback,客戶反饋
Customer Group,集團客戶
Customer Group / Customer,集團客戶/客戶
Customer Group Name,客戶群組名稱
Customer Intro,客戶簡介
Customer Issue,客戶問題
Customer Issue against Serial No.,客戶對發行序列號
Customer Name,客戶名稱
Customer Naming By,客戶通過命名
Customer classification tree.,客戶分類樹。
Customer database.,客戶數據庫。
Customer's Item Code,客戶的產品編號
Customer's Purchase Order Date,客戶的採購訂單日期
Customer's Purchase Order No,客戶的採購訂單號
Customer's Purchase Order Number,客戶的採購訂單編號
Customer's Vendor,客戶的供應商
Customers Not Buying Since Long Time,客戶不買，因為很長時間
Customers Not Buying Since Long Time ,客戶不買，因為很長時間
Customerwise Discount,Customerwise折扣
Customization,定制
Customize,定制
Customize Form,自定義表單
Customize Form Field,自定義表單域
"Customize Label, Print Hide, Default etc.",自定義標籤，打印隱藏，默認值等。
Customize the Notification,自定義通知
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,自定義去作為郵件的一部分的介紹文字。每筆交易都有一個單獨的介紹性文字。
DN,DN
DN Detail,DN詳細
Daily,每日
Daily Event Digest is sent for Calendar Events where reminders are set.,每日賽事精華被送往何處提醒設置日曆事件。
Daily Time Log Summary,每日時間記錄匯總
Danger,危險
Data,數據
Data Import,數據導入
Database Folder ID,數據庫文件夾的ID
Database of potential customers.,數據庫的潛在客戶。
Date,日期
Date Format,日期格式
Date Of Retirement,日退休
Date and Number Settings,日期和編號設置
Date is repeated,日期重複
Date must be in format,日期格式必須是
Date of Birth,出生日期
Date of Issue,發行日期
Date of Joining,加入日期
Date on which lorry started from supplier warehouse,日期從供應商的倉庫上貨車開始
Date on which lorry started from your warehouse,日期從倉庫上貨車開始
Dates,日期
Datetime,日期時間
Days Since Last Order,天自上次訂購
Days for which Holidays are blocked for this department.,天的假期被封鎖這個部門。
Dealer,零售商
Dear,親愛
Debit,借方
Debit Amt,借記額
Debit Note,繳費單
Debit To,借記
Debit and Credit not equal for this voucher: Diff (Debit) is ,借記和信用為這個券不等於：差異（借記）是
Debit or Credit,借記卡或信用卡
Debited account (Supplier) is not matching with \					Purchase Invoice,借記賬戶（供應商）不與\採購發票匹配
Deduct,扣除
Deduction,扣除
Deduction Type,扣類型
Deduction1,Deduction1
Deductions,扣除
Default,默認
Default Account,默認帳戶
Default BOM,默認的BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,默認銀行/現金帳戶將被自動在POS機發票時選擇此模式更新。
Default Bank Account,默認銀行賬戶
Default Buying Price List,默認情況下採購價格表
Default Cash Account,默認的現金賬戶
Default Company,默認公司
Default Cost Center,默認的成本中心
Default Cost Center for tracking expense for this item.,默認的成本中心跟踪支出為這個項目。
Default Currency,默認貨幣
Default Customer Group,默認用戶組
Default Expense Account,默認費用帳戶
Default Home Page,默認主頁
Default Home Pages,默認主頁
Default Income Account,默認情況下收入賬戶
Default Item Group,默認項目組
Default Price List,默認價格表
Default Print Format,默認打印格式
Default Purchase Account in which cost of the item will be debited.,默認帳戶購買該項目的成本將被扣除。
Default Settings,默認設置
Default Source Warehouse,默認信號源倉庫
Default Stock UOM,默認的庫存計量單位
Default Supplier,默認的供應商
Default Supplier Type,默認的供應商類別
Default Target Warehouse,默認目標倉庫
Default Territory,默認領地
Default UOM updated in item ,在項目的默認計量單位更新
Default Unit of Measure,缺省的計量單位
"Default Unit of Measure can not be changed directly \					because you have already made some transaction(s) with another UOM.\n \					To change default UOM, use 'UOM Replace Utility' tool under Stock module.",缺省的計量單位，不能直接更改\，因為你已經做了一些交易（S）與另一個計量單位。\ N \要更改默認的度量單位，使用“計量單位替換工具”下的庫存模塊的工具。
Default Valuation Method,默認的估值方法
Default Value,默認值
Default Warehouse,默認倉庫
Default Warehouse is mandatory for Stock Item.,默認倉庫是強制性的股票項目。
Default settings for Shopping Cart,對於購物車默認設置
