 (Half Day),（半天）
Contact Type,触点类型：
Contact Us Settings,联系我们设置
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",联系人选项，如“销售查询，支持查询”等每一个新行或以逗号分隔。
Content,内容
Content Type,内容类型
Content in markdown format that appears on the main side of your page,在降价格式的内容，在页面的主侧出现
Contra Voucher,魂斗罗券
Contract End Date,合同结束日期
Contribution (%),贡献（％）
Contribution to Net Total,贡献合计净
Control Panel,控制面板
Controller,调节器
Conversion Factor,转换因子
Conversion Factor of UOM: %s should be equal to 1. 						As UOM: %s is Stock UOM of Item: %s.,计量单位的换算系数：％s应该是等于1。由于计量单位：％s是股票UOM货号：％s的。
Convert into Recurring Invoice,转换成周期性发票
Convert to Group,转换为集团
Convert to Ledger,转换到总帐
Converted,转换
Copy,复制
Copy From Item Group,复制从项目组
Copyright,版权
Core,核心
Cost Center,成本中心
Cost Center Details,成本中心详情
Cost Center Name,成本中心名称
Cost Center must be specified for PL Account: ,成本中心必须为特等账户指定：
Costing,成本核算
Count,算
Country,国家
Country Name,国家名称
"Country, Timezone and Currency",国家，时区和货币
Create,创建
Create Bank Voucher for the total salary paid for the above selected criteria,创建银行券为支付上述选择的标准工资总额
Create Customer,创建客户
Create Material Requests,创建材料要求
Create New,创建新
Create Opportunity,创造机会
Create Production Orders,创建生产订单
Create Quotation,创建报价
Create Receiver List,创建接收器列表
Create Salary Slip,建立工资单
Create Stock Ledger Entries when you submit a Sales Invoice,创建库存总帐条目当您提交销售发票
Create and Send Newsletters,创建和发送简讯
Created Account Head: ,创建帐户头：
Created By,创建人
Created Customer Issue,创建客户问题
Created Group ,创建群组
Created Opportunity,创造机会
Created Support Ticket,创建支持票
Creates salary slip for above mentioned criteria.,建立工资单上面提到的标准。
Creation Date,创建日期
Creation Document No,文档创建无
Creation Document Type,创建文件类型
Creation Time,创作时间
Credentials,证书
Credit,信用
Credit Amt,信用额
Credit Card Voucher,信用卡券
Credit Controller,信用控制器
Credit Days,信贷天
Credit Limit,信用额度
Credit Note,信用票据
Credit To,信贷
Credited account (Customer) is not matching with Sales Invoice,存入帐户（客户）不与销售发票匹配
Cross Listing of Item in multiple groups,项目的多组交叉上市
Currency,货币
Currency Exchange,外币兑换
Currency Format,货币格式
Currency Name,货币名称
Currency Settings,货币设置
Currency and Price List,货币和价格表
Currency is missing for Price List,货币是缺少价格表
Current Address,当前地址
Current Address Is,当前地址是
Current BOM,当前BOM表
Current Fiscal Year,当前会计年度
Current Stock,当前库存
Current Stock UOM,目前的库存计量单位
Current Value,当前值
Current status,现状
Custom,习俗
Custom Autoreply Message,自定义自动回复消息
Custom CSS,自定义CSS
Custom Field,自定义字段
Custom Message,自定义消息
Custom Reports,自定义报告
Custom Script,自定义脚本
Custom Startup Code,自定义启动代码
Custom?,自定义？
Customer,顾客
Customer (Receivable) Account,客户（应收）帐
Customer / Item Name,客户/项目名称
Customer / Lead Address,客户/铅地址
Customer Account,客户帐户
Customer Account Head,客户帐户头
Customer Acquisition and Loyalty,客户获得和忠诚度
Customer Address,客户地址
Customer Addresses And Contacts,客户的地址和联系方式
Customer Code,客户代码
Customer Codes,客户代码
Customer Details,客户详细信息
Customer Discount,客户折扣
Customer Discounts,客户折扣
Customer Feedback,客户反馈
Customer Group,集团客户
Customer Group / Customer,集团客户/客户
Customer Group Name,客户群组名称
Customer Intro,客户简介
Customer Issue,客户问题
Customer Issue against Serial No.,客户对发行序列号
Customer Name,客户名称
Customer Naming By,客户通过命名
Customer classification tree.,客户分类树。
Customer database.,客户数据库。
Customer's Item Code,客户的产品编号
Customer's Purchase Order Date,客户的采购订单日期
Customer's Purchase Order No,客户的采购订单号
Customer's Purchase Order Number,客户的采购订单编号
Customer's Vendor,客户的供应商
Customers Not Buying Since Long Time,客户不买，因为很长时间
Customers Not Buying Since Long Time ,客户不买，因为很长时间
Customerwise Discount,Customerwise折扣
Customization,定制
Customize,定制
Customize Form,自定义表单
Customize Form Field,自定义表单域
"Customize Label, Print Hide, Default etc.",自定义标签，打印隐藏，默认值等。
Customize the Notification,自定义通知
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,自定义去作为邮件的一部分的介绍文字。每笔交易都有一个单独的介绍性文字。
DN,DN
DN Detail,DN详细
Daily,每日
Daily Event Digest is sent for Calendar Events where reminders are set.,每日赛事精华被送往何处​​提醒设置日历事件。
Daily Time Log Summary,每日时间记录汇总
Danger,危险
Data,数据
Data Import,数据导入
Database Folder ID,数据库文件夹的ID
Database of potential customers.,数据库的潜在客户。
Date,日期
Date Format,日期格式
Date Of Retirement,日退休
Date and Number Settings,日期和编号设置
Date is repeated,日期重复
Date must be in format,日期格式必须是
Date of Birth,出生日期
Date of Issue,发行日期
Date of Joining,加入日期
Date on which lorry started from supplier warehouse,日期从供应商的仓库上货车开始
Date on which lorry started from your warehouse,日期从仓库上货车开始
Dates,日期
Datetime,日期时间
Days Since Last Order,天自上次订购
Days for which Holidays are blocked for this department.,天的假期被封锁这个部门。
Dealer,零售商
Dear,亲爱
Debit,借方
Debit Amt,借记额
Debit Note,缴费单
Debit To,借记
Debit and Credit not equal for this voucher: Diff (Debit) is ,借记和信用为这个券不等于：差异（借记）是
Debit or Credit,借记卡或信用卡
Debited account (Supplier) is not matching with \					Purchase Invoice,借记账户（供应商）不与\采购发票匹配
Deduct,扣除
Deduction,扣除
Deduction Type,扣类型
Deduction1,Deduction1
Deductions,扣除
Default,默认
Default Account,默认帐户
Default BOM,默认的BOM
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,默认银行/现金帐户将被自动在POS机发票时选择此模式更新。
Default Bank Account,默认银行账户
Default Buying Price List,默认情况下采购价格表
Default Cash Account,默认的现金账户
Default Company,默认公司
Default Cost Center,默认的成本中心
Default Cost Center for tracking expense for this item.,默认的成本中心跟踪支出为这个项目。
Default Currency,默认货币
Default Customer Group,默认用户组
Default Expense Account,默认费用帐户
Default Home Page,默认主页
Default Home Pages,默认主页
Default Income Account,默认情况下收入账户
Default Item Group,默认项目组
Default Price List,默认价格表
Default Print Format,默认打印格式
Default Purchase Account in which cost of the item will be debited.,默认帐户购买该项目的成本将被扣除。
Default Settings,默认设置
Default Source Warehouse,默认信号源仓库
Default Stock UOM,默认的库存计量单位
Default Supplier,默认的供应商
Default Supplier Type,默认的供应商类别
Default Target Warehouse,默认目标仓库
Default Territory,默认领地
Default UOM updated in item ,在项目的默认计量单位更新
Default Unit of Measure,缺省的计量单位
"Default Unit of Measure can not be changed directly \					because you have already made some transaction(s) with another UOM.\n \					To change default UOM, use 'UOM Replace Utility' tool under Stock module.",缺省的计量单位，不能直接更改\，因为你已经做了一些交易（S）与另一个计量单位。\ N \要更改默认的度量单位，使用“计量单位替换工具”下的库存模块的工具。
Default Valuation Method,默认的估值方法
Default Value,默认值
Default Warehouse,默认仓库
Default Warehouse is mandatory for Stock Item.,默认仓库是强制性的股票项目。
Default settings for Shopping Cart,对于购物车默认设置
