 (Half Day),(Meio Dia)
Commission Rate (%),Taxa de Comissão (%)
Commission partners and targets,Parceiros de comissão e metas
Communication,Comunicação
Communication HTML,Comunicação HTML
Communication History,Histórico da comunicação
Communication Log,Log de Comunicação
Communication Medium,Meio de comunicação
Communication by,Comunicação por
Communication log.,Log de Comunicação.
Communication type,Tipo de comunicação
Company,Empresa
Company Control,Controle da Empresa
Company Details,Detalhes da Empresa
Company History,Histórico da Empresa
Company History Heading,Título do Histórico da Empresa
Company Info,Informações da Empresa
Company Introduction,Introdução da Empresa
Company Name,Nome da Empresa
Company branches.,Filiais da Empresa.
Company departments.,Departamentos da Empresa.
Company registration numbers for your reference. Example: VAT Registration Numbers etc.,"Números de registro da empresa para sua referência. Exemplo: CNPJ, IE, etc"
Company registration numbers for your reference. Tax numbers etc.,"Números da empresa de registro para sua referência. Números fiscais, etc"
Complaint,Reclamação
Complete By,Completar em
Completed,Concluído
Completed Qty,Qtde concluída
Completion Date,Data de Conclusão
Completion Status,Estado de Conclusão
Confirmed orders from Customers.,Pedidos confirmados de clientes.
Consider Tax or Charge for,Considere Imposto ou Encargo para
"Consider this Price List for fetching rate. (only which have ""For Buying"" as checked)",Considere esta Lista de Preços para a obtenção do valor. (Só onde &quot;Para Comprar&quot; estiver marcado)
Consultant,Consultor
Consumed Qty,Qtde consumida
Contact,Contato
Contact Control,Controle de Contato
Contact Desc,Descrição do Contato
Contact Details,Detalhes do Contato
Contact Email,E-mail do Contato
Contact HTML,Contato HTML
Contact Info,Informações para Contato
Contact Mobile No,Celular do Contato
Contact Name,Nome do Contato
Contact No.,Nº Contato.
Contact Person,Pessoa de Contato
Contact Type,Tipo de Contato
Contact Us Settings,Configurações do Fale Conosco
Contact in Future,Fale no Futuro
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Opções de contato, como &quot;Consulta de Vendas, Consulta de suporte&quot;, etc cada uma em uma nova linha ou separadas por vírgulas."
Contacted,Contactado
Content,Conteúdo
Content Type,Tipo de Conteúdo
Content in markdown format that appears on the main side of your page,Conteúdos em formato markdown que aparecem no lado principal de sua página
Content web page.,Página web de conteúdo.
Contra Voucher,Comprovante de Caixa
Contract End Date,Data Final do contrato
Control Panel,Painel de Controle
Conversion Factor,Fator de Conversão
Conversion Rate,Taxa de Conversão
Convert into Recurring Invoice,Converter em Nota Fiscal Recorrente
Converted,Convertido
Copyright,Direitos autorais
Core,Núcleo
Cost Center,Centro de Custos
Cost Center Details,Detalhes do Centro de Custo
Cost Center Name,Nome do Centro de Custo
Cost Center must be specified for PL Account: ,Centro de custos deve ser especificado para Conta PL:
Cost to Company,Custo para Empresa
Costing,Custeio
Country,País
Country Name,Nome do País
Create,Criar
Create Bank Voucher for the total salary paid for the above selected criteria,Criar Comprovante Bancário para o salário total pago para os critérios acima selecionados
Create Production Orders,Criar Ordens de Produção
Create Receiver List,Criar Lista de Receptor
Create Salary Slip,Criar Folha de Pagamento
"Create a price list from Price List master and enter standard ref rates against each of them. On selection of a price list in Quotation, Sales Order or Delivery Note, corresponding ref rate will be fetched for this item.","Criar uma lista de preços a partir do cadastro de Lista de Preços e introduzir valores padrão de ref. para cada um deles. Na seleção de uma lista de preços em Cotação, Ordem de Venda, ou Guia de Remessa, o valor de ref. correspondente será buscado para este item."
Create and Send Newsletters,Criar e enviar Newsletters
Created Account Head: ,Chefe Conta criada:
Created Customer Issue,Problema do Cliente Criado
Created Group ,Grupo criado
Created Opportunity,Oportunidade Criada
Created Support Ticket,Ticket de Suporte Criado
Creates salary slip for above mentioned criteria.,Cria folha de pagamento para os critérios acima mencionados.
Credit,Crédito
Credit Amt,Montante de Crédito
Credit Card Voucher,Comprovante do cartão de crédito
Credit Controller,Controlador de crédito
Credit Days,Dias de Crédito
Credit Limit,Limite de Crédito
Credit Note,Nota de Crédito
Credit To,Crédito Para
Criteria Name,Nome dos Critérios
Cross List Item Group,Grupo de Itens da Lista Cruzada
Cross Listing of Item in multiple groups,Listagem Cruzada dos itens em múltiplos grupos
Currency,Moeda
Currency & Price List,Moeda e Lista de Preços
Currency Format,Formato da Moeda
Currency Name,Nome da Moeda
Current Accommodation Type,Tipo de Acomodação atual
Current Address,Endereço Atual
Current BOM,LDM atual
Current Fiscal Year,Ano Fiscal Atual
Current Stock,Estoque Atual
Current Stock UOM,UDM de Estoque Atual
Current Value,Valor Atual
Current status,Estado Atual
Cust/Supp Address,Endereço do Cliente/Fornecedor
Cust/Supp Name,Nome do Cliente/Fornecedor
Custom,Personalizado
Custom Autoreply Message,Mensagem de resposta automática personalizada
Custom CSS,CSS personalizado
Custom Field,Campo personalizado
Custom Message,Mensagem personalizada
Custom Query,Consulta personalizada
Custom Reports,Relatórios personalizados
Custom Script,Script personalizado
Custom Startup Code,Código de inicialização personalizado
Custom?,Personalizado?
Customer,Cliente
Customer / Item Name,Cliente / Nome do item
Customer Account,Conta de Cliente
Customer Address,Endereço do cliente
Customer Addresses And Contacts,Endereços e contatos do cliente
Customer Code,Código do Cliente
Customer Codes,Códigos de Clientes
Customer Details,Detalhes do Cliente
Customer Feedback,Comentário do Cliente
Customer Group,Grupo de Clientes
Customer Group Name,Nome do grupo de Clientes
Customer Intro,Introdução do Cliente
Customer Issue,Questão do Cliente
Customer Issue No,Nº da Questão do Cliente
Customer Issue against a Serial No (warranty).,Questão do Cliente contra um Nº de Série (garantia).
Customer Master created by ,Cadastro de Clientes criado por
Customer Name,Nome do cliente
Customer Type,Tipo de Cliente
Customer classification tree.,Árvore de classificação do cliente.
Customer database.,Banco de dados do cliente.
Customer's Currency,Moeda do Cliente
Customer's Item Code,Código do Item do Cliente
Customer's Vendor,Vendedor do cliente
Customer's currency,Moeda do Cliente
"Customer's currency - If you want to select a currency that is not the default currency, then you must also specify the Currency Conversion Rate.","Moeda do cliente - Se você deseja selecionar uma moeda que não é a moeda padrão, então você também deve especificar a taxa de conversão."
Customer/Supplier,Cliente / Fornecedor
Customerwise Discount,Desconto referente ao Cliente
Customize,Personalize
Customize Form,Personalize Formulário
Customize Form Field,Personalize campo de formulário
"Customize Label, Print Hide, Default etc.","Personalize Etiquetas, Cabeçalhos, Padrões, etc"
Customize the Notification,Personalize a Notificação
Customize the introductory text that goes as a part of that email. Each transaction has a separate introductory text.,Personalize o texto introdutório que vai como uma parte do que e-mail. Cada transação tem um texto introdutório separado.
DN,DN
DN Detail,Detalhe DN
Daily,Diário
"Daily, weekly, monthly email Digests","Resumos diários, semanais e mensais por e-mail"
Danger,Perigo
Data,Dados
Data Import,Importação de Dados
Data Import Tool,Ferramenta de Importação de Dados
Database,Banco de dados
Database of potential customers.,Banco de dados de clientes potenciais.
Date,Data
Date Format,Formato da data
Date Of Retirement,Data da aposentadoria
Date is repeated,Data é repetido
Date of Birth,Data de Nascimento
Date of Issue,Data de Emissão
Date of Joining,Data da Efetivação
Date on which lorry started from supplier warehouse,Data em que o caminhão partiu do almoxarifado do fornecedor
Date on which lorry started from your warehouse,Data em que o caminhão partiu do seu almoxarifado
Date on which the lead was last contacted,Última data em que o Prospecto foi contatado
Dates,Datas
Datetime,Datetime
Days for which Holidays are blocked for this department.,Dias para que feriados são bloqueados para este departamento.
Dealer,Revendedor
Dear,Caro
Debit,Débito
Debit Amt,Montante de Débito
Debit Note,Nota de Débito
Debit To,Débito Para
Debit or Credit,Débito ou crédito
Deduct,Subtrair
Deduction,Dedução
Deduction Type,Tipo de dedução
Deduction1,Deduction1
Deductions,Deduções
Default,Padrão
Default Account,Conta Padrão
Default BOM,LDM padrão
Default Bank / Cash account will be automatically updated in POS Invoice when this mode is selected.,Conta do Banco/Caixa padrão será atualizada automaticamente na nota fiscal do PDV quando este modo for selecionado.
Default Bank Account,Conta Bancária Padrão
Default Commission Rate,Taxa de Comissão padrão
Default Company,Empresa padrão
Default Cost Center,Centro de Custo Padrão
Default Cost Center for tracking expense for this item.,Centro de Custo padrão para controle de despesas para este item.
Default Currency,Moeda padrão
Default Customer Group,Grupo de Clientes padrão
Default Expense Account,Conta Despesa padrão
Default Home Page,Página Inicial padrão
Default Home Pages,Páginas Iniciais padrão
Default Income Account,Conta de Rendimento padrão
Default Item Group,Grupo de Itens padrão
Default Price List,Lista de Preços padrão
Default Price List Currency,Moeda padrão da Lista de Preços
Default Print Format,Formato de impressão padrão
Default Product Category,Categoria de produto padrão
Default Purchase Account in which cost of the item will be debited.,Conta de compra padrão em que o custo do item será debitado.
Default Reserved Warehouse,Almoxarifado Reservado padrão
Default Sales Partner,Parceiro de vendas padrão
Default Settings,Configurações padrão
Default Source Warehouse,Almoxarifado da origem padrão
Default Stock UOM,Padrão da UDM do Estouqe
Default Supplier Type,Tipo de fornecedor padrão
Default Target Warehouse,Almoxarifado de destino padrão
Default Territory,Território padrão
Default Unit of Measure,Unidade de medida padrão
Default Valuation Method,Método de Avaliação padrão
Default Value,Valor padrão
Default Warehouse Type,Tipo de Almoxarifado padrão
"Default: ""Contact Us""",Default: &quot;Fale Conosco&quot;
"Default: ""Product Search""",Padrão: &quot;Pesquisa de Produto&quot;
DefaultValue,Valor padrão
Defaults,Padrões
"Define Budget for this Cost Center. To set budget action, see <a href=""#!List/Company"">Company Master</a>","Definir Orçamento para este Centro de Custo. Para definir ação do orçamento, consulte <a href=""#!List/Company"">Cadastro de Empresa</a>"
