 (Half Day),(Полудневни)
Check this if you want to send emails as this id only (in case of restriction by your email provider).,"Проверите ово ако желите да пошаљете е-пошту, јер то само за идентификацију (у случају ограничења услуге е-поште)."
Check this if you want to show in website,Проверите ово ако желите да прикажете у Веб
Check this to disallow fractions. (for Nos),Проверите то тако да одбаци фракција. (За НОС)
Check this to make this the default letter head in all prints,Проверите то да овај главу подразумевану писмо у свим отисцима
Check this to pull emails from your mailbox,Проверите то повући поруке из поштанског сандучета
Check to activate,Проверите да активирате
Check to make Shipping Address,Проверите да адреса испоруке
Check to make primary address,Проверите да примарну адресу
Checked,Проверен
Cheque,Чек
Cheque Date,Чек Датум
Cheque Number,Чек Број
Child Tables are shown as a Grid in other DocTypes.,Дете Столови су приказани као Грид у другим ДоцТипес.
