Pension Funds,Pensionifondid
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Rida # {0}: ostuarvet ei saa esitada olemasoleva vara {1} vastu
UOM coversion factor required for UOM: {0} in Item: {1},UOM-i jaoks vajalik UOM-i teisendustegur: {0} punktis: {1}
Please enter quantity for Item {0},Palun sisesta kogus {0}
Electricity Cost,Elektrienergia maksumus
Vehicle Service,Sõiduki hooldus
Making Stock Entries,Stock kirjete tegemine
Fixed Deposit Number,Fikseeritud hoiuse number
Very Coated,Väga kaetud
Initial Email Notification Sent,Esmane e-posti teade saadetud
For Warehouse,Ladu jaoks
"{0}: Employee email not found, hence email not sent","{0}: töötaja e-posti ei leitud, seega e-posti ei saadetud"
From Currency,Valuuta
Return / Debit Note,Tagasi- / deebeteatis
"Order in which sections should appear. 0 is first, 1 is second and so on.","Järjekord, milles sektsioonid peaksid ilmuma. 0 on esimene, 1 on teine ja nii edasi."
Create Sales Orders to help you plan your work and deliver on-time,"Looge müügitellimusi, et aidata teil oma tööd planeerida ja õigeaegselt pakkuda"
Something went wrong!,Midagi läks valesti!
Please select Healthcare Service,Palun valige Tervishoiuteenus
Apply / Approve Leaves,Rakenda / kinnita lehed
Applies to Company,Kehtib ettevõtte kohta
Row {0}: Bill of Materials not found for the Item {1},"Rida {0}: materjalide arv, mida ei leitud elemendi {1} jaoks"
Account Info,Konto andmed
Abbreviation,Lühend
Purchase Orders to Bill,Ostutellimused Billile
Total Net Weight,Netokaal kokku
Approving Role (above authorized value),Rollide kinnitamine (üle lubatud väärtuse)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Jätka lisamist
Agriculture Manager,Põllumajandusjuht
Batch Entries,Partii kirjed
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Palun lubage ostutellimusel kohaldatav ja tegelike kulude reserveerimisel kohaldatav
Gain/Loss on Asset Disposal,Kasum / kahjum vara võõrandamisel
Total Payment,Maksete kogusumma
Total Number of Depreciations,Amortisatsioonide koguarv
Fully Depreciated,Täielikult amortiseerunud
Creating Accounts,Kontode loomine
Item Variant Settings,Üksus Variant Seaded
Supplier Group Name,Tarnija grupi nimi
Sales Price List,Müügihindade nimekiri
How frequently?,Kui tihti?
Supplier Warehouse,Tarnija laos
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Ainult maksumõju (ei saa nõuda, kuid osa maksustatavast tulust)"
Purchase Defaults,Ostu vaikeväärtused
Contract Template,Lepingu mall
Serial No {0} does not belong to Batch {1},Seerianumber {0} ei kuulu partii {1}
Pending Leaves,Ootel lehed
Applied,Rakendatud
Consumption Details,Tarbimise üksikasjad
Loading Payment System,Maksesüsteemi laadimine
Maximum Assessment Score,Maksimaalne hindamise hind
Please set default template for Leave Status Notification in HR Settings.,Palun määrake vaikeseadete teatise vaikevorm HR seadetes.
Student Report Card,Student Report Card
Nature Of Supplies,Tarnete iseloom
Last Sync Datetime,Viimane sünkroonimise kuupäev
Code {0} already exist,Kood {0} on juba olemas
Based On Payment Terms,Maksetingimustel
This value is updated in the Default Sales Price List.,Seda väärtust uuendatakse vaikemüügihinnas.
Special Test Template,Eriline testimall
Create Variants,Loo variante
Default Expense Account,Vaikekulude konto
Please setup Students under Student Groups,Palun seadistage õpilased gruppide alla
Taxable Amount,Maksustatav summa
Lead Owner,Peamine omanik
Transfer,Ülekanne
Search Item (Ctrl + i),Otsingu üksus (Ctrl + i)
{0} Result submittted,{0} Tulemus esitatakse
Supplier of Goods or Services.,Kaupade või teenuste tarnija.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Uue konto nimi. Märkus. Ärge looge klientidele ja tarnijatele kontosid
Student Group or Course Schedule is mandatory,Üliõpilaste rühm või kursuste ajakava on kohustuslik
Sales Tax Template,Müügimaksu mall
Routing,Marsruutimine
Payment Reconciliation,Maksete kooskõlastamine
Match non-linked Invoices and Payments.,Sobita mitteseotud arved ja maksed.
Opening Balances,Avanemisjäägid
PAN,PAN
Operation Cost,Operatsiooni maksumus
Name of Beneficiary,Saaja nimi
New Address,Uus aadress
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Tütarettevõtted on {1} vabade töökohtade jaoks juba planeerinud {2} eelarves. {0} personaliplaan peaks eraldama rohkem vabu töökohti ja eelarvest {3} kui planeeritud tütarettevõtetele
From BOM,Alates BOM
Student Applicant,Õpilase taotleja
Leave Balance Before Application,Jäta tasakaal enne rakendust
Expiry date is mandatory for selected item,Kehtivusaeg on valitud elemendi puhul kohustuslik
Default Target Warehouse,Sihtotstarbeline ladu
Show Salary Slip,Näita palgatõendit
Percentage Allocation should be equal to 100%,Protsentuaalne jaotus peaks olema 100%
UOM Conversion Factor,UOM konversioonitegur
Stock cannot be updated against Purchase Receipt {0},Aktsiat ei saa värskendada ostukviitungiga {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Üksus Rida {0}: {1} {2} pole tabelis „{1}” olemas
2 Yearly,2 Aasta
Guardian Student,Guardian Student
Please add a Temporary Opening account in Chart of Accounts,Lisage ajutise avamise konto kontoplaani
Include in gross,Lisage brutosumma
Select Serial Numbers,Valige seerianumbrid
UOMs,UOMid
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Rida {0}: partei / konto ei sobi {1} / {2} -ga {3} {4}
Invalid reference {0} {1},Kehtetu viide {0} {1}
Corrective/Preventive,Korrigeeriv / ennetav
Work In Progress,Töö käib
Account Currency,Konto valuuta
credit_note_amt,credit_note_amt
Action Name,Toimingu nimi
Health Insurance,Tervisekindlustus
Max Strength,Maksimaalne tugevus
Duplicate customer group found in the cutomer group table,Duplikaadigrupi tabel sisaldab kliendirühma
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Lahkumist ei saa enne {0} rakendada / tühistada, kuna puhkusetasakaalu on juba üle kantud tulevase puhkuseeralduse kirjesse {1}"
Min Amount,Min. Summa
Rate With Margin (Company Currency),Hinda marginaaliga (ettevõtte valuuta)
Follow Up,Järelmeetmed
Shipping Country,Laevandusriik
Track this Delivery Note against any Project,Jälgige seda kättetoimetamisteatist mis tahes projekti vastu
Default Payroll Payable Account,Tasumisele kuuluv tasumata konto
Update Schedule,Uuenda ajakava
Updating estimated arrival times.,Hinnangulise saabumisaja uuendamine.
Finance Book Detail,Finantsraamatu üksikasjad
Serial No {0} does not belong to Delivery Note {1},Seerianumber {0} ei kuulu tarneteatele {1}
Please set Tax ID for the customer '%s',Palun määrake kliendi &#39;% s&#39; maksunumber
Logo,Logo
Include holidays within leaves as leaves,Lisage lehedeks puhkused lehtedena
Shift Request,Shift Request
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Ei saa märkida statsionaarse rekordi tühjakslaadimist, on täitmata arved {0}"
Scope,Reguleerimisala
Service Stop Date,Teenuse peatamise kuupäev
Publish Date,Avalda kuupäev
O+,O +
Work Order,Töökäsk
Transaction,Tehing
per hour,tunnis
This action will stop future billing. Are you sure you want to cancel this subscription?,"See tegevus peatab tulevase arvelduse. Kas olete kindel, et soovite selle tellimuse tühistada?"
State/UT Tax,Riik / TÜ maks
Scorecards,Tulemuskaardid
Projected Quantity as Source,Prognoositav kogus allikana
Parent Supplier Group,Emaettevõtte grupp
Rows with duplicate due dates in other rows were found: {0},Teistes ridades leiti dubleerivate tähtaegadega ridu: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Kontoplaani mall
Lead,Plii
KRA,KRA
Setup Institution,Seadistusasutus
Salary Register,Palkade register
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",Mitmeastmelise programmi puhul määratakse kliendid määratud astmele automaatselt oma kulutatud summa kohta
Posting Date,Postitamise kuupäev
Attendance From Date,Osavõtt kuupäevast
Program in the Fee Structure and Student Group {0} are different.,Programm tasude struktuuris ja õpilaste grupis {0} on erinevad.
GST Summary,GST kokkuvõte
Make Academic Term Mandatory,Tehke akadeemiline tähtaeg kohustuslikuks
Odometer Value (Last),Odomeetri väärtus (viimane)
Transfer an asset from one warehouse to another,Edastage vara ühest laost teise
Seating Capacity,Istekohtade arv
Employee Benefit Application Detail,Töötajate hüvitise taotluse üksikasjad
Employee {0} has already applied for {1} between {2} and {3} : ,Töötaja {0} on juba taotlenud {1} {2} ja {3} vahel:
Capital Work In Progress Account,Kapitalitöö pooleli
Benefit Type and Amount,Kasu tüüp ja summa
Please set default payable account for the company {0},Palun määrake ettevõtte {0} vaikimisi makstav konto
Holiday List,Puhkuste nimekiri
Total Time in Mins,Kellaaeg min
Shipping Amount,Saadetise summa
Total Absent,Kokku puudub
Reference Inv,Viide Inv
Row {0}: {1} is required to create the Opening {2} Invoices,Rida {0}: {1} on vajalik avamise {2} arvete loomiseks
Is Company Account,Kas ettevõtte konto
Do you want to notify all the customers by email?,Kas soovite teavitada kõiki kliente e-posti teel?
Sales,Müük
Tongue,Keel
Excise Entry,Aktsiisimaks
Clear filters,Selge filtrid
In Transit,Teel
Barcode {0} is not a valid {1} code,Triipkood {0} ei ole kehtiv {1} kood
Balance for Account {0} must always be {1},Konto {0} saldo peab alati olema {1}
Invalid Blanket Order for the selected Customer and Item,Valitud kliendi ja üksuse vigane tekkekorraldus
"If enabled, system will create the work order for the exploded items against which BOM is available.","Kui see on sisse lülitatud, loob süsteem töökorralduse plahvatusohtlikele üksustele, mille vastu BOM on saadaval."
Product Bundle,Toote pakett
New Exchange Rate,Uus vahetuskurss
Open To Do,Avatud tegema
Receiver List is empty. Please create Receiver List,Vastuvõtjate nimekiri on tühi. Palun looge vastuvõtja nimekiri
Current Liabilities,Jooksvad kohustused
ERPNext Demo,ERPNext Demo
Other Risk Factors,Muud riskitegurid
To Range,Vahemikus
{0} applicable after {1} working days,{0} rakendatav pärast {1} tööpäeva
Task Description,Ülesande kirjeldus
SWIFT Number,SWIFTi number
Show Payment Schedule in Print,Näita maksegraafikut printimisel
Apply Tax Withholding Amount,Rakendage maksu kinnipeetavat summat
Supplier Scorecard Standing,Tarnija tulemustabel seisab
Quality Inspection Reading,Kvaliteedikontrolli lugemine
Valid number of days,Kehtiv päevade arv
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Kohandatud allkiri printimisel
Procedures,Menetlused
Open Issues,Avatud küsimused
Series for Asset Depreciation Entry (Journal Entry),Varade amortisatsiooniregistri seeria (päevikukirje)
Occupancy Status,Hõivatuse staatus
Privilege Leave,Privilegeeritus
Current Invoice End Date,Praegune arve lõppkuupäev
Collected Time,Kogutud aeg
Please select BOM for Item in Row {0},Valige reas {0} üksuse jaoks BOM
Expense Approver,Kulude heakskiitja
New Transactions,Uued tehingud
Payable Amount,Maksmisele kuuluv summa
All Supplier Contact,Kõik tarnija kontaktid
Quotation {0} not of type {1},Tsitaat {0} ei ole {1} tüüpi
Leave Type {0} is not encashable,Lahkumistüüp {0} ei ole kaasas
Fulfilment Status,Täitmise staatus
Unsubscribe from this Email Digest,Tühista selle meilisõnumi tellimine
{0} {1} created,{0} {1} loodud
Person Responsible,Vastutav isik
Asset Category,Varade kategooria
Limit Percent,Piirake protsenti
Cash Flow Mapping Accounts,Rahavoogude kaardistamise kontod
Select Serial No,Valige Seerianumber
Sales Return,Müügitulus
No record found,Salvestust ei leitud
Expense Approvers,Kulude heakskiitjad
Group same items,Grupeerige samad elemendid
Parent Company,Emaettevõte
Reminder,Meeldetuletus
Bank Overdraft Account,Panga arvelduskonto konto
Difference (Dr - Cr),Erinevus (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group","Üksuse grupp on sama nimega, palun muutke üksuse nime või nimetage elemendigrupp ümber"
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Järgmist elementi {0} ei ole tähistatud kui {1} üksust. Saate need oma üksuse kaptenist lubada {1}
Allow Overlap,Luba kattumine
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Atribuudi {0} väärtus peab olema {1} kuni {2} vahemikus {3} elementi {4} puhul
Billing Details,Arvelduse üksikasjad
Quality Procedure Table,Kvaliteedimenetluse tabel
Serial No {0} created,Loodud seerianumber {0}
Warehouse Detail,Lao üksikasjad
To Deliver and Bill,Toimetada ja Bill
Added to details,Lisatakse detailidele
Add Users to Marketplace,Lisa kasutajad turuplatsile
Remind Before,Meenuta enne
Manage Customer,Halda klienti
Tier Name,Taseme nimi
Manufacturing Settings,Tootmisseaded
Taken,Võetud
Please select Start Date and End Date for Item {0},Palun valige elemendi {0} alguskuupäev ja lõppkuupäev
Education Settings,Hariduse seaded
Admission End Date,Sissepääsu lõppkuupäev
Please specify Company to proceed,"Palun tehke edasi, et jätkata"
Asset Maintenance Team,Varahooldusmeeskond
Material Request Date,Materjali taotluse kuupäev
Responsibilities,Vastutus
Total Costing Amount (via Timesheets),Kuluarvestuse kogusumma (ajakirjade kaudu)
Importing Items and UOMs,Üksuste ja kasutajaühikute importimine
Leaves per Year,Lehed aastas
Date of Leaving,Lahkumise kuupäev
Export E-Invoices,Ekspordi e-arved
Laboratory SMS Alerts,Laboratoorsed SMS-märguanded
Is Published,On avaldatud
Healthcare Practitioner,Tervishoiutöötaja
Item Price updated for {0} in Price List {1},Üksus Hinnakiri {0} uuendatud hinnakirjas {1}
"Batched Item {0} cannot be updated using Stock Reconciliation, instead use Stock Entry","Aktsiat {0} ei saa värskendada, kasutades Stock Reconciation&#39;i, vaid kasutage Stock Entry"
Total Experience,Kogemused kokku
Material to Supplier,Materjal tarnijale
{0} {1}: Customer is required against Receivable account {2},{0} {1}: Klient on nõutav debiteeritava konto vastu {2}
Healthcare Services,Tervishoiuteenused
Grade Code,Koodikood
Appointments and Patient Encounters,Kohtumised ja patsientide kohtumised
TDS Computation Summary,TDS-i arvutamise kokkuvõte
Shipping Rule Label,Laevareeglite silt
Supplier Naming By,Tarnija nimetamine
Admissions for {0},Sisseastujale {0}
Loan Details,Laenude üksikasjad
Employee {0} on Half day on {1},Töötaja {0} poolpäeval {1}
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Maksimaalne maksuvabastussumma ei tohi olla suurem maksuvabastuse kategooria {1} maksimaalsest vabastussummast {0}
Please set leave policy for employee {0} in Employee / Grade record,Palun määrake töötaja {0} puhkusepoliitika töötaja / palga arvestuses
