DocType: Accounting Period,Period Name,Nom de période
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,La quantité à produire ne peut être inférieure à zéro
DocType: Stock Entry,Additional Costs,Frais Supplémentaires
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Un compte contenant une transaction ne peut pas être converti en groupe
DocType: Lead,Product Enquiry,Demande d'Information Produit
DocType: Education Settings,Validate Batch for Students in Student Group,Valider le Lot pour les Étudiants en Groupe Étudiant
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Aucun congé trouvé pour l’employé {0} pour {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Compte de gains / pertes de change non réalisés
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Veuillez d’abord entrer une Société
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Veuillez d’abord sélectionner une Société
DocType: Employee Education,Under Graduate,Non Diplômé
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Veuillez définir un modèle par défaut pour la notification de statut de congés dans les paramètres RH.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Cible Sur
DocType: BOM,Total Cost,Coût Total
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Allocation expirée!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Nombre maximal de congés reportés
DocType: Salary Slip,Employee Loan,Prêt Employé
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Envoyer un Email de Demande de Paiement
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,L'article {0} n'existe pas dans le système ou a expiré
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Laisser vide si le fournisseur est bloqué indéfiniment
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Immobilier
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Relevé de Compte
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Médicaments
DocType: Purchase Invoice Item,Is Fixed Asset,Est Immobilisation
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Afficher les paiements futurs
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-. AAAA.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Ce compte bancaire est déjà synchronisé
DocType: Homepage,Homepage Section,Section de la page d&#39;accueil
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},L'ordre de travail a été {0}
DocType: Budget,Applicable on Purchase Order,Applicable sur la base des bons de commande d'achat
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,La politique de mot de passe pour les bulletins de salaire n&#39;est pas définie
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Groupe de clients en double trouvé dans le tableau des groupes de clients
DocType: Location,Location Name,Nom du lieux
DocType: Quality Procedure Table,Responsible Individual,Individu responsable
DocType: Naming Series,Prefix,Préfixe
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Lieu de l'Événement
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Stock disponible
DocType: Asset Settings,Asset Settings,Paramètres des actifs
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Consommable
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Echelon
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Code d&#39;article&gt; Groupe d&#39;articles&gt; Marque
DocType: Restaurant Table,No of Seats,Nombre de Sièges
DocType: Sales Invoice,Overdue and Discounted,En retard et à prix réduit
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Appel déconnecté
DocType: Sales Invoice Item,Delivered By Supplier,Livré par le Fournisseur
DocType: Asset Maintenance Task,Asset Maintenance Task,Tâche de Maintenance des Actifs
DocType: SMS Center,All Contact,Tout Contact
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Salaire Annuel
DocType: Daily Work Summary,Daily Work Summary,Récapitulatif de travail quotidien
DocType: Period Closing Voucher,Closing Fiscal Year,Clôture de l'Exercice
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} est gelée
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Veuillez sélectionner une Société Existante pour créer un Plan de Compte
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Charges de Stock
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Sélectionner l'Entrepôt Cible
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Veuillez entrer l’Email de Contact Préférré
DocType: Purchase Invoice Item,Accepted Qty,Quantité acceptée
DocType: Journal Entry,Contra Entry,Contre-passation
DocType: Journal Entry Account,Credit in Company Currency,Crédit dans la Devise de la Société
DocType: Lab Test UOM,Lab Test UOM,UDM de test de laboratoire
DocType: Delivery Note,Installation Status,Etat de l'Installation
DocType: BOM,Quality Inspection Template,Modèle d&#39;inspection de la qualité
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Voulez-vous mettre à jour la fréquentation? <br> Présents: {0} \ <br> Absent: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},La Qté Acceptée + Rejetée doit être égale à la quantité Reçue pour l'Article {0}
DocType: Item,Supply Raw Materials for Purchase,Fournir les Matières Premières pour l'Achat
DocType: Agriculture Analysis Criteria,Fertilizer,Engrais
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Ne peut pas assurer la livraison par numéro de série car \ Item {0} est ajouté avec et sans la livraison par numéro de série
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Au moins un mode de paiement est nécessaire pour une facture de PDV
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Le numéro de lot est requis pour l&#39;article en lot {0}.
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Poste de facture d'une transaction bancaire
DocType: Salary Detail,Tax on flexible benefit,Impôt sur les prestations sociales variables
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,L'article {0} n’est pas actif ou sa fin de vie a été atteinte
DocType: Student Admission Program,Minimum Age,Âge Minimum
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Exemple : Mathématiques de Base
DocType: Customer,Primary Address,Adresse principale
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff Qté
DocType: Production Plan,Material Request Detail,Détail de la demande de matériel
DocType: Selling Settings,Default Quotation Validity Days,Jours de validité par défaut pour les devis
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Pour inclure la taxe de la ligne {0} dans le prix de l'Article, les taxes des lignes {1} doivent également être incluses"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Procédure de qualité.
DocType: SMS Center,SMS Center,Centre des SMS
DocType: Payroll Entry,Validate Attendance,Valider la présence
DocType: Sales Invoice,Change Amount,Changer le Montant
DocType: Party Tax Withholding Config,Certificate Received,Certificat reçu
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Défini la valeur de la facture pour B2C. B2CL et B2CS sont calculés sur la base de la valeur de cette facture.
DocType: BOM Update Tool,New BOM,Nouvelle LDM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Procédures prescrites
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Afficher uniquement les points de vente
DocType: Supplier Group,Supplier Group Name,Nom du groupe de fournisseurs
DocType: Driver,Driving License Categories,Catégories de permis de conduire
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Entrez la Date de Livraison
DocType: Depreciation Schedule,Make Depreciation Entry,Créer une Écriture d'Amortissement
DocType: Closed Document,Closed Document,Document fermé
DocType: HR Settings,Leave Settings,Paramètres des Congés
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Type de Demande
DocType: Purpose of Travel,Purpose of Travel,Raison du déplacement
DocType: Payroll Period,Payroll Periods,Périodes de paie
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Radio/Télévision
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Mode de configuration de POS (en ligne / hors ligne)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Désactive la création de journaux de temps depuis les ordres de travail. Les opérations ne doivent pas être suivies par ordre de travail
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Exécution
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Détails des opérations effectuées.
DocType: Asset Maintenance Log,Maintenance Status,Statut d'Entretien
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Montant de la taxe incluse dans la valeur
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Détails de l&#39;adhésion
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1} : Un Fournisseur est requis pour le Compte Créditeur {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Articles et Prix
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Nombre total d'heures : {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},La Date Initiale doit être dans l'Exercice Fiscal. En supposant Date Initiale = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Intervalle
DocType: Pricing Rule,Promotional Scheme Id,Id de schéma promotionnel
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Préférence
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Approvisionnement entrant (susceptible d&#39;inverser la charge
DocType: Supplier,Individual,Individuel
DocType: Academic Term,Academics User,Utilisateur académique
DocType: Cheque Print Template,Amount In Figure,Montant En Chiffre
DocType: Loan Application,Loan Info,Infos sur le Prêt
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Tous les autres CTI
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plan pour les visites de maintenance.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Période de la Fiche d'Évaluation Fournisseur
DocType: Support Settings,Search APIs,API de recherche
DocType: Share Transfer,Share Transfer,Transfert d'actions
,Expiring Memberships,Adhésions sur le point d'expirer
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Lire le blog
DocType: POS Profile,Customer Groups,Groupes de Clients
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,États Financiers
DocType: Guardian,Students,Étudiants
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Règles pour l’application des tarifs et des remises.
DocType: Daily Work Summary,Daily Work Summary Group,Groupe de récapitulatif quotidien
DocType: Practitioner Schedule,Time Slots,Créneaux Horaires
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,La Liste de Prix doit être applicable pour les Achats et les Ventes
DocType: Shift Assignment,Shift Request,Demande de quart
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Date d'installation ne peut pas être avant la date de livraison pour l'Article {0}
