DocType: Accounting Period,Period Name,Időszak neve
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Megnyitott
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Másolás tétel csoportból
DocType: Journal Entry,Opening Entry,Kezdő könyvelési tétel
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Számla csak fizetésre
DocType: Loan,Repay Over Number of Periods,Törleszteni megadott számú időszakon belül
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Gyártandó mennyiség nem lehet kevesebb mint nulla
DocType: Stock Entry,Additional Costs,További költségek
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Meglévő tranzakcióval rendelkező számla nem konvertálható csoporttá.
DocType: Lead,Product Enquiry,Gyártmány igénylés
DocType: Education Settings,Validate Batch for Students in Student Group,Érvényesítse a köteget a Diák csoportban lévő diák számára
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Nem talál távollét bejegyzést erre a munkavállalóra {0} erre {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Nem realizált árfolyamnyereség/veszteség számla
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,"Kérjük, adja meg először céget"
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,"Kérjük, válasszon Vállalkozást először"
DocType: Employee Education,Under Graduate,Diplomázás alatt
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,"Kérjük, állítsa be az alapértelmezett sablont a kilépési állapot értesítéshez a HR beállításoknál."
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Cél ezen
DocType: BOM,Total Cost,Összköltség
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Az allokáció lejárt!
DocType: Soil Analysis,Ca/K,Ca/K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maximális szállított levelek száma
DocType: Salary Slip,Employee Loan,Alkalmazotti hitel
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Fizetési kérelem küldése e-mailben
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,"Tétel: {0} ,nem létezik a rendszerben, vagy lejárt"
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,"Hagyja üresen, ha a Beszállítót végtelen ideig blokkolja"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Ingatlan
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Főkönyvi számla kivonata
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Gyógyszeriparok
DocType: Purchase Invoice Item,Is Fixed Asset,Ez álló-eszköz
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Mutassa a jövőbeli kifizetéseket
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Ez a bankszámla már szinkronizálva van
DocType: Homepage,Homepage Section,Honlap szakasz
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},A munka megrendelés: {0}
DocType: Budget,Applicable on Purchase Order,Alkalmazható a vásárlói megrendelésre
DocType: Item,STO-ITEM-.YYYY.-,STO-item-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,A Fizetéslippek jelszavas házirendje nincs beállítva
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Ismétlődő vevői csoport található a Vevő csoport táblázatában
DocType: Location,Location Name,Helyszín neve
DocType: Quality Procedure Table,Responsible Individual,Felelős személy
DocType: Naming Series,Prefix,Előtag
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Esemény helyszíne
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Elérhető készlet
DocType: Asset Settings,Asset Settings,Vagyonieszköz beállítások
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Fogyóeszközök
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Osztály
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Cikkszám&gt; Tételcsoport&gt; Márka
DocType: Restaurant Table,No of Seats,Ülőhelyek  száma
DocType: Sales Invoice,Overdue and Discounted,Lejárt és kedvezményes
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Hívás megszakítva
DocType: Sales Invoice Item,Delivered By Supplier,Beszállító által szállított
DocType: Asset Maintenance Task,Asset Maintenance Task,Vagyontárgy karbantartási feladat
DocType: SMS Center,All Contact,Összes Kapcsolattartó
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Éves Munkabér
DocType: Daily Work Summary,Daily Work Summary,Napi munka összefoglalása
DocType: Period Closing Voucher,Closing Fiscal Year,Pénzügyi év záró
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} fagyasztott
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,"Kérjük, válassza ki, meglévő vállakozást a számlatükör létrehozásához"
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Készlet költségek
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Cél Raktár kiválasztása
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,"Kérjük, adja meg a preferált kapcsolati Email-t"
DocType: Purchase Invoice Item,Accepted Qty,Elfogadva
DocType: Journal Entry,Contra Entry,Ellen jegyzés
DocType: Journal Entry Account,Credit in Company Currency,Követelés a vállalkozás pénznemében
DocType: Lab Test UOM,Lab Test UOM,Labor Teszt ME
DocType: Delivery Note,Installation Status,Telepítés állapota
DocType: BOM,Quality Inspection Template,Minőségi ellenőrzés sablonja
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Szeretné frissíteni részvétel? <br> Jelen: {0} \ <br> Hiányzik: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Elfogadott + Elutasított Mennyiségnek meg kell egyeznie a {0} tétel beérkezett mennyiségével
DocType: Item,Supply Raw Materials for Purchase,Nyersanyagok beszállítása beszerzéshez
DocType: Agriculture Analysis Criteria,Fertilizer,Trágya
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Nem lehet biztosítani a szállítást szériaszámként, mivel a \ item {0} van hozzáadva és anélkül,"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Legalább egy fizetési mód szükséges POS számlára.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},A (z) {0} tételhez tétel nem szükséges
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Banki kivonat Tranzakciós számla tétel
DocType: Salary Detail,Tax on flexible benefit,Adó a rugalmas haszonon
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,"Tétel: {0}, nem aktív, vagy elhasználódott"
DocType: Student Admission Program,Minimum Age,Minimum életkor
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Példa: Matematika alapjai
DocType: Customer,Primary Address,Elsődleges Cím
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff Qty
DocType: Production Plan,Material Request Detail,Anyag igény részletei
DocType: Selling Settings,Default Quotation Validity Days,Alapértelmezett árajánlat érvényességi napok
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","A tétel adójának beillesztéséhez ebbe a sorba: {0}, az ebben a sorban {1} lévő adókat is muszály hozzávenni"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Minőségi eljárás.
DocType: SMS Center,SMS Center,SMS Központ
DocType: Payroll Entry,Validate Attendance,Érvényesítse a részvételt
DocType: Sales Invoice,Change Amount,Váltópénz összeg
DocType: Party Tax Withholding Config,Certificate Received,Tanúsítvány beérkezett
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Számlaérték beállítása B2C-hez. B2CL és B2CS ennek a számlának az étékei alapján számítva.
DocType: BOM Update Tool,New BOM,Új Anyagjegyzék
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Előírt eljárások
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Csak POS megjelenítése
DocType: Supplier Group,Supplier Group Name,A beszállító csoport neve
DocType: Driver,Driving License Categories,Vezetői engedély kategóriái
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,"Kérjük, adja meg a szállítási határidőt"
DocType: Depreciation Schedule,Make Depreciation Entry,ÉCS bejegyzés generálás
DocType: Closed Document,Closed Document,Lezárt dokumentum
DocType: HR Settings,Leave Settings,Távollét beállításai
DocType: Appraisal Template Goal,KRA,TÉSABL
DocType: Lead,Request Type,Kérés típusa
DocType: Purpose of Travel,Purpose of Travel,Utazás célja
DocType: Payroll Period,Payroll Periods,Bérszámfejtés időszakai
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Műsorszolgáltatás
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),POS értékesítési kassza beállítási módja  (online / offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Letiltja a naplófájlok létrehozását a munka megrendelésekhez. A műveleteket nem lehet nyomon követni a munkatervben
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Végrehajtás
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Részletek az elvégzett műveletekethez.
DocType: Asset Maintenance Log,Maintenance Status,Karbantartás állapota
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Tétel adóösszeg az értékben
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Tagság adatai
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Beszállító kötelező a fizetendő számlához {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Tételek és árak
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Összesen az órák: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Dátumtól a pénzügyi éven belül kell legyen. Feltételezve a dátumtól = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Intervallum
DocType: Pricing Rule,Promotional Scheme Id,Promóciós rendszer azonosítója
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Előnyben
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Belső kellékek (fordított adó kiszámítása)
DocType: Supplier,Individual,Magánszemély
DocType: Academic Term,Academics User,Akadémiai felhasználó
DocType: Cheque Print Template,Amount In Figure,Összeg kikalkulálva
DocType: Loan Application,Loan Info,Hitel információja
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Minden egyéb ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Tervet karbantartási ellenőrzés.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Beszállító eredménymutató-periódusa
DocType: Support Settings,Search APIs,API-k keresése
DocType: Share Transfer,Share Transfer,Átruházása megosztása
,Expiring Memberships,Tagság megszűnése
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Olvassa el a blogot
DocType: POS Profile,Customer Groups,Vevőcsoportok
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Pénzügyi  kimutatások
DocType: Guardian,Students,Tanulók
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Alkalmazási szabályainak árképzés és kedvezmény.
DocType: Daily Work Summary,Daily Work Summary Group,Napi munka összefoglalási csoport
DocType: Practitioner Schedule,Time Slots,Idő szakaszok
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Árlistát alkalmazni kell vagy beszerzésre vagy eladásra
DocType: Shift Assignment,Shift Request,Turnus igénylés
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},"A telepítés időpontja nem lehet korábbi, mint a szállítási határidő erre a Tételre: {0}"
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Kedvezmény az Árlista ár értékén (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Tétel sablon
DocType: Job Offer,Select Terms and Conditions,Válasszon Feltételeket
