DocType: Accounting Period,Period Name,ชื่อช่วงเวลา
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,วันที่สิ้นสุดระยะเวลาที่ไม่สามารถจะช้ากว่าปีวันที่สิ้นสุดปีการศึกษาที่คำว่ามีการเชื่อมโยง (ปีการศึกษา {}) โปรดแก้ไขวันและลองอีกครั้ง
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","ไม่สามารถเพิกถอน ""คือสินทรัพย์ถาวร"" ได้เพราะมีบันทึกสินทรัพย์ที่อยู่กับรายการ"
DocType: Delivery Trip,Departure Time,เวลาออกเดินทาง
DocType: Vehicle Service,Brake Oil,น้ำมันเบรค
DocType: Tax Rule,Tax Type,ประเภทภาษี
,Completed Work Orders,ใบสั่งงานที่เสร็จสมบูรณ์
DocType: Support Settings,Forum Posts,กระทู้จากฟอรัม
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",งานได้รับการจัดคิวให้เป็นงานพื้นหลัง ในกรณีที่มีปัญหาใด ๆ ในการประมวลผลในพื้นหลังระบบจะเพิ่มความคิดเห็นเกี่ยวกับข้อผิดพลาดในการกระทบยอดหุ้นนี้และกลับสู่ขั้นตอนการร่าง
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started",ขออภัยความถูกต้องของรหัสคูปองยังไม่เริ่ม
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,จำนวนเงินที่ต้องเสียภาษี
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},คุณยังไม่ได้รับอนุญาตให้ เพิ่มหรือปรับปรุง รายการ ก่อน {0}
DocType: Leave Policy,Leave Policy Details,ปล่อยรายละเอียดนโยบาย
DocType: BOM,Item Image (if not slideshow),รูปภาพสินค้า (ถ้าไม่สไลด์โชว์)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,แถว # {0}: การดำเนินการ {1} ไม่เสร็จสมบูรณ์สำหรับ {2} จำนวนสินค้าสำเร็จรูปในใบสั่งงาน {3} โปรดอัพเดทสถานะการทำงานผ่าน Job Card {4}
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(อัตราค่าแรง / 60) * เวลาที่ดำเนินงานจริง
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,แถว # {0}: ประเภทเอกสารอ้างอิงต้องเป็นหนึ่งในการเรียกร้องค่าใช้จ่ายหรือบันทึกประจำวัน
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,เลือก BOM
DocType: SMS Log,SMS Log,เข้าสู่ระบบ SMS
DocType: Call Log,Ringing,แจ๋ว
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,ค่าใช้จ่ายในการจัดส่งสินค้า
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,วันหยุดในวันที่ {0} ไม่ได้ระหว่างนับจากวันและวันที่
DocType: Inpatient Record,Admission Scheduled,กำหนดการเข้าศึกษา
DocType: Student Log,Student Log,เข้าสู่ระบบนักศึกษา
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,แม่แบบของ standings ผู้จัดจำหน่าย
DocType: Lead,Interested,สนใจ
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,การเปิด
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,โปรแกรม:
DocType: Item,Copy From Item Group,คัดลอกจากกลุ่มสินค้า
DocType: Journal Entry,Opening Entry,เปิดรายการ
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,บัญชีจ่ายเพียง
DocType: Loan,Repay Over Number of Periods,ชำระคืนกว่าจำนวนงวด
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,ปริมาณที่จะผลิตต้องไม่น้อยกว่าศูนย์
DocType: Stock Entry,Additional Costs,ค่าใช้จ่ายเพิ่มเติม
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,บัญชี กับการทำธุรกรรม ที่มีอยู่ ไม่สามารถ แปลงเป็น กลุ่ม
DocType: Lead,Product Enquiry,สอบถามสินค้า
DocType: Education Settings,Validate Batch for Students in Student Group,ตรวจสอบรุ่นสำหรับนักเรียนในกลุ่มนักเรียน
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},ไม่มีประวัติการลาพบพนักงาน {0} สำหรับ {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,บัญชีกำไรขาดทุนที่ยังไม่เกิดขึ้นจริง
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,กรุณากรอก บริษัท แรก
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,กรุณาเลือก บริษัท แรก
DocType: Employee Education,Under Graduate,ภายใต้บัณฑิต
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,โปรดตั้งค่าเทมเพลตมาตรฐานสำหรับการแจ้งเตือนสถานะการลาออกในการตั้งค่า HR
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,เป้าหมาย ที่
DocType: BOM,Total Cost,ค่าใช้จ่ายรวม
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,การจัดสรรหมดอายุ!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,การพกพาที่ถูกส่งต่อสูงสุด
DocType: Salary Slip,Employee Loan,เงินกู้พนักงาน
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,ส่งอีเมลคำขอชำระเงิน
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,รายการที่ {0} ไม่อยู่ใน ระบบหรือ หมดอายุแล้ว
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,เว้นว่างไว้หากผู้จัดจำหน่ายถูกบล็อกอย่างไม่มีกำหนด
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,อสังหาริมทรัพย์
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,งบบัญชี
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,ยา
DocType: Purchase Invoice Item,Is Fixed Asset,เป็นสินทรัพย์ถาวร
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,แสดงการชำระเงินในอนาคต
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,บัญชีธนาคารนี้ซิงโครไนซ์แล้ว
