DocType: Accounting Period,Period Name,Име периода
DocType: BOM,Total Cost,Укупни трошкови
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Расподјела је истекла!
DocType: Soil Analysis,Ca/K,Ца / К
DocType: Leave Type,Maximum Carry Forwarded Leaves,Максимално носећи прослеђене листове
DocType: Salary Slip,Employee Loan,zaposleni кредита
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,ХР-АДС-.ИИ .-. ММ.-
DocType: Fee Schedule,Send Payment Request Email,Пошаљите захтев за плаћање
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,"Пункт {0} не существует в системе, или истек"
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Оставите празно ако је Добављач блокиран на неодређено време
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Некретнине
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Изјава рачуна
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Фармација
DocType: Purchase Invoice Item,Is Fixed Asset,Је основних средстава
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Прикажи будуће исплате
DocType: Patient,HLC-PAT-.YYYY.-,ХЛЦ-ПАТ-ИИИИ.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Овај банковни рачун је већ синхронизован
DocType: Homepage,Homepage Section,Одељак почетне странице
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Радни налог је био {0}
DocType: Budget,Applicable on Purchase Order,Примењиво на налогу за куповину
DocType: Item,STO-ITEM-.YYYY.-,СТО-ИТЕМ-.ИИИИ.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Политика лозинке за платне листиће није постављена
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Дупликат група купаца наћи у табели Клиентам групе
DocType: Location,Location Name,Назив локације
DocType: Quality Procedure Table,Responsible Individual,Одговорно лице
DocType: Naming Series,Prefix,Префикс
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Локација догађаја
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Доступне залихе
DocType: Asset Settings,Asset Settings,Поставке средстава
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,потребляемый
DocType: Student,B-,Б-
DocType: Assessment Result,Grade,разред
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Код артикла&gt; Група артикала&gt; Марка
DocType: Restaurant Table,No of Seats,Број седишта
DocType: Sales Invoice,Overdue and Discounted,Закашњели и снижени
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Позив прекинути
DocType: Sales Invoice Item,Delivered By Supplier,Деливеред добављач
DocType: Asset Maintenance Task,Asset Maintenance Task,Задатак одржавања средстава
DocType: SMS Center,All Contact,Све Контакт
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Годишња плата
DocType: Daily Work Summary,Daily Work Summary,Дневни Рад Преглед
DocType: Period Closing Voucher,Closing Fiscal Year,Затварање Фискална година
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} је замрзнут
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Молимо одаберите постојећу компанију за израду контни
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Акции Расходы
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Селецт Таргет Варехоусе
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Селецт Таргет Варехоусе
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Молимо Вас да унесете предност контакт емаил
DocType: Purchase Invoice Item,Accepted Qty,Прихваћено Количина
DocType: Journal Entry,Contra Entry,Цонтра Ступање
DocType: Journal Entry Account,Credit in Company Currency,Кредит у валути Компанија
DocType: Lab Test UOM,Lab Test UOM,Лаб Тест УОМ
DocType: Delivery Note,Installation Status,Инсталација статус
DocType: BOM,Quality Inspection Template,Шаблон за проверу квалитета
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Да ли желите да ажурирате присуство? <br> Пресент: {0} \ <br> Одсутни: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Принято + Отклоненные Кол-во должно быть равно полученного количества по пункту {0}
DocType: Item,Supply Raw Materials for Purchase,Набавка сировина за куповину
DocType: Agriculture Analysis Criteria,Fertilizer,Фертилизер
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Не може се осигурати испорука помоћу Серијског бр. Као \ Итем {0} додат је са и без Осигурање испоруке од \ Серијски број
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Најмање један начин плаћања је потребно за ПОС рачуна.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},За серијски артикал није потребан број серије {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Ставка фактуре за трансакцију из банке
DocType: Salary Detail,Tax on flexible benefit,Порез на флексибилну корист
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Пункт {0} не является активным или конец жизни был достигнут
DocType: Student Admission Program,Minimum Age,Минимална доб
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Пример: Басиц Матхематицс
