Pension Funds,Fons de pensions
Please enter quantity for Item {0},Introduïu la quantitat de l’element {0}
Electricity Cost,Cost d’electricitat
Vehicle Service,Servei de vehicles
Making Stock Entries,Fer entrades d&#39;estoc
Fixed Deposit Number,Número de dipòsit fix
Very Coated,Molt recobert
Initial Email Notification Sent,Notificació de correu electrònic inicial enviada
For Warehouse,Per a magatzem
"{0}: Employee email not found, hence email not sent","{0}: no s&#39;ha trobat el correu electrònic dels empleats, per tant, no s&#39;ha enviat cap correu electrònic"
From Currency,De la moneda
Return / Debit Note,Nota de devolució / dèbit
"Order in which sections should appear. 0 is first, 1 is second and so on.","Ordre en què es mostraran les seccions. 0 és primer, 1 és segon i així successivament."
Create Sales Orders to help you plan your work and deliver on-time,Creeu comandes de vendes per ajudar-vos a planificar la vostra feina i lliurar-vos a temps
Something went wrong!,Alguna cosa ha anat malament!
Please select Healthcare Service,Seleccioneu el servei d&#39;assistència sanitària
Apply / Approve Leaves,Aplica / Aprova les fulles
Applies to Company,S’aplica a l&#39;empresa
Row {0}: Bill of Materials not found for the Item {1},Fila {0}: document de materials no trobat per a l’element {1}
Account Info,Informació del compte
Abbreviation,Abreviatura
Purchase Orders to Bill,Ordres de compra a Bill
Total Net Weight,Pes total net
Approving Role (above authorized value),Aprovació del paper (per sobre del valor autoritzat)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Reprèn l’enllaç
Agriculture Manager,Gerent d&#39;Agricultura
Batch Entries,Entrades per lots
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,"Si us plau, habiliteu l’aplicació per ordre de compra i s’aplicarà en la reserva de les despeses reals"
Gain/Loss on Asset Disposal,Guany / pèrdua en l&#39;eliminació d&#39;actius
Total Payment,Pagament total
Total Number of Depreciations,Nombre total d’amortitzacions
Fully Depreciated,Totalment depreciada
Creating Accounts,Creació de comptes
Item Variant Settings,Configuració de la variant de l&#39;element
Supplier Group Name,Nom del grup de proveïdors
Sales Price List,Llista de preus de vendes
How frequently?,Amb quina freqüència?
Supplier Warehouse,Magatzem de proveïdors
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Només l’impacte fiscal (no es pot reclamar, però sí una part dels ingressos imposables)"
Purchase Defaults,Per defecte de la compra
Contract Template,Plantilla de contracte
Serial No {0} does not belong to Batch {1},El número de sèrie {0} no pertany al lot {1}
Pending Leaves,Fulles pendents
Applied,Aplicat
Consumption Details,Detalls del consum
Loading Payment System,Càrrega del sistema de pagaments
Maximum Assessment Score,Puntuació màxima de l’avaluació
Please set default template for Leave Status Notification in HR Settings.,"Si us plau, configureu la plantilla per defecte Deixa la notificació d&#39;estat a la configuració de recursos humans."
Student Report Card,Targeta d&#39;informe d&#39;estudiant
Nature Of Supplies,Natura dels subministraments
Last Sync Datetime,Darrera Sessió de sincronització
Code {0} already exist,El codi {0} ja existeix
Based On Payment Terms,Basat en condicions de pagament
This value is updated in the Default Sales Price List.,Aquest valor s&#39;actualitza a la llista de preus de venda predeterminada.
Special Test Template,Plantilla de prova especial
Create Variants,Creeu Variants
Default Expense Account,Compte de despeses per defecte
Please setup Students under Student Groups,Configureu els estudiants sota els grups d’estudiants
Taxable Amount,Quantitat imposable
Lead Owner,Propietari principal
Transfer,Transferència
Search Item (Ctrl + i),Element de cerca (Ctrl + i)
{0} Result submittted,{0} Resultat enviat
Supplier of Goods or Services.,Proveïdor de béns o serveis.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Nom del compte nou. Nota: no creeu comptes per a clients i proveïdors
Student Group or Course Schedule is mandatory,El grup d’estudiants o l’hora del curs són obligatoris
Sales Tax Template,Plantilla d’impost sobre vendes
Routing,Enrutament
Payment Reconciliation,Reconciliació de pagaments
Match non-linked Invoices and Payments.,Ajusta factures i pagaments no vinculats.
Opening Balances,Saldos d&#39;obertura
PAN,PAN
Operation Cost,Cost de l’operació
Name of Beneficiary,Nom del beneficiari
New Address,Nova adreça
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Les empreses dependents ja han previst per a {1} vacants amb un pressupost de {2}. El Pla de personal de {0} hauria d’assignar més vacants i pressupostos per a {3} del que estava previst per a les seves empreses filials
From BOM,Des de BOM
Student Applicant,Sol·licitant d&#39;estudiants
Leave Balance Before Application,Deixa el saldo abans de l&#39;aplicació
Expiry date is mandatory for selected item,La data de caducitat és obligatòria per a l&#39;element seleccionat
Default Target Warehouse,Magatzem objectiu predeterminat
Show Salary Slip,Mostra el salari
Percentage Allocation should be equal to 100%,L’assignació per cent ha de ser igual al 100%
UOM Conversion Factor,Factor de conversió UOM
Stock cannot be updated against Purchase Receipt {0},No es pot actualitzar l’acció amb el rebut de compra {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Línia d&#39;ítem {0}: {1} {2} no existeix a la taula &#39;{1} anterior
2 Yearly,2 anuals
Guardian Student,Guardian Student
Please add a Temporary Opening account in Chart of Accounts,Afegiu un compte d’obertura temporal en el pla de comptes
Include in gross,Incloure en brut
Select Serial Numbers,Seleccioneu els números de sèrie
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},La fila {0}: el compte / el compte no coincideix amb {1} / {2} a {3} {4}
Invalid reference {0} {1},Referència no vàlida {0} {1}
Corrective/Preventive,Correcció / Preventiva
Work In Progress,Treball en marxa
Account Currency,Moneda del compte
credit_note_amt,credit_note_amt
Action Name,Nom de l’acció
Health Insurance,Assegurança de salut
Max Strength,Força màxima
Duplicate customer group found in the cutomer group table,S&#39;ha trobat un grup de clients duplicat a la taula del grup cutomer
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","El permís no es pot aplicar / cancel·lar abans de {0}, ja que el saldo de permís ja s&#39;ha transmès en el registre d’assignació de llicències futures {1}"
Min Amount,Quantitat mínima
Rate With Margin (Company Currency),Tarifa amb marge (moneda de la companyia)
Follow Up,Segueix
Shipping Country,País d&#39;enviament
Track this Delivery Note against any Project,Seguiu aquesta nota de lliurament contra qualsevol projecte
Default Payroll Payable Account,Compte pagador de nòmina per defecte
Update Schedule,Programa d’actualitzacions
Updating estimated arrival times.,Actualització dels horaris estimats d’arribada.
Finance Book Detail,Detall del llibre de finances
Serial No {0} does not belong to Delivery Note {1},El número de sèrie {0} no pertany a la nota de lliurament {1}
Please set Tax ID for the customer '%s',Establiu l’identificador d’impostos per al client «% s»
Logo,Logotip
Include holidays within leaves as leaves,Inclou les vacances a les fulles com a fulles
Shift Request,Sol·licitud de canvi
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","No es pot marcar el registre d’internament descarregat, hi ha factures sense gravar {0}"
Scope,Abast
Service Stop Date,Data de parada del servei
Publish Date,Data de publicació
O+,O +
Work Order,Ordre de treball
Transaction,Transacció
per hour,per hores
This action will stop future billing. Are you sure you want to cancel this subscription?,Aquesta acció aturarà la facturació futura. Esteu segur que voleu cancel·lar aquesta subscripció?
State/UT Tax,Impost sobre estat / UT
Scorecards,Quadres de comandament
Projected Quantity as Source,Quantitat projectada com a font
Parent Supplier Group,Grup de proveïdors principals
Rows with duplicate due dates in other rows were found: {0},S&#39;han trobat files amb dates de venciment duplicades en altres files: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Plantilla de diagrama de comptes
Lead,Dirigir
KRA,KRA
Setup Institution,Configuració de la institució
Salary Register,Registre de salaris
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","En el cas del programa de diversos nivells, els clients s&#39;assignaran automàticament al nivell corresponent segons la seva despesa"
Posting Date,Data de publicació
Attendance From Date,Assistència des de la data
Program in the Fee Structure and Student Group {0} are different.,El programa de l’estructura de tarifes i el grup d’estudiants {0} són diferents.
GST Summary,Resum GST
Make Academic Term Mandatory,Fer obligatori el termini acadèmic
Odometer Value (Last),Valor del comptaquilòmetres (darrera)
Transfer an asset from one warehouse to another,Transferiu un actiu d’un magatzem a un altre
Seating Capacity,Capacitat de seients
Employee Benefit Application Detail,Detall de sol·licitud de benefici per a empleats
Employee {0} has already applied for {1} between {2} and {3} : ,L&#39;empleat {0} ja ha sol·licitat {1} entre {2} i {3}:
Capital Work In Progress Account,Compte de treball en curs
Benefit Type and Amount,Tipus i import de beneficis
Please set default payable account for the company {0},Configureu el compte de pagament per defecte per a l&#39;empresa {0}
Holiday List,Llista de vacances
Total Time in Mins,Temps total en min
Shipping Amount,Import de l&#39;enviament
Total Absent,Total absent
Reference Inv,Referència Inv
Row {0}: {1} is required to create the Opening {2} Invoices,La fila {0}: {1} és necessària per crear les factures d&#39;obertura {2}
Is Company Account,És el compte d’empresa
Do you want to notify all the customers by email?,Voleu notificar a tots els clients per correu electrònic?
Sales,Vendes
Tongue,Llengua
Excise Entry,Entrada especial
Clear filters,Esborra els filtres
In Transit,En trànsit
Barcode {0} is not a valid {1} code,El codi de barres {0} no és un codi {1} vàlid
Balance for Account {0} must always be {1},El saldo del compte {0} sempre ha de ser {1}
Invalid Blanket Order for the selected Customer and Item,Ordre de màniga no vàlida per al client i l&#39;element seleccionats
"If enabled, system will create the work order for the exploded items against which BOM is available.","Si està habilitat, el sistema crearà l’ordre de treball per als elements explotats contra els quals està disponible la llista de materials."
