Pension Funds,Pensiju fondi
Get financial breakup of Taxes and charges data by Amazon ,"Iegūstiet informāciju par nodokļu un maksājumu datiem, ko veic Amazon"
Mileage,Nobraukums
"For an item {0}, quantity must be positive number",Vienumam {0} daudzumam jābūt pozitīvam skaitlim
Item Cart,Preču grozs
Payment Entries {0} are un-linked,Maksājumu ieraksti {0} ir nesaistīti
Open Notifications,Atvērt paziņojumus
Successfully created payment entries,Veiksmīgi izveidoti maksājumu ieraksti
Mg/K,Mg / K
Has Serial No,Ir kārtas numurs
Manufacturing User,Ražošanas lietotājs
Ledger,Ledger
Loan,Aizdevums
Fuel UOM,Degvielas UOM
Support,Atbalsts
Invalid Company for Inter Company Transaction.,Nederīgs uzņēmums starpbanku darījumiem.
Fixed Asset Depreciation Settings,Fiksēto aktīvu nolietojuma iestatījumi
Department and Grade,Departaments un pakāpe
Cheques Required,Nepieciešamās pārbaudes
Do Not Contact,Nepiesakieties
Update Billed Amount in Sales Order,Atjauniniet norēķinu summu pārdošanas pasūtījumā
Meal Preference,Ēdienu izvēle
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Pat ja ir vairāki cenu noteikšanas noteikumi ar augstāko prioritāti, tiek piemērotas šādas iekšējās prioritātes:"
Employee {0} is not active or does not exist,Darbinieks {0} nav aktīvs vai neeksistē
List of all share transactions,Visu akciju darījumu saraksts
Sales Defaults,Pārdošanas noklusējumi
Overlap in scoring between {0} and {1},Pārklāšanās vērtībā starp {0} un {1}
Weightage,Svars
Create New Payment/Journal Entry,Izveidot jaunu maksājumu / žurnāla ierakstu
HR-ATT-.YYYY.-,HR-ATT-GGGG.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Ja, pamatojoties uz iepriekš minētajiem nosacījumiem, tiek konstatēti divi vai vairāki cenu noteikšanas noteikumi, tiek piemērota prioritāte. Prioritāte ir skaitlis no 0 līdz 20, bet noklusējuma vērtība ir nulle (tukša). Augstāks numurs nozīmē, ka būs prioritāte, ja ir vairāki cenu noteikšanas noteikumi ar vienādiem nosacījumiem."
Row {0}: Qty is mandatory,Rinda {0}: daudzums ir obligāts
Against Income Account,Pret ienākumu kontu
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},"# {0} rinda: pirkuma rēķinu nevar veikt, izmantojot esošu aktīvu {1}"
UOM coversion factor required for UOM: {0} in Item: {1},"UOM pārvēršanas koeficients, kas nepieciešams UOM: {0} pozīcijā: {1}"
Please enter quantity for Item {0},"Lūdzu, ievadiet {0} vienuma daudzumu"
Electricity Cost,Elektroenerģijas izmaksas
Vehicle Service,Transportlīdzekļu serviss
Making Stock Entries,Veikt krājumu ierakstus
Fixed Deposit Number,Fiksēts depozīta numurs
Very Coated,Ļoti pārklāts
Initial Email Notification Sent,Sākotnējais e-pasta paziņojums nosūtīts
For Warehouse,Noliktavai
"{0}: Employee email not found, hence email not sent","{0}: Darbinieku e-pasts netika atrasts, tāpēc e-pasts nav nosūtīts"
From Currency,No valūtas
Return / Debit Note,Atgriešanās / debeta piezīme
"Order in which sections should appear. 0 is first, 1 is second and so on.","Kārtība, kādā jāparādās sadaļās. 0 ir pirmais, 1 ir otrais un tā tālāk."
Create Sales Orders to help you plan your work and deliver on-time,"Izveidojiet pārdošanas pasūtījumus, lai palīdzētu jums plānot savu darbu un nodrošināt savlaicīgu darbu"
Something went wrong!,Kaut kas nogāja greizi!
Please select Healthcare Service,"Lūdzu, izvēlieties Healthcare Service"
Apply / Approve Leaves,Lietot / apstiprināt lapas
Applies to Company,Attiecas uz uzņēmumu
Row {0}: Bill of Materials not found for the Item {1},"Rinda {0}: materiāls, kas nav atrasts vienumam {1}"
Account Info,Konta informācija
Abbreviation,Saīsinājums
Purchase Orders to Bill,Iegādāties pasūtījumus Bill
Total Net Weight,Kopējais neto svars
Approving Role (above authorized value),Lomas apstiprināšana (virs atļautās vērtības)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Turpināt pielikumu
Agriculture Manager,Lauksaimniecības vadītājs
Batch Entries,Partijas ieraksti
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,"Lūdzu, iespējojiet pirkuma pasūtījumu un piemērojiet faktisko izdevumu rezervēšanai"
Gain/Loss on Asset Disposal,Peļņa / zaudējumi aktīvu atsavināšanā
Total Payment,Kopējais maksājums
Total Number of Depreciations,Kopējais nolietojumu skaits
Fully Depreciated,Pilnībā nolietota
Creating Accounts,Kontu izveide
Item Variant Settings,Vienība Variant Settings
Supplier Group Name,Piegādātāja grupas nosaukums
Sales Price List,Pārdošanas cenu saraksts
How frequently?,Cik bieži?
Supplier Warehouse,Piegādātāja noliktava
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Tikai nodokļu ietekme (nevar pieprasīt, bet daļa no apliekamajiem ienākumiem)"
Purchase Defaults,Pirkuma noklusējumi
Contract Template,Līguma veidne
Serial No {0} does not belong to Batch {1},Sērijas Nr. {0} nepieder sērijai {1}
Pending Leaves,Gaida lapas
Applied,Lietots
Consumption Details,Patēriņa dati
Loading Payment System,Maksājumu sistēmas ielāde
Maximum Assessment Score,Maksimālais novērtējuma rādītājs
Please set default template for Leave Status Notification in HR Settings.,"Lūdzu, iestatiet noklusējuma veidni paziņojumam Atstāt statusu HR iestatījumos."
Student Report Card,Studentu ziņojumu karte
Nature Of Supplies,Piegādes veids
Last Sync Datetime,Pēdējā sinhronizācijas datet
Code {0} already exist,Kods {0} jau pastāv
Based On Payment Terms,Pamatojoties uz maksājuma noteikumiem
This value is updated in the Default Sales Price List.,Šī vērtība tiek atjaunināta noklusējuma pārdošanas cenā.
Special Test Template,Īpaša pārbaudes veidne
Create Variants,Izveidot variantus
Default Expense Account,Noklusējuma izdevumu konts
Please setup Students under Student Groups,"Lūdzu, iestatiet studentus saskaņā ar studentu grupām"
Taxable Amount,Nodokļa summa
Lead Owner,Vadošais īpašnieks
Transfer,Pārskaitījums
Search Item (Ctrl + i),Meklēšanas vienums (Ctrl + i)
{0} Result submittted,{0} Rezultāts iesniegts
Supplier of Goods or Services.,Preču vai pakalpojumu piegādātājs.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,"Jaunā konta nosaukums. Piezīme. Lūdzu, neizveidojiet kontus klientiem un piegādātājiem"
Student Group or Course Schedule is mandatory,Studentu grupa vai kursu saraksts ir obligāts
Sales Tax Template,Pārdošanas nodokļa veidne
Routing,Maršrutēšana
Payment Reconciliation,Maksājumu saskaņošana
Match non-linked Invoices and Payments.,Saskaņot nesaistītos rēķinus un maksājumus.
Opening Balances,Atvēršanas atlikumi
PAN,PAN
Operation Cost,Operācijas izmaksas
Name of Beneficiary,Saņēmēja nosaukums
New Address,Jauna adrese
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Meitas uzņēmumi jau ir plānojuši {1} vakances {2} budžetā. Personāla plānam {0} būtu jāpiešķir vairāk vakances un budžets {3} nekā plānots tā meitas uzņēmumiem
From BOM,No BOM
Student Applicant,Studentu pieteikuma iesniedzējs
Leave Balance Before Application,Atstājiet atlikumu pirms pieteikuma
Expiry date is mandatory for selected item,Derīguma termiņš ir obligāts izvēlētajam vienumam
Default Target Warehouse,Noklusējuma mērķa noliktava
Show Salary Slip,Rādīt algu sarakstu
Percentage Allocation should be equal to 100%,Piešķiršanas procentam jābūt vienādam ar 100%
UOM Conversion Factor,UOM konversijas koeficients
Stock cannot be updated against Purchase Receipt {0},"Krājumu nevar atjaunināt, izmantojot pirkuma kvīti {0}"
Item Row {0}: {1} {2} does not exist in above '{1}' table,Vienuma rinda {0}: {1} {2} iepriekš tabulā “{1}” nepastāv
2 Yearly,2 Ik gadu
Guardian Student,Guardian students
Please add a Temporary Opening account in Chart of Accounts,"Lūdzu, pievienojiet pagaidu norēķinu kontu kontu diagrammā"
Include in gross,Iekļaut bruto
Select Serial Numbers,Izvēlieties Sērijas numuri
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},{0} rinda: puse / konts neatbilst {1} / {2} {3} {4}
Invalid reference {0} {1},Nederīga atsauce {0} {1}
Corrective/Preventive,Korektīvs / preventīvs
Work In Progress,Darbs progresā
Account Currency,Konta valūta
credit_note_amt,credit_note_amt
Action Name,Darbības nosaukums
Health Insurance,Veselības apdrošināšana
Max Strength,Maksimālais stiprums
Duplicate customer group found in the cutomer group table,Duplicate klientu grupa atrodama cutomer grupas tabulā
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Atvaļinājumu nevar piemērot / atcelt pirms {0}, jo atvaļinājumu bilance jau ir pārnesta uz nākamo atvaļinājumu piešķiršanas ierakstu {1}"
Min Amount,Min. Summa
Rate With Margin (Company Currency),Likme ar rezervi (uzņēmuma valūta)
Follow Up,Sekošana
Shipping Country,Piegādes valsts
Track this Delivery Note against any Project,Sekojiet šim piegādes paziņojumam pret jebkuru projektu
Default Payroll Payable Account,Maksājamais noklusējuma algu konts
Update Schedule,Atjaunināšanas grafiks
Updating estimated arrival times.,Novērtēto ierašanās laiku atjaunināšana.
Finance Book Detail,Finanšu grāmata
Serial No {0} does not belong to Delivery Note {1},Sērijas Nr. {0} neattiecas uz piegādes paziņojumu {1}
Please set Tax ID for the customer '%s',"Lūdzu, iestatiet klienta &#39;% s&#39; nodokļu ID"
Logo,Logotips
Include holidays within leaves as leaves,Ietveriet atvaļinājumus lapās kā lapas
Shift Request,Shift pieprasījums
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Nevar atzīmēt iztukšoto stacionāro ierakstu, ir neapmaksāti rēķini {0}"
Scope,Darbības joma
Service Stop Date,Pakalpojuma beigu datums
Publish Date,Publicēt datumu
O+,O +
Work Order,Darba kārtība
Transaction,Darījums
per hour,stundā
This action will stop future billing. Are you sure you want to cancel this subscription?,Šī darbība pārtrauks turpmāko norēķinu veikšanu. Vai tiešām vēlaties atcelt šo abonementu?
State/UT Tax,Valsts / UT nodoklis
Scorecards,Rezultātu kartes
Projected Quantity as Source,Plānotais daudzums kā avots
Parent Supplier Group,Vecāku piegādātāju grupa
Rows with duplicate due dates in other rows were found: {0},Tika atrastas rindas ar dublētiem termiņiem citās rindās: {0}
EDU-FEE-.YYYY.-,EDU-FEE .YYYY.-
Chart Of Accounts Template,Kontu diagrammas veidne
Lead,Svins
KRA,KRA
Setup Institution,Iestatīšanas iestāde
Salary Register,Algu reģistrs
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","Daudzpakāpju programmas gadījumā klienti tiks automātiski piešķirti attiecīgajam līmenim, kā to iztērēti"
Posting Date,Publicēšanas datums
Attendance From Date,Dalība no datuma
Program in the Fee Structure and Student Group {0} are different.,Programma maksas struktūrā un studentu grupā {0} ir atšķirīga.
GST Summary,GST kopsavilkums
Make Academic Term Mandatory,Padarīt akadēmisko termiņu obligātu
Odometer Value (Last),Odometra vērtība (pēdējā)
Transfer an asset from one warehouse to another,Pārsūtiet aktīvu no vienas noliktavas uz citu
Seating Capacity,Sēdvietu ietilpība
Employee Benefit Application Detail,Informācija par darbinieku pabalstu
Employee {0} has already applied for {1} between {2} and {3} : ,Darbinieks {0} jau ir pieteicies {1} no {2} līdz {3}:
Capital Work In Progress Account,Kapitāla darbs nepabeigtajā kontā
Benefit Type and Amount,Pabalsta veids un summa
Please set default payable account for the company {0},"Lūdzu, iestatiet noklusējuma maksājuma kontu uzņēmumam {0}"
Holiday List,Brīvdienu saraksts
Total Time in Mins,Kopējais laiks min
Shipping Amount,Piegādes summa
Total Absent,Kopā nav
Reference Inv,Atsauce Inv
Row {0}: {1} is required to create the Opening {2} Invoices,"{0}: {1} rinda ir nepieciešama, lai izveidotu atvēršanas {2} rēķinus"
Is Company Account,Vai uzņēmuma konts
Do you want to notify all the customers by email?,Vai vēlaties paziņot visiem klientiem pa e-pastu?
Sales,Pārdošana
Tongue,Mēle
Excise Entry,Akcīzes nodoklis
Clear filters,Notīrīt filtrus
In Transit,Tranzītā
Barcode {0} is not a valid {1} code,Svītrkods {0} nav derīgs {1} kods
Balance for Account {0} must always be {1},Konta {0} atlikumam vienmēr jābūt {1}
Invalid Blanket Order for the selected Customer and Item,Nederīgs segas pasūtījums izvēlētajam klientam un vienumam
"If enabled, system will create the work order for the exploded items against which BOM is available.","Ja tas ir iespējots, sistēma izveidos darba kārtību sprādzieniem, kuriem BOM ir pieejams."
Product Bundle,Product Bundle
New Exchange Rate,Jauns valūtas kurss
Open To Do,Atvērt darīt
Receiver List is empty. Please create Receiver List,"Saņēmēju saraksts ir tukšs. Lūdzu, izveidojiet saņēmēju sarakstu"
Current Liabilities,Pašreizējās saistības
ERPNext Demo,ERPNext Demo
Other Risk Factors,Citi riska faktori
To Range,Līdz diapazonam
{0} applicable after {1} working days,{0} piemērojami pēc {1} darba dienām
Task Description,Uzdevuma apraksts
SWIFT Number,SWIFT numurs
Show Payment Schedule in Print,Rādīt maksājumu grafiku drukā
Apply Tax Withholding Amount,Piemērot nodokļu ieturējuma summu
Supplier Scorecard Standing,Piegādātāja rezultātu rādītāja statuss
Quality Inspection Reading,Kvalitātes pārbaudes lasīšana
Valid number of days,Derīgs dienu skaits
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS - .YYYY.-
Custom Signature in Print,Pielāgots paraksts drukā
Procedures,Procedūras
Open Issues,Atvērtie jautājumi
Series for Asset Depreciation Entry (Journal Entry),Aktīvu amortizācijas ierakstu sērija (žurnāla ieraksts)
Occupancy Status,Aizņemšanas statuss
Privilege Leave,Privilēģiju atvaļinājums
Current Invoice End Date,Pašreizējais rēķina beigu datums
Collected Time,Savāktais laiks
Please select BOM for Item in Row {0},"Lūdzu, atlasiet vienumu BOM rindā {0}"
Expense Approver,Izdevumu apstiprinātājs
New Transactions,Jauni darījumi
Payable Amount,Maksājamā summa
All Supplier Contact,Visi piegādātāja kontakti
Quotation {0} not of type {1},Citāts {0} nav {1} tipa
Leave Type {0} is not encashable,Atstāšanas veids {0} nav aizvietojams
Fulfilment Status,Izpildes statuss
Unsubscribe from this Email Digest,Atteikties no šī e-pasta ziņojuma
{0} {1} created,{0} {1} izveidots
Person Responsible,"Persona, kas ir atbildīga"
Asset Category,Aktīvu kategorija
Limit Percent,Ierobežot procentus
Cash Flow Mapping Accounts,Naudas plūsmas kartēšanas konti
Select Serial No,Izvēlieties Sērijas Nr
Sales Return,Pārdošanas atdeve
No record found,Nav atrasts neviens ieraksts
