DocType: Accounting Period,Period Name,Nama Tempoh
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Templat kedudukan pembekal.
DocType: Lead,Interested,Berminat
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Pembukaan
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Program:
DocType: Item,Copy From Item Group,Salinan Dari Perkara Kumpulan
DocType: Journal Entry,Opening Entry,Entry pembukaan
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Akaun Pay Hanya
DocType: Loan,Repay Over Number of Periods,Membayar balik Over Bilangan Tempoh
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Kuantiti untuk Menghasilkan tidak boleh kurang daripada Sifar
DocType: Stock Entry,Additional Costs,Kos Tambahan
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Akaun dengan urus niaga yang sedia ada tidak boleh ditukar kepada kumpulan.
DocType: Lead,Product Enquiry,Pertanyaan Produk
DocType: Education Settings,Validate Batch for Students in Student Group,Mengesahkan Batch untuk Pelajar dalam Kumpulan Pelajar
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Tiada rekod cuti dijumpai untuk pekerja {0} untuk {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Akaun Untung Rugi / Rugi yang belum direalisasikan
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Sila masukkan syarikat pertama
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Sila pilih Syarikat pertama
DocType: Employee Education,Under Graduate,Di bawah Siswazah
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Sila tetapkan templat lalai untuk Pemberitahuan Status Pemberitahuan dalam Tetapan HR.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Sasaran Pada
DocType: BOM,Total Cost,Jumlah Kos
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Peruntukan Tamat Tempoh!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Daun yang Dikeluarkan Maksimum
DocType: Salary Slip,Employee Loan,Pinjaman pekerja
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS -YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Hantar E-mel Permintaan Pembayaran
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Perkara {0} tidak wujud di dalam sistem atau telah tamat
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Biarkan kosong jika Pembekal disekat selama-lamanya
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Harta Tanah
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Penyata Akaun
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Pharmaceuticals
DocType: Purchase Invoice Item,Is Fixed Asset,Adakah Aset Tetap
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Tunjukkan Pembayaran Masa Depan
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Akaun bank ini telah disegerakkan
DocType: Homepage,Homepage Section,Seksyen Homepage
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Perintah Kerja telah {0}
DocType: Budget,Applicable on Purchase Order,Terpakai pada Perintah Pembelian
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Dasar kata laluan untuk Slip Gaji tidak ditetapkan
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,kumpulan pelanggan Duplicate dijumpai di dalam jadual kumpulan cutomer
DocType: Location,Location Name,Nama lokasi
DocType: Quality Procedure Table,Responsible Individual,Individu Yang Bertanggungjawab
DocType: Naming Series,Prefix,Awalan
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Lokasi Acara
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Stok Tersedia
DocType: Asset Settings,Asset Settings,Tetapan Aset
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Guna habis
DocType: Student,B-,B-
DocType: Assessment Result,Grade,gred
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Kod Item&gt; Kumpulan Item&gt; Jenama
DocType: Restaurant Table,No of Seats,Tiada tempat duduk
DocType: Sales Invoice,Overdue and Discounted,Tertunggak dan Diskaun
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Panggilan Terputus
DocType: Sales Invoice Item,Delivered By Supplier,Dihantar Oleh Pembekal
DocType: Asset Maintenance Task,Asset Maintenance Task,Tugas Penyelenggaraan Aset
DocType: SMS Center,All Contact,Semua Contact
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Gaji Tahunan
DocType: Daily Work Summary,Daily Work Summary,Ringkasan Kerja Harian
DocType: Period Closing Voucher,Closing Fiscal Year,Penutup Tahun Anggaran
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} dibekukan
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Sila pilih Syarikat Sedia Ada untuk mewujudkan Carta Akaun
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Perbelanjaan saham
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Pilih Warehouse sasaran
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Pilih Warehouse sasaran
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Sila masukkan Preferred hubungan Email
DocType: Purchase Invoice Item,Accepted Qty,Diterima Qty
DocType: Journal Entry,Contra Entry,Contra Entry
DocType: Journal Entry Account,Credit in Company Currency,Kredit dalam Mata Wang Syarikat
DocType: Lab Test UOM,Lab Test UOM,Ujian Makmal UOM
DocType: Delivery Note,Installation Status,Pemasangan Status
DocType: BOM,Quality Inspection Template,Templat Pemeriksaan Kualiti
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Adakah anda mahu untuk mengemaskini kehadiran? <br> Turut hadir: {0} \ <br> Tidak hadir: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Qty Diterima + Ditolak mestilah sama dengan kuantiti yang Diterima untuk Perkara {0}
DocType: Item,Supply Raw Materials for Purchase,Bahan mentah untuk bekalan Pembelian
DocType: Agriculture Analysis Criteria,Fertilizer,Baja
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Tidak dapat memastikan penghantaran oleh Siri Tidak seperti \ item {0} ditambah dengan dan tanpa Memastikan Penghantaran oleh \ No.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Sekurang-kurangnya satu cara pembayaran adalah diperlukan untuk POS invois.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Batch tidak diperlukan untuk item yang dibatal {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Item Invois Transaksi Penyata Bank
DocType: Salary Detail,Tax on flexible benefit,Cukai ke atas faedah yang fleksibel
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Perkara {0} tidak aktif atau akhir hayat telah dicapai
DocType: Student Admission Program,Minimum Age,Umur minimum
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Contoh: Matematik Asas
DocType: Customer,Primary Address,Alamat Utama
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff Qty
DocType: Production Plan,Material Request Detail,Detail Permintaan Bahan
DocType: Selling Settings,Default Quotation Validity Days,Hari Kesahan Sebutharga Lalai
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Untuk memasukkan cukai berturut-turut {0} dalam kadar Perkara, cukai dalam baris {1} hendaklah juga disediakan"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Prosedur Kualiti.
DocType: SMS Center,SMS Center,SMS Center
DocType: Payroll Entry,Validate Attendance,Mengesahkan Kehadiran
DocType: Sales Invoice,Change Amount,Tukar Jumlah
DocType: Party Tax Withholding Config,Certificate Received,Sijil diterima
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Tetapkan Nilai Invois untuk B2C. B2CL dan B2CS dikira berdasarkan nilai invois ini.
DocType: BOM Update Tool,New BOM,New BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Prosedur yang Ditetapkan
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Tunjukkan sahaja POS
DocType: Supplier Group,Supplier Group Name,Nama Kumpulan Pembekal
DocType: Driver,Driving License Categories,Kategori Lesen Memandu
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Sila masukkan Tarikh Penghantaran
DocType: Depreciation Schedule,Make Depreciation Entry,Buat Entry Susutnilai
DocType: Closed Document,Closed Document,Dokumen Tertutup
DocType: HR Settings,Leave Settings,Tinggalkan Tetapan
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Jenis Permintaan
DocType: Purpose of Travel,Purpose of Travel,Tujuan perjalanan
DocType: Payroll Period,Payroll Periods,Tempoh gaji
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Penyiaran
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Mod persediaan POS (Dalam Talian / Luar Talian)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Menyahdayakan penciptaan log masa terhadap Perintah Kerja. Operasi tidak boleh dikesan terhadap Perintah Kerja
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Pelaksanaan
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Butiran operasi dijalankan.
DocType: Asset Maintenance Log,Maintenance Status,Penyelenggaraan Status
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Amaun Cukai Perkara Termasuk dalam Nilai
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Butiran Keahlian
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Pembekal diperlukan terhadap akaun Dibayar {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Item dan Harga
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Jumlah jam: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Dari Tarikh harus berada dalam Tahun Fiskal. Dengan mengandaikan Dari Tarikh = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Selang
DocType: Pricing Rule,Promotional Scheme Id,Id Skim Promosi
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Pilihan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Bekalan dalam (bertanggungjawab untuk caj balik
DocType: Supplier,Individual,Individu
DocType: Academic Term,Academics User,akademik Pengguna
DocType: Cheque Print Template,Amount In Figure,Jumlah Dalam Rajah
DocType: Loan Application,Loan Info,Maklumat pinjaman
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Semua ITC Lain
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Rancangan untuk lawatan penyelenggaraan.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Tempoh Kad Scorecard Pembekal
DocType: Support Settings,Search APIs,API Carian
DocType: Share Transfer,Share Transfer,Pemindahan Saham
,Expiring Memberships,Keahlian yang akan tamat tempoh
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Baca blog
DocType: POS Profile,Customer Groups,Kumpulan Pelanggan
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Penyata kewangan
DocType: Guardian,Students,pelajar
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Peraturan untuk menggunakan penentuan harga dan diskaun.
DocType: Daily Work Summary,Daily Work Summary Group,Kumpulan Ringkasan Kerja Harian
DocType: Practitioner Schedule,Time Slots,Slot Masa
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Senarai Harga mesti pakai untuk Membeli atau Menjual
DocType: Shift Assignment,Shift Request,Permintaan Shift
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Tarikh pemasangan tidak boleh sebelum tarikh penghantaran untuk Perkara {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Diskaun Senarai Harga Kadar (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Templat Perkara
DocType: Job Offer,Select Terms and Conditions,Pilih Terma dan Syarat
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,Nilai keluar
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Item Tetapan Pernyataan Bank
DocType: Woocommerce Settings,Woocommerce Settings,Tetapan Woocommerce
DocType: Leave Ledger Entry,Transaction Name,Nama Transaksi
DocType: Production Plan,Sales Orders,Jualan Pesanan
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Program Kesetiaan Pelbagai yang ditemui untuk Pelanggan. Sila pilih secara manual.
DocType: Purchase Taxes and Charges,Valuation,Penilaian
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Tetapkan sebagai lalai
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Tarikh luput wajib untuk item yang dipilih.
,Purchase Order Trends,Membeli Trend Pesanan
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Pergi ke Pelanggan
DocType: Hotel Room Reservation,Late Checkin,Checkin lewat
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Mencari bayaran berkaitan
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Permintaan untuk sebutharga boleh diakses dengan klik pada pautan berikut
DocType: Quiz Result,Selected Option,Pilihan Terpilih
DocType: SG Creation Tool Course,SG Creation Tool Course,Kursus Alat SG Creation
DocType: Bank Statement Transaction Invoice Item,Payment Description,Penerangan Bayaran
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Insufficient Stock,Saham yang tidak mencukupi
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,Perancangan Kapasiti melumpuhkan dan Penjejakan Masa
DocType: Email Digest,New Sales Orders,New Jualan Pesanan
DocType: Bank Account,Bank Account,Akaun Bank
DocType: Travel Itinerary,Check-out Date,Tarikh Keluar
