DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Kiwango cha Saa / 60) * Muda halisi wa Uendeshaji
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Row # {0}: Aina ya Kumbukumbu ya Kumbukumbu lazima iwe moja ya Madai ya Madai au Ingia ya Jarida
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Chagua BOM
DocType: SMS Log,SMS Log,Ingia ya SMS
DocType: Call Log,Ringing,Kupigia
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Gharama ya Vitu Vilivyotolewa
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Likizo ya {0} si kati ya Tarehe na Tarehe
DocType: Inpatient Record,Admission Scheduled,Uingizaji ulipangwa
DocType: Student Log,Student Log,Ingia ya Wanafunzi
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Matukio ya kusimama kwa wasambazaji.
DocType: Lead,Interested,Inastahili
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Ufunguzi
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Programu:
DocType: Item,Copy From Item Group,Nakala Kutoka Kundi la Bidhaa
DocType: Journal Entry,Opening Entry,Kuingia Uingiaji
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Malipo ya Akaunti tu
DocType: Loan,Repay Over Number of Periods,Rejesha Zaidi ya Kipindi cha Kipindi
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Wingi wa Kutengeneza hauwezi kuwa chini ya Zero
DocType: Stock Entry,Additional Costs,Gharama za ziada
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Akaunti na shughuli zilizopo haziwezi kubadilishwa kuwa kikundi.
DocType: Lead,Product Enquiry,Utafutaji wa Bidhaa
DocType: Education Settings,Validate Batch for Students in Student Group,Thibitisha Batch kwa Wanafunzi katika Kikundi cha Wanafunzi
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Hakuna rekodi ya kuondoka iliyopatikana kwa mfanyakazi {0} kwa {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Akaunti isiyopunguzwa ya Kupatikana / Akaunti ya Kupoteza
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Tafadhali ingiza kampuni kwanza
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Tafadhali chagua Kampuni kwanza
DocType: Employee Education,Under Graduate,Chini ya Uhitimu
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Tafadhali weka template default kwa Taarifa ya Hali ya Kuacha katika Mipangilio ya HR.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Target On
DocType: BOM,Total Cost,Gharama ya jumla
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Ugawaji Umemalizika!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Upeo Kubeba majani yaliyosafishwa
DocType: Salary Slip,Employee Loan,Mkopo wa Wafanyakazi
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Tuma Email Request Request
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Item {0} haipo katika mfumo au imeisha muda
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Acha tupu ikiwa Muuzaji amezuiwa kwa muda usiojulikana
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Real Estate
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Taarifa ya Akaunti
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Madawa
DocType: Purchase Invoice Item,Is Fixed Asset,"Je, ni Mali isiyohamishika"
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Onyesha Malipo ya Baadaye
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT -YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Akaunti hii ya benki tayari imesawazishwa
DocType: Homepage,Homepage Section,Sehemu ya ukurasa
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Kazi ya Kazi imekuwa {0}
DocType: Budget,Applicable on Purchase Order,Inatumika kwa Utaratibu wa Ununuzi
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Sera ya nenosiri ya Slips Slary haijawekwa
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Duplicate kundi la mteja kupatikana katika meza cutomer kundi
DocType: Location,Location Name,Jina la Mahali
DocType: Quality Procedure Table,Responsible Individual,Kuwajibika Mtu mmoja mmoja
DocType: Naming Series,Prefix,Kiambatisho
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Eneo la Tukio
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Inapatikana Duka
DocType: Asset Settings,Asset Settings,Mipangilio ya Mali
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Inatumiwa
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Daraja
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Nambari ya Bidhaa&gt; Kikundi cha bidhaa&gt; Brand
DocType: Restaurant Table,No of Seats,Hakuna Viti
DocType: Sales Invoice,Overdue and Discounted,Imepitwa na kupunguzwa
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Simu Imekataliwa
DocType: Sales Invoice Item,Delivered By Supplier,Iliyotolewa na Wafanyabiashara
DocType: Asset Maintenance Task,Asset Maintenance Task,Kazi ya Matengenezo ya Mali
DocType: SMS Center,All Contact,Mawasiliano yote
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Mshahara wa Kila mwaka
DocType: Daily Work Summary,Daily Work Summary,Muhtasari wa Kazi ya Kila siku
DocType: Period Closing Voucher,Closing Fiscal Year,Kufunga Mwaka wa Fedha
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} imehifadhiwa
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Tafadhali chagua Kampuni iliyopo kwa kuunda Chati ya Akaunti
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Gharama za Hifadhi
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Chagua Ghala la Target
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Tafadhali ingiza barua pepe ya Mawasiliano ya Preferred
DocType: Purchase Invoice Item,Accepted Qty,Iliyokubaliwa Qty
DocType: Journal Entry,Contra Entry,Uingizaji wa Contra
DocType: Journal Entry Account,Credit in Company Currency,Mikopo katika Kampuni ya Fedha
DocType: Lab Test UOM,Lab Test UOM,Mtihani wa UAM wa Lab
DocType: Delivery Note,Installation Status,Hali ya Ufungaji
DocType: BOM,Quality Inspection Template,Kigezo cha Uhakiki wa Ubora
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Unataka update wahudhuriaji? <br> Sasa: {0} \ <br> Haipo: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Ilikubaliwa + Uchina uliopokea lazima uwe sawa na wingi uliopokea kwa Item {0}
DocType: Item,Supply Raw Materials for Purchase,Vifaa vya Raw kwa Ununuzi
DocType: Agriculture Analysis Criteria,Fertilizer,Mbolea
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Haiwezi kuhakikisha utoaji wa Serial Hakuna kama \ Item {0} imeongezwa na bila ya Kuhakikisha Utoaji kwa \ Nambari ya Serial
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Angalau mode moja ya malipo inahitajika kwa ankara za POS.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Batch hapana inahitajika kwa bidhaa iliyopigwa {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Taarifa ya Benki ya Invoice Item
DocType: Salary Detail,Tax on flexible benefit,Kodi kwa faida rahisi
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Kipengee {0} sio kazi au mwisho wa uhai umefikiwa
DocType: Student Admission Program,Minimum Age,Umri mdogo
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Mfano: Msabati Msingi
DocType: Customer,Primary Address,Anwani ya Msingi
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Tofauti
DocType: Production Plan,Material Request Detail,Maelezo ya Maelezo ya Nyenzo
DocType: Selling Settings,Default Quotation Validity Days,Siku za Uthibitishaji wa Nukuu za Default
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Ili ni pamoja na kodi katika mstari {0} katika kiwango cha kipengee, kodi katika safu {1} lazima pia ziingizwe"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Utaratibu wa Ubora.
DocType: SMS Center,SMS Center,Kituo cha SMS
DocType: Payroll Entry,Validate Attendance,Thibitisha Mahudhurio
DocType: Sales Invoice,Change Amount,Badilisha kiasi
DocType: Party Tax Withholding Config,Certificate Received,Hati ya Kupokea
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Weka thamani ya ankara kwa B2C. B2CL na B2CS zimehesabiwa kulingana na thamani hii ya ankara.
DocType: BOM Update Tool,New BOM,BOM mpya
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Taratibu zilizowekwa
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Onyesha POS tu
DocType: Supplier Group,Supplier Group Name,Jina la kundi la wasambazaji
DocType: Driver,Driving License Categories,Makundi ya leseni ya kuendesha gari
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Tafadhali ingiza tarehe ya utoaji
DocType: Depreciation Schedule,Make Depreciation Entry,Fanya kuingia kwa kushuka kwa thamani
DocType: Closed Document,Closed Document,Hati iliyofungwa
DocType: HR Settings,Leave Settings,Acha Mipangilio
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Aina ya Ombi
DocType: Purpose of Travel,Purpose of Travel,Kusudi la Safari
DocType: Payroll Period,Payroll Periods,Kipindi cha Mishahara
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Matangazo
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Mipangilio ya POS (Online / Offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Inalemaza uumbaji wa kumbukumbu za wakati dhidi ya Maagizo ya Kazi. Uendeshaji hautafuatiwa dhidi ya Kazi ya Kazi
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Utekelezaji
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Maelezo ya shughuli zilizofanywa.
DocType: Asset Maintenance Log,Maintenance Status,Hali ya Matengenezo
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Kiwango cha Kodi ya Bidhaa Pamoja na Thamani
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Maelezo ya Uanachama
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Muuzaji inahitajika dhidi ya akaunti inayolipwa {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Vitu na bei
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Masaa yote: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Kutoka Tarehe lazima iwe ndani ya Mwaka wa Fedha. Kutokana na Tarehe = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR -YYYY.-
DocType: Drug Prescription,Interval,Muda
DocType: Pricing Rule,Promotional Scheme Id,Kitambulisho cha Mpango wa Uendelezaji
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Upendeleo
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Ugavi wa ndani (inawajibika kubadilisha malipo
DocType: Supplier,Individual,Kila mtu
DocType: Academic Term,Academics User,Mwanafunzi wa Wasomi
DocType: Cheque Print Template,Amount In Figure,Kiasi Kielelezo
DocType: Loan Application,Loan Info,Info Loan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,ITC nyingine zote
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Mpango wa ziara za matengenezo.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Kipindi cha Scorecard Kipindi
DocType: Support Settings,Search APIs,Tafuta API
DocType: Share Transfer,Share Transfer,Shiriki Uhamisho
,Expiring Memberships,Kuondoa Uanachama
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Soma blogi
DocType: POS Profile,Customer Groups,Vikundi vya Wateja
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Taarifa za Fedha
DocType: Guardian,Students,Wanafunzi
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Sheria ya kutumia bei na discount.
DocType: Daily Work Summary,Daily Work Summary Group,Kikundi cha Muhtasari wa Kazi Kila siku
DocType: Practitioner Schedule,Time Slots,Muda wa Muda
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Orodha ya Bei lazima iwezekanavyo kwa Ununuzi au Ununuzi
DocType: Shift Assignment,Shift Request,Ombi la Shift
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Tarehe ya usanii haiwezi kuwa kabla ya tarehe ya utoaji wa Bidhaa {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Punguzo kwa Orodha ya Bei Kiwango (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Kigezo cha Kigezo
DocType: Job Offer,Select Terms and Conditions,Chagua Masharti na Masharti
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,Thamani ya nje
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Mipangilio ya Taarifa ya Benki
DocType: Woocommerce Settings,Woocommerce Settings,Mipangilio ya Woocommerce
DocType: Leave Ledger Entry,Transaction Name,Jina la manunuzi
DocType: Production Plan,Sales Orders,Maagizo ya Mauzo
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Mpango wa Uaminifu Mingi uliopatikana kwa Wateja. Tafadhali chagua manually.
DocType: Purchase Taxes and Charges,Valuation,Vigezo
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Weka kama Msingi
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Tarehe ya kumalizika ni ya lazima kwa bidhaa iliyochaguliwa.
,Purchase Order Trends,Mwelekeo wa Utaratibu wa Ununuzi
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Nenda kwa Wateja
DocType: Hotel Room Reservation,Late Checkin,Checkin ya muda mfupi
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Kupata malipo yaliyounganishwa
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Ombi la nukuu inaweza kupatikana kwa kubonyeza kiungo kinachofuata
DocType: Quiz Result,Selected Option,Chaguo lililochaguliwa
DocType: SG Creation Tool Course,SG Creation Tool Course,Njia ya Uumbaji wa SG
DocType: Bank Statement Transaction Invoice Item,Payment Description,Maelezo ya Malipo
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Insufficient Stock,Hifadhi haitoshi
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,Zima Mipangilio ya Uwezo na Ufuatiliaji wa Muda
DocType: Email Digest,New Sales Orders,Amri mpya ya Mauzo
DocType: Bank Account,Bank Account,Akaunti ya benki
DocType: Travel Itinerary,Check-out Date,Tarehe ya Kuangalia
DocType: Leave Type,Allow Negative Balance,Ruhusu Kiwango cha Mizani
