Pension Funds,연금 기금
Something went wrong!,뭔가 잘못 됐어!
Please select Healthcare Service,건강 관리 서비스를 선택하십시오.
Apply / Approve Leaves,잎 신청 / 승인
Applies to Company,회사에 적용
Row {0}: Bill of Materials not found for the Item {1},행 {0} : {1} 품목에 BOM이 없습니다.
Account Info,계정 정보
Abbreviation,약어
Purchase Orders to Bill,청구서 주문
Total Net Weight,총 순중량
Approving Role (above authorized value),역할 승인 (승인 된 값 이상)
HR-EAD-.YYYY.-,HR-EAD- .YYYY.-
Resume Attachment,첨부 파일 재개
Agriculture Manager,농업 관리자
Batch Entries,배치 항목
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,구매 주문서에 적용 가능하고 실제 예매 비용에 적용 가능
Gain/Loss on Asset Disposal,자산 처분 손익
Total Payment,총 지불액
Total Number of Depreciations,감가 상각 총액
Fully Depreciated,완전 감손
Creating Accounts,계정 만들기
Item Variant Settings,품목 변형 설정
Supplier Group Name,공급 업체 그룹 이름
Sales Price List,판매 가격리스트
How frequently?,얼마나 자주?
Supplier Warehouse,공급 업체 창고
Only Tax Impact (Cannot Claim But Part of Taxable Income),세금 영향 만 (과세 소득의 일부는 청구 할 수 없음)
Purchase Defaults,구매 기본값
Contract Template,계약 템플릿
Serial No {0} does not belong to Batch {1},일련 번호 {0}이 배치 {1}에 속해 있지 않습니다.
Pending Leaves,보류중인 잎
Applied,적용된
Consumption Details,소비 세부 사항
Loading Payment System,결제 시스템로드 중
Maximum Assessment Score,최대 평가 점수
Please set default template for Leave Status Notification in HR Settings.,HR 설정에서 상태 알림 남기기에 대한 기본 템플릿을 설정하십시오.
Student Report Card,학생 성적표
Nature Of Supplies,자연의 공급
Last Sync Datetime,마지막 동기화 날짜 / 시간
Code {0} already exist,코드 {0}이 (가) 이미 있습니다.
Based On Payment Terms,지불 조건에 따라
This value is updated in the Default Sales Price List.,이 값은 기본 판매 가격리스트에서 갱신됩니다.
Special Test Template,특별 시험 템플릿
Create Variants,변형 생성
Default Expense Account,기본 비용 계정
Please setup Students under Student Groups,학생 그룹에 학생을 설치하십시오.
Taxable Amount,과세 대상 금액
Lead Owner,리드 소유자
Transfer,이전
Search Item (Ctrl + i),항목 검색 (Ctrl + i)
{0} Result submittted,{0} 결과 제출
Supplier of Goods or Services.,물품 또는 서비스 공급자.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,새 계정의 이름입니다. 참고 : 고객 및 공급 업체 계정을 만들지 마십시오.
Student Group or Course Schedule is mandatory,학생 그룹 또는 과정 일정은 필수
Sales Tax Template,판매 세 템플릿
Routing,라우팅
Payment Reconciliation,지불 조정
Match non-linked Invoices and Payments.,연결되지 않은 송장 및 지불을 일치시킵니다.
Opening Balances,기초 잔액
PAN,팬
Operation Cost,운영 비용
Name of Beneficiary,수혜자 성명
New Address,새 주소
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",자회사는 이미 {1} 공석을 {2}의 예산으로 계획했습니다. \ {0}의 인력 충원 계획은 자회사 계획보다 더 많은 공석 및 예산을 {3} 배정해야합니다
From BOM,BOM에서
Student Applicant,학생 지원자
Leave Balance Before Application,신청 전에 잔금을 남겨 둡니다.
Expiry date is mandatory for selected item,유효 기간은 필수 항목입니다.
Default Target Warehouse,기본 목표웨어 하우스
Show Salary Slip,샐러리 슬립 표시
Percentage Allocation should be equal to 100%,백분율 할당은 100 %와 같아야합니다.
UOM Conversion Factor,UOM 전환율
Stock cannot be updated against Purchase Receipt {0},구매 영수증 {0}에 대해 재고를 갱신 할 수 없습니다.
Item Row {0}: {1} {2} does not exist in above '{1}' table,아이템 행 {0} : {1} {2}은 (는) 위의 &#39;{1}&#39;테이블에 존재하지 않습니다.
2 Yearly,2 년마다
Guardian Student,후견인 학생
Please add a Temporary Opening account in Chart of Accounts,계정과 목표에 임시 개설 계좌를 추가하십시오.
Include in gross,총액 포함
Select Serial Numbers,일련 번호 선택
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},행 {0} : {3} {4}에서 파티 / 계정이 {1} / {2}와 (과) 일치하지 않습니다.
Invalid reference {0} {1},잘못된 참조 {0} {1}
Corrective/Preventive,시정 / 예방
Work In Progress,진행중인 작업
Account Currency,계정 통화
credit_note_amt,credit_note_amt
Action Name,작업 이름
Health Insurance,건강 보험
Max Strength,최대 강도
Duplicate customer group found in the cutomer group table,cutomer 그룹 테이블에 중복 고객 그룹이 있습니다.
Min Amount,최소 금액
Rate With Margin (Company Currency),마진율 (회사 통화)
Follow Up,후속 조치
Shipping Country,배송 국가
Track this Delivery Note against any Project,프로젝트와 관련하여이 배달 노트를 추적하십시오.
Default Payroll Payable Account,기본 Payroll Payable Account
Update Schedule,일정 업데이트
Updating estimated arrival times.,예상 도착 시간 업데이트.
Finance Book Detail,금융 도서 세부 사항
Serial No {0} does not belong to Delivery Note {1},일련 번호 {0}이 납품서 {1}에 속해 있지 않습니다.
Please set Tax ID for the customer '%s',고객 &#39;% s&#39;에 대해 세금 ID를 설정하십시오.
Logo,심벌 마크
Include holidays within leaves as leaves,나뭇잎 안에 나뭇잎을 휴일 포함
Shift Request,시프트 요청
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","입원 환자 기록을 표시 할 수 없음, 청구되지 않은 송장이 있음 {0}"
Scope,범위
Service Stop Date,서비스 중지 날짜
Publish Date,게시 날짜
O+,O +
Work Order,작업 순서
Transaction,트랜잭션
per hour,시간당
This action will stop future billing. Are you sure you want to cancel this subscription?,이 작업은 향후 청구를 중단합니다. 이 구독을 취소 하시겠습니까?
State/UT Tax,주 / UT 세금
Scorecards,스코어 카드
Projected Quantity as Source,출처로 예상 수량
Parent Supplier Group,학부모 공급 업체 그룹
Rows with duplicate due dates in other rows were found: {0},다른 행에 중복 만기일이있는 행이 발견되었습니다 : {0}
EDU-FEE-.YYYY.-,EDU-FEE- .YYYY.-
Chart Of Accounts Template,계정과 목표 템플릿
Lead,리드
KRA,KRA
Setup Institution,설치 기관
Salary Register,급여 등록
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","다중 계층 프로그램의 경우, 고객은 지출 한대로 자동으로 해당 계층에 배정됩니다."
Posting Date,전기 일
Attendance From Date,날짜 출석
Program in the Fee Structure and Student Group {0} are different.,학비 구조 및 학생 그룹 {0}의 프로그램이 다릅니다.
GST Summary,GST 요약
Make Academic Term Mandatory,학업 기간 필수 필수
Odometer Value (Last),주행 거리 값 (마지막)
Transfer an asset from one warehouse to another,한 창고에서 다른 창고로 자산 이전
Seating Capacity,좌석 수용 능력
Employee Benefit Application Detail,직원 복리 후생 신청 세부 사항
Employee {0} has already applied for {1} between {2} and {3} : ,직원 {0}이 (가) {1}을 (를) {2}에서 {3} 사이에 이미 신청했습니다 :
Capital Work In Progress Account,진행중인 계정 자본금
Benefit Type and Amount,급여 유형 및 금액
Please set default payable account for the company {0},회사 {0}에 대한 기본 지불 계정을 설정하십시오.
Holiday List,공휴일 목록
Total Time in Mins,분당 총 시간
Shipping Amount,선적 금액
Total Absent,총 부재수
Reference Inv,참조 인보이스
Row {0}: {1} is required to create the Opening {2} Invoices,행 {0} : 개회 {2} 송장 생성에 {1}이 (가) 필요합니다.
Is Company Account,법인 계정
Do you want to notify all the customers by email?,모든 고객에게 이메일로 알려 드리고 싶습니까?
Sales,매상
Tongue,혀
Excise Entry,소비세 항목
Clear filters,필터 지우기
In Transit,대중 교통 수단
Barcode {0} is not a valid {1} code,바코드 {0}은 (는) 유효한 {1} 코드가 아닙니다.
Balance for Account {0} must always be {1},계정 {0}의 잔액은 항상 {1}이어야합니다.
Invalid Blanket Order for the selected Customer and Item,선택한 고객 및 품목에 대한 담요 주문이 잘못되었습니다.
"If enabled, system will create the work order for the exploded items against which BOM is available.",활성화 된 경우 BOM을 사용할 수있는 분해 된 품목의 작업 공정이 생성됩니다.
Product Bundle,제품 번들
New Exchange Rate,새로운 환율
Open To Do,열린 장소
Receiver List is empty. Please create Receiver List,수신자 목록이 비어 있습니다. 수신기 목록을 만드십시오.
Current Liabilities,유동 부채
ERPNext Demo,ERPNext 데모
Other Risk Factors,기타 위험 요소
To Range,목적지까지
{0} applicable after {1} working days,{0} 일 후에 {1} 근무일
Task Description,과업 설명
SWIFT Number,빠른 번호
Show Payment Schedule in Print,인쇄시 지불 일정 표시
Apply Tax Withholding Amount,세금 원천 징수액 적용
Supplier Scorecard Standing,공급 업체 스코어 카드 상설
Quality Inspection Reading,품질 검사 독서
Valid number of days,유효한 일수
material_request_item,material_request_item
MAT-INS-.YYYY.-,매트 - 인 - .YYYY.-
Custom Signature in Print,인쇄의 맞춤 서명
Procedures,절차
Open Issues,미해결 문제
Series for Asset Depreciation Entry (Journal Entry),자산 감가 상각 엔트리 시리즈 (분개 항목)
Occupancy Status,점유 상태
Privilege Leave,권한 종료
Current Invoice End Date,현재 인보이스 종료 날짜
Collected Time,수집 시간
Please select BOM for Item in Row {0},{0} 행의 항목에 대한 BOM을 선택하십시오.
Expense Approver,비용 승인자
New Transactions,새 거래
Payable Amount,지불 가능 금액
All Supplier Contact,모든 공급 업체 연락처
Quotation {0} not of type {1},인용문 {0}이 (가) {1} 유형이 아닙니다.
Leave Type {0} is not encashable,유형 {0}을 (를) 취소 할 수 없습니다.
Fulfilment Status,이행 상태
Unsubscribe from this Email Digest,이 이메일 다이제스트 수신 거부
{0} {1} created,{0} {1}이 (가) 생성되었습니다.
Person Responsible,책임있는 사람
Asset Category,자산 카테고리
Limit Percent,한계 비율
Cash Flow Mapping Accounts,현금 흐름 매핑 계정
Select Serial No,일련 번호 선택
Sales Return,판매 수익
No record found,기록을 찾을 수 없습니다
Expense Approvers,비용 승인자
Group same items,동일한 항목 그룹화
Parent Company,모회사
Reminder,조언
Bank Overdraft Account,은행 당좌 대월 계정
Difference (Dr - Cr),차이 (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group",동일한 이름의 항목 그룹이 존재하므로 항목 이름을 변경하거나 항목 그룹의 이름을 변경하십시오.
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,다음 항목 {0}은 {1} 항목으로 표시되지 않았습니다. 항목 마스터에서 {1} 항목으로 활성화 할 수 있습니다
Allow Overlap,오버랩 허용
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},항목 {4}에 대한 속성 {0}의 값은 {1}에서 {2}까지의 범위 내에서 {3} 씩 증가해야합니다.
