DocType: Accounting Period,Period Name,കാലാവധി നാമം
apps/erpnext/erpnext/hr/doctype/expense_claim_type/expense_claim_type.py,Same Company is entered more than once,ഒരേ കമ്പനി ഒന്നിലധികം തവണ നൽകുമ്പോഴുള്ള
DocType: Patient,Married,വിവാഹിത
apps/erpnext/erpnext/accounts/party.py,Not permitted for {0},{0} അനുവദനീയമല്ല
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Get items from,നിന്ന് ഇനങ്ങൾ നേടുക
DocType: Stock Entry,Send to Subcontractor,സബ് കോൺ‌ട്രാക്ടറിലേക്ക് അയയ്‌ക്കുക
DocType: Purchase Invoice,Apply Tax Withholding Amount,നികുതി പിരിച്ചെടുക്കൽ തുക അപേക്ഷിക്കുക
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty can not be greater than for quantity,ആകെ പൂർത്തിയാക്കിയ ക്യൂട്ടി അളവിനേക്കാൾ കൂടുതലാകരുത്
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Stock cannot be updated against Delivery Note {0},ഓഹരി ഡെലിവറി നോട്ട് {0} നേരെ അപ്ഡേറ്റ് ചെയ്യാൻ സാധിക്കില്ല
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,Total Amount Credited,മൊത്തം തുക ലഭിച്ചു
apps/erpnext/erpnext/templates/generators/item_group.html,No items listed,ഇനങ്ങളൊന്നും ലിസ്റ്റ്
DocType: Asset Repair,Error Description,പിശക് വിവരണം
DocType: Payment Reconciliation,Reconcile,രഞ്ജിപ്പുണ്ടാക്കണം
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Grocery,പലചരക്ക്
DocType: Quality Inspection Reading,Reading 1,1 Reading
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pension Funds,പെൻഷൻ ഫണ്ട്
DocType: Exchange Rate Revaluation Account,Gain/Loss,നേട്ടം / നഷ്ടം
DocType: Crop,Perennial,വറ്റാത്ത
DocType: Program,Is Published,പ്രസിദ്ധീകരിച്ചു
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Delivery Notes,ഡെലിവറി കുറിപ്പുകൾ കാണിക്കുക
apps/erpnext/erpnext/controllers/status_updater.py,"To allow over billing, update ""Over Billing Allowance"" in Accounts Settings or the Item.","ഓവർ ബില്ലിംഗ് അനുവദിക്കുന്നതിന്, അക്കൗണ്ട് ക്രമീകരണങ്ങളിലോ ഇനത്തിലോ &quot;ഓവർ ബില്ലിംഗ് അലവൻസ്&quot; അപ്‌ഡേറ്റ് ചെയ്യുക."
DocType: Patient Appointment,Procedure,നടപടിക്രമം
DocType: Accounts Settings,Use Custom Cash Flow Format,കസ്റ്റം ക്യാഷ് ഫ്ലോ ഫോർമാറ്റ് ഉപയോഗിക്കുക
DocType: SMS Center,All Sales Person,എല്ലാ സെയിൽസ് വ്യാക്തി
DocType: Monthly Distribution,**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** പ്രതിമാസ വിതരണം ** നിങ്ങളുടെ ബിസിനസ്സിൽ seasonality ഉണ്ടെങ്കിൽ മാസം ഉടനീളം ബജറ്റ് / target വിതരണം സഹായിക്കുന്നു.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Not items found,കണ്ടെത്തിയില്ല ഇനങ്ങൾ
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Structure Missing,ശമ്പള ഘടന കാണാതായ
DocType: Lead,Person Name,വ്യക്തി നാമം
,Supplier Ledger Summary,വിതരണക്കാരൻ ലെഡ്ജർ സംഗ്രഹം
DocType: Sales Invoice Item,Sales Invoice Item,സെയിൽസ് ഇൻവോയിസ് ഇനം
DocType: Quality Procedure Table,Quality Procedure Table,ഗുണനിലവാര നടപടിക്രമ പട്ടിക
DocType: Account,Credit,ക്രെഡിറ്റ്
DocType: POS Profile,Write Off Cost Center,കോസ്റ്റ് കേന്ദ്രം ഓഫാക്കുക എഴുതുക
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",ഉദാ: &quot;പ്രൈമറി സ്കൂൾ&quot; അല്ലെങ്കിൽ &quot;യൂണിവേഴ്സിറ്റി&quot;
apps/erpnext/erpnext/config/stock.py,Stock Reports,ഓഹരി റിപ്പോർട്ടുകൾ
DocType: Warehouse,Warehouse Detail,വെയർഹൗസ് വിശദാംശം
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,അവസാന കാർബൺ പരിശോധന തീയതി ഭാവി തീയതിയായിരിക്കരുത്
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,ടേം അവസാന തീയതി പിന്നീട് ഏത് പദം (അക്കാദമിക് വർഷം {}) ബന്ധിപ്പിച്ചിട്ടുള്ളാതാവനായി അക്കാദമിക വർഷത്തിന്റെ വർഷം അവസാനം തീയതി കൂടുതലാകാൻ പാടില്ല. എൻറർ ശരിയാക്കി വീണ്ടും ശ്രമിക്കുക.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;ഫിക്സ്ഡ് സ്വത്ത്&quot; അസറ്റ് റെക്കോർഡ് ഇനം നേരെ നിലവിലുള്ളതിനാൽ, അൺചെക്കുചെയ്തു പാടില്ല"
DocType: Delivery Trip,Departure Time,പുറപ്പെടൽ സമയം
DocType: Vehicle Service,Brake Oil,ബ്രേക്ക് ഓയിൽ
DocType: Tax Rule,Tax Type,നികുതി തരം
,Completed Work Orders,പൂർത്തിയായ തൊഴിൽ ഉത്തരവുകൾ
DocType: Support Settings,Forum Posts,ഫോറം പോസ്റ്റുകൾ
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","ടാസ്ക് ഒരു പശ്ചാത്തല ജോലിയായി ഉൾപ്പെടുത്തിയിട്ടുണ്ട്. പശ്ചാത്തലത്തിൽ പ്രോസസ് ചെയ്യുന്നതിൽ എന്തെങ്കിലും പ്രശ്നമുണ്ടെങ്കിൽ, സിസ്റ്റം ഈ സ്റ്റോക്ക് അനുരഞ്ജനത്തിലെ പിശകിനെക്കുറിച്ച് ഒരു അഭിപ്രായം ചേർത്ത് ഡ്രാഫ്റ്റ് ഘട്ടത്തിലേക്ക് മടങ്ങും"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","ക്ഷമിക്കണം, കൂപ്പൺ കോഡ് സാധുത ആരംഭിച്ചിട്ടില്ല"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,ടാക്സബിളല്ല തുക
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},നിങ്ങൾ {0} മുമ്പായി എൻട്രികൾ ചേർക്കാൻ അല്ലെങ്കിൽ അപ്ഡേറ്റ് ചെയ്യാൻ അധികാരമില്ല
DocType: Leave Policy,Leave Policy Details,നയ വിശദാംശങ്ങൾ വിടുക
DocType: BOM,Item Image (if not slideshow),ഇനം ഇമേജ് (അതില് അല്ല എങ്കിൽ)
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(അന്ത്യസമയം റേറ്റ് / 60) * യഥാർത്ഥ ഓപ്പറേഷൻ സമയം
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,വരി # {0}: റഫറൻസ് പ്രമാണ തരം ചെലവിൽ ക്ലെയിമുകളോ ജേർണൽ എൻട്രിയിലോ ആയിരിക്കണം
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,BOM ൽ തിരഞ്ഞെടുക്കുക
DocType: SMS Log,SMS Log,എസ്എംഎസ് ലോഗ്
DocType: Call Log,Ringing,റിംഗുചെയ്യുന്നു
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,കൈമാറി ഇനങ്ങൾ ചെലവ്
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,ന് {0} അവധി തീയതി മുതൽ ദിവസവും തമ്മിലുള്ള അല്ല
DocType: Inpatient Record,Admission Scheduled,അഡ്മിഷൻ ഷെഡ്യൂൾ
DocType: Student Log,Student Log,സ്റ്റുഡന്റ് ലോഗ്
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,വിതരണ സ്റ്റാൻഡിംഗുകളുടെ കൊമേഴ്സ്യലുകൾ.
DocType: Lead,Interested,താല്പര്യം
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,തുറക്കുന്നു
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,പ്രോഗ്രാം:
DocType: Item,Copy From Item Group,ഇനം ഗ്രൂപ്പിൽ നിന്നും പകർത്തുക
DocType: Journal Entry,Opening Entry,എൻട്രി തുറക്കുന്നു
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,അക്കൗണ്ട് മാത്രം പണം നൽകുക
DocType: Loan,Repay Over Number of Periods,കാലയളവിന്റെ എണ്ണം ഓവർ പകരം
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,ഉൽപ്പാദിപ്പിക്കുന്നതിനുള്ള അളവ് പൂജ്യത്തേക്കാൾ കുറവായിരിക്കരുത്
DocType: Stock Entry,Additional Costs,അധിക ചെലവ്
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,നിലവിലുള്ള ഇടപാട് ഉപയോഗിച്ച് അക്കൗണ്ട് ഗ്രൂപ്പ് പരിവർത്തനം ചെയ്യാൻ കഴിയില്ല.
DocType: Lead,Product Enquiry,ഉൽപ്പന്ന അറിയുവാനുള്ള
DocType: Education Settings,Validate Batch for Students in Student Group,സ്റ്റുഡന്റ് ഗ്രൂപ്പ് വിദ്യാർത്ഥികളുടെ ബാച്ച് സാധൂകരിക്കൂ
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},വേണ്ടി {1} {0} ജീവനക്കാരൻ കണ്ടെത്തിയില്ല ലീവ് റിക്കോർഡുകളൊന്നും
DocType: Company,Unrealized Exchange Gain/Loss Account,അപ്രത്യക്ഷമായ എക്സ്ചേഞ്ച് നേട്ടം / നഷ്ടം അക്കൗണ്ട്
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,ആദ്യം കമ്പനി നൽകുക
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,കമ്പനി ആദ്യം തിരഞ്ഞെടുക്കുക
DocType: Employee Education,Under Graduate,ഗ്രാജ്വേറ്റ് കീഴിൽ
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,എച്ച്ആർ സജ്ജീകരണങ്ങളിൽ ലെവൽ സ്റ്റാറ്റസ് അറിയിപ്പിന് സ്ഥിരസ്ഥിതി ടെംപ്ലേറ്റ് സജ്ജീകരിക്കുക.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,ടാർഗറ്റിൽ
DocType: BOM,Total Cost,മൊത്തം ചെലവ്
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,വിഹിതം കാലഹരണപ്പെട്ടു!
