DocType: Accounting Period,Period Name,সময়কালের নাম
DocType: Warehouse,Warehouse Detail,ওয়ারহাউস বিস্তারিত
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,শেষ কার্বন চেকের তারিখ কোনও ভবিষ্যতের তারিখ হতে পারে না
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,টার্ম শেষ তারিখ পরে একাডেমিক ইয়ার বছর শেষ তারিখ যা শব্দটি সংযুক্ত করা হয় না হতে পারে (শিক্ষাবর্ষ {}). তারিখ সংশোধন করে আবার চেষ্টা করুন.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",", অবারিত হতে পারে না যেমন অ্যাসেট রেকর্ড আইটেমটি বিরুদ্ধে বিদ্যমান &quot;ফিক্সড সম্পদ&quot;"
DocType: Delivery Trip,Departure Time,ছাড়ার সময়
DocType: Vehicle Service,Brake Oil,ব্রেক অয়েল
DocType: Tax Rule,Tax Type,ট্যাক্স ধরন
,Completed Work Orders,সম্পন্ন কাজ আদেশ
DocType: Support Settings,Forum Posts,ফোরাম পোস্ট
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage",কাজটি পটভূমির কাজ হিসাবে সজ্জিত করা হয়েছে। ব্যাকগ্রাউন্ডে প্রক্রিয়াজাতকরণের ক্ষেত্রে যদি কোনও সমস্যা থাকে তবে সিস্টেমটি এই স্টক পুনর্মিলন সংক্রান্ত ত্রুটি সম্পর্কে একটি মন্তব্য যুক্ত করবে এবং খসড়া পর্যায়ে ফিরে যাবে vert
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","দুঃখিত, কুপন কোডের বৈধতা শুরু হয়নি"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,করযোগ্য অর্থ
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},আপনি আগে এন্ট্রি যোগ করতে অথবা আপডেট করার জন্য অনুমতিপ্রাপ্ত নন {0}
DocType: Leave Policy,Leave Policy Details,শর্তাবলী |
DocType: BOM,Item Image (if not slideshow),আইটেম ইমেজ (ছবি না হলে)
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(ঘন্টা হার / ৬০) * প্রকৃত অপারেশন টাইম
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,সারি # {0}: রেফারেন্স দস্তাবেজ প্রকার ব্যয় দাবি বা জার্নাল এন্ট্রি এক হতে হবে
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,BOM নির্বাচন
DocType: SMS Log,SMS Log,এসএমএস লগ
DocType: Call Log,Ringing,ধ্বনিত
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,বিতরণ আইটেম খরচ
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,এ {0} ছুটির মধ্যে তারিখ থেকে এবং তারিখ থেকে নয়
DocType: Inpatient Record,Admission Scheduled,ভর্তি বিজ্ঞপ্তি
DocType: Student Log,Student Log,ছাত্র লগ
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,সরবরাহকারী স্ট্যান্ডিং টেম্পলেট।
DocType: Lead,Interested,আগ্রহী
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,উদ্বোধন
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,কার্যক্রম:
DocType: Item,Copy From Item Group,আইটেম গ্রুপ থেকে কপি
DocType: Journal Entry,Opening Entry,প্রারম্ভিক ভুক্তি
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,হিসাব চুকিয়ে শুধু
DocType: Loan,Repay Over Number of Periods,শোধ ওভার পর্যায়কাল সংখ্যা
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,প্রযোজনার পরিমাণ জিরোর চেয়ে কম হতে পারে না
DocType: Stock Entry,Additional Costs,অতিরিক্ত খরচ
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,বিদ্যমান লেনদেন সঙ্গে অ্যাকাউন্ট গ্রুপ রূপান্তরিত করা যাবে না.
DocType: Lead,Product Enquiry,পণ্য অনুসন্ধান
DocType: Education Settings,Validate Batch for Students in Student Group,শিক্ষার্থীর গ্রুপ ছাত্ররা জন্য ব্যাচ যাচাই
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},কোন ছুটি রেকর্ড কর্মচারী জন্য পাওয়া {0} জন্য {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,অনাহুত এক্সচেঞ্জ লাভ / হ্রাস অ্যাকাউন্ট
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,প্রথম কোম্পানি লিখুন দয়া করে
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,প্রথম কোম্পানি নির্বাচন করুন
DocType: Employee Education,Under Graduate,গ্রাজুয়েট অধীনে
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,এইচআর সেটিংসে স্থিতি বিজ্ঞপ্তি ত্যাগের জন্য ডিফল্ট টেমপ্লেটটি সেট করুন।
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,টার্গেটের
DocType: BOM,Total Cost,মোট খরচ
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,বরাদ্দের মেয়াদ শেষ!
DocType: Soil Analysis,Ca/K,ক্যাচ / কে
DocType: Leave Type,Maximum Carry Forwarded Leaves,সর্বাধিক বহনযোগ্য পাতাগুলি বহন করুন
DocType: Salary Slip,Employee Loan,কর্মচারী ঋণ
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,এইচআর-বিজ্ঞাপন-.YY .-। MM.-
DocType: Fee Schedule,Send Payment Request Email,পেমেন্ট অনুরোধ ইমেইল পাঠান
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,{0} আইটেম সিস্টেমে কোন অস্তিত্ব নেই অথবা মেয়াদ শেষ হয়ে গেছে
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,সরবরাহকারী অনির্দিষ্টকালের জন্য ব্লক করা হলে ফাঁকা ছেড়ে দিন
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,আবাসন
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,অ্যাকাউন্ট বিবৃতি
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,ফার্মাসিউটিক্যালস
DocType: Purchase Invoice Item,Is Fixed Asset,পরিসম্পদ হয়
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,ভবিষ্যতের অর্থ প্রদানগুলি দেখান
DocType: Patient,HLC-PAT-.YYYY.-,HLC-পিএটি-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,এই ব্যাংক অ্যাকাউন্টটি ইতিমধ্যে সিঙ্ক্রোনাইজ করা হয়েছে
DocType: Homepage,Homepage Section,হোমপেজ বিভাগ
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},কাজের আদেশ {0} হয়েছে
DocType: Budget,Applicable on Purchase Order,ক্রয় আদেশ প্রযোজ্য
DocType: Item,STO-ITEM-.YYYY.-,STO-আইটেম-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,বেতন স্লিপগুলির জন্য পাসওয়ার্ড নীতি সেট করা নেই
