Pension Funds,Pensionsmidler
Please select Healthcare Service,Vælg venligst Healthcare Service
Apply / Approve Leaves,Anvend / godkend blade
Applies to Company,Gælder for selskabet
Row {0}: Bill of Materials not found for the Item {1},Række {0}: Materiel ikke fundet for varen {1}
Account Info,Kontooplysninger
Abbreviation,Forkortelse
Purchase Orders to Bill,Købsordrer til Bill
Total Net Weight,Samlet nettovægt
Approving Role (above authorized value),Godkendende rolle (over autoriseret værdi)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Genoptag Attachment
Agriculture Manager,Landbrugschef
Batch Entries,Batchindlæg
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Aktiver venligst gældende ved købsordre og gældende ved bestilling af faktiske udgifter
Gain/Loss on Asset Disposal,Gain / Loss on Asset Disposal
Total Payment,Samlet betaling
Total Number of Depreciations,Samlet antal afskrivninger
Fully Depreciated,Fuldt afskrivet
Creating Accounts,Oprettelse af konti
Item Variant Settings,Variantindstillinger
Supplier Group Name,Leverandørgruppens navn
Sales Price List,Salgsprisliste
How frequently?,Hvor ofte?
Supplier Warehouse,Leverandørlager
Only Tax Impact (Cannot Claim But Part of Taxable Income),Kun skattepåvirkning (kan ikke kræve en del af skattepligtig indkomst)
Purchase Defaults,Indkøbsvalg
Contract Template,Kontraktskabel
Serial No {0} does not belong to Batch {1},Serienummer {0} tilhører ikke Batch {1}
Pending Leaves,Afventer blade
Applied,Anvendt
Consumption Details,Forbrugsdetaljer
Loading Payment System,Indlæser betalingssystem
Maximum Assessment Score,Maksimal vurdering score
Please set default template for Leave Status Notification in HR Settings.,Angiv standardskabelon for meddelelsen om statusstatus i HR-indstillinger.
Student Report Card,Studenterapport
Nature Of Supplies,Forsyningens art
Last Sync Datetime,Sidste synkroniseringstidspunkt
Code {0} already exist,Kode {0} eksisterer allerede
Based On Payment Terms,Baseret på betalingsbetingelser
This value is updated in the Default Sales Price List.,Denne værdi opdateres i standard salgsprislisten.
Special Test Template,Special Test Skabelon
Create Variants,Opret varianter
Default Expense Account,Standard udgiftskonto
Please setup Students under Student Groups,Indstil venligst Studerende under Studentegrupper
Taxable Amount,Skattepligtigt beløb
Lead Owner,Lead Owner
Transfer,Overførsel
Search Item (Ctrl + i),Søgeobjekt (Ctrl + i)
{0} Result submittted,{0} Resultat indsendt
Supplier of Goods or Services.,Leverandør af varer eller tjenesteydelser.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Navn på ny konto. Bemærk: Opret ikke konti til kunder og leverandører
Student Group or Course Schedule is mandatory,Studentgruppe eller kursusplan er obligatorisk
Sales Tax Template,Salgsskat skabelon
Routing,Routing
Payment Reconciliation,Betalingsafstemning
Match non-linked Invoices and Payments.,Match ikke-tilknyttede fakturaer og betalinger.
Opening Balances,Åbning af saldi
PAN,PANDE
Operation Cost,Driftsomkostninger
Name of Beneficiary,Navn på modtager
New Address,Ny adresse
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Datterselskaber har allerede planlagt for {1} ledige stillinger på et budget på {2}. \ Staffing Plan for {0} bør afsætte flere ledige stillinger og budget for {3} end planlagt for dets datterselskaber
From BOM,Fra BOM
Student Applicant,Studerende Ansøger
Leave Balance Before Application,Forlad balance før ansøgning
Expiry date is mandatory for selected item,Udløbsdato er obligatorisk for det valgte element
Default Target Warehouse,Standard Target Warehouse
Show Salary Slip,Vis Salary Slip
Percentage Allocation should be equal to 100%,Procentdelingen skal svare til 100%
UOM Conversion Factor,UOM Konverteringsfaktor
Stock cannot be updated against Purchase Receipt {0},Lager kan ikke opdateres imod købskvittering {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Vare række {0}: {1} {2} findes ikke i ovenstående &#39;{1}&#39; tabel
2 Yearly,2 årligt
Guardian Student,Guardian Student
Please add a Temporary Opening account in Chart of Accounts,Tilføj venligst en midlertidig åbningskonto i kontoplan
Include in gross,Inkluder i brutto
Select Serial Numbers,Vælg serienumre
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Række {0}: Part / Konto stemmer ikke overens med {1} / {2} i {3} {4}
Invalid reference {0} {1},Ugyldig reference {0} {1}
Corrective/Preventive,Korrigerende / Forebyggende
Work In Progress,Arbejde der er i gang
Account Currency,Konto Valuta
credit_note_amt,credit_note_amt
Action Name,Handlingsnavn
Health Insurance,Sygesikring
Max Strength,Maks styrke
Duplicate customer group found in the cutomer group table,Duplikat kundegruppe fundet i cutomer gruppebordet
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Forladelse kan ikke anvendes / annulleres før {0}, da efterløbsbalancen allerede er fremsendt i fremtidig tilladelse til forladelse af bevilling {1}"
Min Amount,Min beløb
Rate With Margin (Company Currency),Rate med margen (Company Valuta)
Follow Up,Opfølgning
Shipping Country,Forsendelsesland
Track this Delivery Note against any Project,Spor denne leveringsnotat mod ethvert projekt
Default Payroll Payable Account,Standard Payroll Payable Konto
Update Schedule,Opdateringsplan
Updating estimated arrival times.,Opdaterer forventede ankomsttider.
Finance Book Detail,Finans Bog Detail
Serial No {0} does not belong to Delivery Note {1},Serienummer {0} tilhører ikke Leveringsnota {1}
Please set Tax ID for the customer '%s',Indtast Skat ID for kunden &#39;% s&#39;
Logo,Logo
Include holidays within leaves as leaves,Medtag ferie i blade som blade
Shift Request,Skift forespørgsel
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Kan ikke markere Inpatient Record Udgivet, der er Unbilled Fakturaer {0}"
Scope,Anvendelsesområde
Service Stop Date,Service Stop Date
Publish Date,Udgivelsesdato
O+,O +
Work Order,Arbejdsordre
Transaction,Transaktion
per hour,Per time
This action will stop future billing. Are you sure you want to cancel this subscription?,"Denne handling stopper fremtidig fakturering. Er du sikker på, at du vil annullere dette abonnement?"
State/UT Tax,Stat / UT Skat
Scorecards,scorecards
Projected Quantity as Source,Projiceret mængde som kilde
Parent Supplier Group,Moderselskabets leverandørgruppe
Rows with duplicate due dates in other rows were found: {0},Rækker med duplikatfristedage i andre rækker blev fundet: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Skabelonoversigt
Lead,At føre
KRA,KRA
Setup Institution,Opsætningsinstitution
Salary Register,Lønregister
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","I tilfælde af multi-tier program, vil kunder automatisk blive tildelt den pågældende tier som per deres brugt"
Posting Date,Udstationeringsdato
Attendance From Date,Deltagelse fra dato
Program in the Fee Structure and Student Group {0} are different.,Program i gebyrstrukturen og studentegruppen {0} er forskellige.
GST Summary,GST Sammendrag
Make Academic Term Mandatory,Gør faglig semester obligatorisk
Odometer Value (Last),Odometer værdi (sidste)
Transfer an asset from one warehouse to another,Overfør et aktiv fra et lager til et andet
Seating Capacity,Siddekapacitet
Employee Benefit Application Detail,Ansøgningsbidrag Ansøgnings detaljer
Employee {0} has already applied for {1} between {2} and {3} : ,Medarbejder {0} har allerede ansøgt om {1} mellem {2} og {3}:
Capital Work In Progress Account,Capital Work Progress Account
Benefit Type and Amount,Fordelstype og beløb
Please set default payable account for the company {0},Indtast venligst standardbetalt konto for virksomheden {0}
Holiday List,Ferie liste
Total Time in Mins,Total tid i min
Shipping Amount,Forsendelsesbeløb
Total Absent,Samlet manglet
Reference Inv,Reference Inv
Row {0}: {1} is required to create the Opening {2} Invoices,Række {0}: {1} er påkrævet for at oprette åbningen {2} fakturaer
Is Company Account,Er virksomhedskonto
Do you want to notify all the customers by email?,Vil du anmelde alle kunderne via e-mail?
Sales,Salg
Tongue,Tunge
Excise Entry,Punktafgift
Clear filters,Ryd filtre
In Transit,Undervejs
Barcode {0} is not a valid {1} code,Stregkode {0} er ikke en gyldig {1} kode
Balance for Account {0} must always be {1},Balance for konto {0} skal altid være {1}
Invalid Blanket Order for the selected Customer and Item,Ugyldig blanketordre for den valgte kunde og vare
"If enabled, system will create the work order for the exploded items against which BOM is available.","Hvis aktiveret, vil systemet oprette arbejdsordren til de eksploderede emner, mod hvilke BOM er tilgængelig."
Product Bundle,Produkt Bundle
New Exchange Rate,Ny valutakurs
Open To Do,Åben for at gøre
Receiver List is empty. Please create Receiver List,Modtagerliste er tom. Opret venligst modtagerlisten
Current Liabilities,Nuværende forpligtelser
ERPNext Demo,ERPNext Demo
Other Risk Factors,Andre risikofaktorer
To Range,Til rækkevidde
{0} applicable after {1} working days,{0} gælder efter {1} arbejdsdage
Task Description,Opgavebeskrivelse
SWIFT Number,SWIFT nummer
Show Payment Schedule in Print,Vis betalingsplan i print
Apply Tax Withholding Amount,Anvend Skat tilbageholdelsesbeløb
Supplier Scorecard Standing,Leverandør Scorecard Standing
Quality Inspection Reading,Kvalitetskontrol Læsning
Valid number of days,Gyldigt antal dage
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Brugerdefineret signatur i udskrivning
Procedures,Procedurer
Open Issues,Åbne problemer
Series for Asset Depreciation Entry (Journal Entry),Serie for Asset Depreciation Entry (Journal Entry)
Occupancy Status,Beboelsesstatus
Privilege Leave,Privilege Leave
Current Invoice End Date,Nuværende faktura Slutdato
Collected Time,Samlet tid
Please select BOM for Item in Row {0},Vælg venligst BOM for varen i række {0}
Expense Approver,Expense Approver
New Transactions,Nye Transaktioner
Payable Amount,Betalingsbeløb
All Supplier Contact,Alle Leverandør Kontakt
Quotation {0} not of type {1},Citat {0} ikke af typen {1}
Leave Type {0} is not encashable,Forladetype {0} er ikke inkashable
Fulfilment Status,Opfyldelsesstatus
Unsubscribe from this Email Digest,Afmeld fra denne Email Digest
{0} {1} created,{0} {1} oprettet
Person Responsible,Person Ansvarlig
Asset Category,Asset kategori
Limit Percent,Grænseprocent
Cash Flow Mapping Accounts,Cash Flow Mapping Accounts
Select Serial No,Vælg serienummer
Sales Return,Salg Retur
No record found,Ingen registrering fundet
Expense Approvers,Udgifter til godkendelse
Group same items,Koncern samme poster
Parent Company,Moderselskab
Reminder,Påmindelse
Bank Overdraft Account,Overtrækskonto
Difference (Dr - Cr),Forskel (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group",En varegruppe eksisterer med samme navn. Du skal ændre varenavnet eller omdøbe varegruppen
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Følgende element {0} er ikke markeret som {1} element. Du kan aktivere dem som {1} emne fra dets Item master
Allow Overlap,Tillad overlapning
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Værdi for attribut {0} skal ligge i området fra {1} til {2} i trinene på {3} for punkt {4}
Billing Details,Faktureringsdetaljer
Quality Procedure Table,Kvalitetsprocedure tabel
Serial No {0} created,Serienummer {0} oprettet
Warehouse Detail,Lager detaljer
To Deliver and Bill,At levere og regning
Added to details,Tilføjet til detaljer
Add Users to Marketplace,Tilføj brugere til Marketplace
Remind Before,Påmind før
Manage Customer,Administrer kunde
Tier Name,Tiernavn
Manufacturing Settings,Fremstillingsindstillinger
Taken,taget
Please select Start Date and End Date for Item {0},Vælg venligst startdato og slutdato for punkt {0}
Education Settings,Uddannelsesindstillinger
Admission End Date,Optagelse Slutdato
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Hvis du {0} {1} værdipapir <b>{2}</b> , vil ordningen <b>{3}</b> blive anvendt på elementet."
Please specify Company to proceed,Angiv venligst firma for at fortsætte
Asset Maintenance Team,Asset Maintenance Team
Material Request Date,Materiale anmodningsdato
Responsibilities,ansvar
Total Costing Amount (via Timesheets),Samlet Omkostningsbeløb (via tidsplaner)
Importing Items and UOMs,Importerer varer og UOM&#39;er
Leaves per Year,Blade per år
Date of Leaving,Dato for afrejse
Export E-Invoices,Eksport E-fakturaer
Laboratory SMS Alerts,Laboratory SMS Alerts
Is Published,Er udgivet
Healthcare Practitioner,Sundhedspleje
Item Price updated for {0} in Price List {1},Varepris opdateret for {0} i prisliste {1}
"Batched Item {0} cannot be updated using Stock Reconciliation, instead use Stock Entry","Batchet Item {0} kan ikke opdateres ved hjælp af Stock Afstemning, men brug Lagerindgang"
Total Experience,Total erfaring
Material to Supplier,Materiale til leverandør
