DocType: Accounting Period,Period Name,Periode Naam
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Rekening met bestaande transactie kan niet worden omgezet naar een groep .
DocType: Lead,Product Enquiry,Product Aanvraag
DocType: Education Settings,Validate Batch for Students in Student Group,Batch valideren voor studenten in de studentengroep
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Geen verlof gevonden record voor werknemer {0} voor {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Ongerealiseerde Exchange-winst / verliesrekening
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Vul aub eerst bedrijf in
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Selecteer Company eerste
DocType: Employee Education,Under Graduate,Student zonder graad
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Stel de standaardsjabloon in voor Verlofstatusmelding in HR-instellingen.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Doel op
DocType: BOM,Total Cost,Totale kosten
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Toekenning verlopen!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maximaal doorgestuurde bladeren
DocType: Salary Slip,Employee Loan,werknemer Loan
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.yy .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Stuur een e-mail voor betalingsverzoek
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Artikel {0} bestaat niet in het systeem of is verlopen
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Laat dit leeg als de leverancier voor onbepaalde tijd is geblokkeerd
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Vastgoed
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Rekeningafschrift
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Farmacie
DocType: Purchase Invoice Item,Is Fixed Asset,Is vaste activa
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Toekomstige betalingen weergeven
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Deze bankrekening is al gesynchroniseerd
DocType: Homepage,Homepage Section,Homepage sectie
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Werkorder is {0}
DocType: Budget,Applicable on Purchase Order,Van toepassing op bestelling
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Wachtwoordbeleid voor salarisstroken is niet ingesteld
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Duplicate klantengroep in de cutomer groep tafel
DocType: Location,Location Name,Locatie naam
DocType: Quality Procedure Table,Responsible Individual,Verantwoordelijke persoon
DocType: Naming Series,Prefix,Voorvoegsel
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Gebeurtenis Locatie
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Beschikbare voorraad
DocType: Asset Settings,Asset Settings,Activuminstellingen
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Verbruiksartikelen
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Rang
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Artikelcode&gt; Artikelgroep&gt; Merk
DocType: Restaurant Table,No of Seats,Aantal zitplaatsen
DocType: Sales Invoice,Overdue and Discounted,Achterstallig en afgeprijsd
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Oproep verbroken
DocType: Sales Invoice Item,Delivered By Supplier,Geleverd door Leverancier
DocType: Asset Maintenance Task,Asset Maintenance Task,Asset Maintenance Task
DocType: SMS Center,All Contact,Alle Contact
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Jaarsalaris
DocType: Daily Work Summary,Daily Work Summary,Dagelijks Werk Samenvatting
DocType: Period Closing Voucher,Closing Fiscal Year,Het sluiten van het fiscale jaar
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} is bevroren
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Kies een bestaand bedrijf voor het maken van Rekeningschema
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Voorraadkosten
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Selecteer Target Warehouse
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Selecteer Target Warehouse
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Vul Preferred Contact E-mail
DocType: Purchase Invoice Item,Accepted Qty,Geaccepteerd Aantal
DocType: Journal Entry,Contra Entry,Contra Entry
DocType: Journal Entry Account,Credit in Company Currency,Credit Company in Valuta
DocType: Lab Test UOM,Lab Test UOM,Lab Test UOM
DocType: Delivery Note,Installation Status,Installatie Status
DocType: BOM,Quality Inspection Template,Kwaliteitscontrolesjabloon
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Wilt u aanwezig updaten? <br> Aanwezig: {0} \ <br> Afwezig: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Geaccepteerde + Verworpen Aantal moet gelijk zijn aan Ontvangen aantal zijn voor Artikel {0}
DocType: Item,Supply Raw Materials for Purchase,Supply Grondstoffen voor Aankoop
DocType: Agriculture Analysis Criteria,Fertilizer,Kunstmest
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Kan niet garanderen dat levering via serienr. As \ Item {0} wordt toegevoegd met of zonder Zorgen voor levering per \ serienr.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Ten minste één wijze van betaling is vereist voor POS factuur.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Batch-nummer is vereist voor batch-artikel {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Rekeningoverzicht Transactie Rekening Item
DocType: Salary Detail,Tax on flexible benefit,Belasting op flexibel voordeel
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,ARtikel {0} is niet actief of heeft einde levensduur bereikt
DocType: Student Admission Program,Minimum Age,Minimum leeftijd
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Voorbeeld: Basiswiskunde
DocType: Customer,Primary Address,hoofdadres
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff
DocType: Production Plan,Material Request Detail,Materiaal Verzoek Detail
DocType: Selling Settings,Default Quotation Validity Days,Standaard prijsofferte dagen
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Om Belastingen op te nemen in het Artikeltarief in rij {0}, moeten de belastingen in rijen {1} ook worden opgenomen"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Kwaliteitsprocedure.
DocType: SMS Center,SMS Center,SMS Center
DocType: Payroll Entry,Validate Attendance,Bevestig aanwezigheid
DocType: Sales Invoice,Change Amount,Change Bedrag
DocType: Party Tax Withholding Config,Certificate Received,Certificaat ontvangen
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Factuurwaarde instellen voor B2C. B2CL en B2CS berekend op basis van deze factuurwaarde.
DocType: BOM Update Tool,New BOM,Nieuwe Eenheid
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Voorgeschreven procedures
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Toon alleen POS
DocType: Supplier Group,Supplier Group Name,Naam Leveranciergroep
DocType: Driver,Driving License Categories,Rijbewijscategorieën
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Vul de Leveringsdatum in
DocType: Depreciation Schedule,Make Depreciation Entry,Maak Afschrijvingen Entry
DocType: Closed Document,Closed Document,Gesloten document
DocType: HR Settings,Leave Settings,Laat instellingen staan
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Aanvraag type
DocType: Purpose of Travel,Purpose of Travel,Doel van reizen
DocType: Payroll Period,Payroll Periods,Payroll-perioden
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Uitzenden
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Setup-modus van POS (online / offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Hiermee wordt het maken van tijdregistraties tegen werkorders uitgeschakeld. Bewerkingen worden niet getraceerd op werkorder
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Uitvoering
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Details van de uitgevoerde handelingen.
DocType: Asset Maintenance Log,Maintenance Status,Onderhoud Status
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Artikel Belastingbedrag inbegrepen in waarde
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Lidmaatschap details
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Leverancier is vereist tegen Te Betalen account {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Artikelen en prijzen
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Totaal aantal uren: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Van Datum moet binnen het boekjaar zijn. Er vanuit gaande dat Van Datum {0} is
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Interval
DocType: Pricing Rule,Promotional Scheme Id,Promotieplan Id
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Voorkeur
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Inkomende leveringen (onderhevig aan verlegging
DocType: Supplier,Individual,Individueel
DocType: Academic Term,Academics User,Academici Gebruiker
DocType: Cheque Print Template,Amount In Figure,Bedrag In figuur
DocType: Loan Application,Loan Info,Loan Info
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Alle overige ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plan voor onderhoud bezoeken.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Leverancier Scorecard Periode
DocType: Support Settings,Search APIs,Zoek API&#39;s
DocType: Share Transfer,Share Transfer,Deel overdracht
,Expiring Memberships,Verlopen Lidmaatschappen
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Lees blog
DocType: POS Profile,Customer Groups,Doelgroepen
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Jaarrekening
DocType: Guardian,Students,leerlingen
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Regels voor de toepassing van prijzen en kortingen .
DocType: Daily Work Summary,Daily Work Summary Group,Daily Work Summary Group
DocType: Practitioner Schedule,Time Slots,Time Slots
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Prijslijst moet van toepassing zijn op Inkoop of Verkoop
DocType: Shift Assignment,Shift Request,Shift Request
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},De installatie mag niet vóór leveringsdatum voor post {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Korting op de prijslijst Rate (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Artikel sjabloon
DocType: Job Offer,Select Terms and Conditions,Select Voorwaarden
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,out Value
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Instellingen voor bankafschriftinstellingen
DocType: Woocommerce Settings,Woocommerce Settings,Woocommerce-instellingen
DocType: Leave Ledger Entry,Transaction Name,Naam transactie
DocType: Production Plan,Sales Orders,Verkooporders
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Meervoudig loyaliteitsprogramma gevonden voor de klant. Selecteer alstublieft handmatig.
DocType: Purchase Taxes and Charges,Valuation,Waardering
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Instellen als standaard
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Vervaldatum is verplicht voor het geselecteerde artikel.
,Purchase Order Trends,Inkooporder Trends
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Ga naar klanten
DocType: Hotel Room Reservation,Late Checkin,Late check-in
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Gekoppelde betalingen vinden
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Het verzoek voor een offerte kan worden geopend door te klikken op de volgende link
DocType: Quiz Result,Selected Option,Geselecteerde optie
DocType: SG Creation Tool Course,SG Creation Tool Course,SG Creation Tool Course
DocType: Bank Statement Transaction Invoice Item,Payment Description,Betalingsomschrijving
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Insufficient Stock,onvoldoende Stock
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,Uitschakelen Capacity Planning en Time Tracking
