DocType: Accounting Period,Period Name,Periode Navn
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Vennligst angi standardmal for statusmeldingsstatus i HR-innstillinger.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Target På
DocType: BOM,Total Cost,Totalkostnad
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Tildeling utløpt!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maksimum bære fremoverblader
DocType: Salary Slip,Employee Loan,Medarbeider Loan
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Send betalingsanmodning e-post
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Element {0} finnes ikke i systemet eller er utløpt
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,La være tom hvis leverandøren er blokkert på ubestemt tid
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Eiendom
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Kontoutskrift
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Farmasi
DocType: Purchase Invoice Item,Is Fixed Asset,Er Fast Asset
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Vis fremtidige betalinger
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Denne bankkontoen er allerede synkronisert
DocType: Homepage,Homepage Section,Hjemmeseksjonen
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Arbeidsordre har vært {0}
DocType: Budget,Applicable on Purchase Order,Gjelder på innkjøpsordre
DocType: Item,STO-ITEM-.YYYY.-,STO-SAK-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Passordpolitikk for lønnsslipper er ikke angitt
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Duplicate kundegruppen funnet i cutomer gruppetabellen
DocType: Location,Location Name,Stedsnavn
DocType: Quality Procedure Table,Responsible Individual,Ansvarlig person
DocType: Naming Series,Prefix,Prefix
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Hendelsessted
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Tilgjengelig lager
DocType: Asset Settings,Asset Settings,Asset Settings
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Konsum
DocType: Student,B-,B-
DocType: Assessment Result,Grade,grade
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Varekode&gt; Varegruppe&gt; Merke
DocType: Restaurant Table,No of Seats,Antall plasser
DocType: Sales Invoice,Overdue and Discounted,Forfalte og rabatterte
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Ring frakoblet
DocType: Sales Invoice Item,Delivered By Supplier,Levert av Leverandør
DocType: Asset Maintenance Task,Asset Maintenance Task,Asset Maintenance Task
DocType: SMS Center,All Contact,All kontakt
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Årslønn
DocType: Daily Work Summary,Daily Work Summary,Daglig arbeid Oppsummering
DocType: Period Closing Voucher,Closing Fiscal Year,Lukke regnskapsår
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} er frosset
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Velg eksisterende selskap for å skape Konto
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Aksje Utgifter
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Velg Target Warehouse
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Velg Target Warehouse
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Fyll inn foretrukne e-
DocType: Purchase Invoice Item,Accepted Qty,Godkjent mengde
DocType: Journal Entry,Contra Entry,Contra Entry
DocType: Journal Entry Account,Credit in Company Currency,Kreditt i selskapet Valuta
DocType: Lab Test UOM,Lab Test UOM,Lab Test UOM
DocType: Delivery Note,Installation Status,Installasjon Status
DocType: BOM,Quality Inspection Template,Kvalitetskontrollmaler
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Ønsker du å oppdatere oppmøte? <br> Present: {0} \ <br> Fraværende: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Akseptert + Avvist Antall må være lik mottatt kvantum for Element {0}
DocType: Item,Supply Raw Materials for Purchase,Leverer råvare til Purchase
DocType: Agriculture Analysis Criteria,Fertilizer,Gjødsel
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Kan ikke garantere levering med serienummer som \ Item {0} er lagt til med og uten Sikre Levering med \ Serienr.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,I det minste én modus av betaling er nødvendig for POS faktura.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Batch-nr er nødvendig for batch-varen {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Bankkonto Transaksjonsfaktura
DocType: Salary Detail,Tax on flexible benefit,Skatt på fleksibel fordel
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Element {0} er ikke aktiv eller slutten av livet er nådd
DocType: Student Admission Program,Minimum Age,Minimumsalder
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Eksempel: Grunnleggende matematikk
DocType: Customer,Primary Address,hoved adresse
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff Antall
DocType: Production Plan,Material Request Detail,Material Request Detail
DocType: Selling Settings,Default Quotation Validity Days,Standard Quotation Gyldighetsdager
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","For å inkludere skatt i rad {0} i Element rente, skatt i rader {1} må også inkluderes"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Kvalitetsprosedyre.
DocType: SMS Center,SMS Center,SMS-senter
DocType: Payroll Entry,Validate Attendance,Bekreft tilstedeværelse
DocType: Sales Invoice,Change Amount,endring Beløp
DocType: Party Tax Withholding Config,Certificate Received,Sertifikat mottatt
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Angi fakturaverdi for B2C. B2CL og B2CS beregnet ut fra denne fakturaverdien.
DocType: BOM Update Tool,New BOM,New BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Foreskrevne prosedyrer
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Vis bare POS
DocType: Supplier Group,Supplier Group Name,Leverandørgruppens navn
DocType: Driver,Driving License Categories,Kjørelisenskategorier
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Vennligst oppgi Leveringsdato
DocType: Depreciation Schedule,Make Depreciation Entry,Gjør Avskrivninger Entry
DocType: Closed Document,Closed Document,Lukket dokument
DocType: HR Settings,Leave Settings,Forlat innstillinger
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Forespørsel Type
DocType: Purpose of Travel,Purpose of Travel,Hensikt med reisen
DocType: Payroll Period,Payroll Periods,Lønn Perioder
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Kringkasting
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Oppsettmodus for POS (Online / Offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Deaktiverer opprettelse av tidslogger mot arbeidsordre. Operasjoner skal ikke spores mot arbeidsordre
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Execution
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Detaljene for operasjonen utføres.
DocType: Asset Maintenance Log,Maintenance Status,Vedlikehold Status
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Vare skattebeløp inkludert i verdien
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Medlemskapsdetaljer
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Leverandør er nødvendig mot Betales konto {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Elementer og priser
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Antall timer: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Fra dato bør være innenfor regnskapsåret. Antar Fra Date = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,intervall
DocType: Pricing Rule,Promotional Scheme Id,Kampanjeplan-id
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Preference
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Innvendige rekvisita (kan tilbakeføres
DocType: Supplier,Individual,Individuell
DocType: Academic Term,Academics User,akademikere Bruker
DocType: Cheque Print Template,Amount In Figure,Beløp I figur
DocType: Loan Application,Loan Info,lån info
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Alt annet ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plan for vedlikeholdsbesøk.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Leverandør Scorecard Periode
DocType: Support Settings,Search APIs,Søk APIer
DocType: Share Transfer,Share Transfer,Del overføring
,Expiring Memberships,Utløpende medlemsskap
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Les blogg
DocType: POS Profile,Customer Groups,kunde~~POS=TRUNC grupper~~POS=HEADCOMP
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Årsregnskap
DocType: Guardian,Students,studenter
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Regler for bruk av prising og rabatt.
DocType: Daily Work Summary,Daily Work Summary Group,Daglig arbeidsoppsummeringsgruppe
DocType: Practitioner Schedule,Time Slots,Tidsluker
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Prisliste må være aktuelt for å kjøpe eller selge
DocType: Shift Assignment,Shift Request,Skiftforespørsel
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Installasjonsdato kan ikke være før leveringsdato for Element {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Rabatt på Prisliste Rate (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Artikkelmal
DocType: Job Offer,Select Terms and Conditions,Velg Vilkår
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,ut Verdi
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Innstillingsinnstillinger for bankkontoen
DocType: Woocommerce Settings,Woocommerce Settings,Innstillinger for WoCommerce
DocType: Leave Ledger Entry,Transaction Name,Transaksjonsnavn
DocType: Production Plan,Sales Orders,Salgsordrer
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Flere lojalitetsprogram funnet for kunden. Vennligst velg manuelt.
DocType: Purchase Taxes and Charges,Valuation,Verdivurdering
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Satt som standard
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Utløpsdato er obligatorisk for valgt vare.
,Purchase Order Trends,Innkjøpsordre Trender
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Gå til Kunder
DocType: Hotel Room Reservation,Late Checkin,Sen innsjekk
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Finne koblede betalinger
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Anmodningen om sitatet kan nås ved å klikke på følgende link
DocType: Quiz Result,Selected Option,Valgt alternativ
DocType: SG Creation Tool Course,SG Creation Tool Course,SG Creation Tool Course
DocType: Bank Statement Transaction Invoice Item,Payment Description,Betalingsbeskrivelse
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Insufficient Stock,utilstrekkelig Stock
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,Deaktiver kapasitetsplanlegging og Time Tracking
DocType: Email Digest,New Sales Orders,Nye salgsordrer
DocType: Bank Account,Bank Account,Bankkonto
DocType: Travel Itinerary,Check-out Date,Utsjekkingsdato
DocType: Leave Type,Allow Negative Balance,Tillat negativ saldo
apps/erpnext/erpnext/projects/doctype/project_type/project_type.py,You cannot delete Project Type 'External',Du kan ikke slette Project Type &#39;External&#39;
apps/erpnext/erpnext/public/js/utils.js,Select Alternate Item,Velg alternativt element
DocType: Employee,Create User,Opprett bruker
DocType: Selling Settings,Default Territory,Standard Territory
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Television,TV
DocType: Work Order Operation,Updated via 'Time Log',Oppdatert via &#39;Time Logg&#39;
apps/erpnext/erpnext/accounts/doctype/bank_guarantee/bank_guarantee.py,Select the customer or supplier.,Velg kunden eller leverandøren.
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,Select only one Priority as Default.,Velg bare én prioritet som standard.
