Pension Funds,Lífeyrissjóðir
Invalid Company for Inter Company Transaction.,Ógilt félag fyrir millifærslu fyrirtækis.
Fixed Asset Depreciation Settings,Fastafjárhæðir
Department and Grade,Deild og bekk
Cheques Required,Athuganir sem krafist er
Do Not Contact,Ekki hafa samband
Update Billed Amount in Sales Order,Uppfærðu innheimta upphæð í sölupöntun
Meal Preference,Máltíð
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Jafnvel ef það eru margar verðlagningarreglur með hæsta forgang, þá eru eftirfarandi innri forgangsröðun beitt:"
Employee {0} is not active or does not exist,Starfsmaður {0} er ekki virkur eða er ekki til
List of all share transactions,Listi yfir alla hluti viðskipta
Sales Defaults,Söluskilmálar
Overlap in scoring between {0} and {1},Skarast í skora á milli {0} og {1}
Weightage,Þyngd
Create New Payment/Journal Entry,Búðu til nýjan greiðslubréf / dagbókarfærslu
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Ef tveir eða fleiri verðlagsreglur eru fundnar á grundvelli ofangreindra skilyrða, er Forgangur beitt. Forgangsverkefni er tala á bilinu 0 til 20 en sjálfgefið gildi er núll (auður). Hærri tala þýðir að það hefur forgang ef það eru margar verðlagningarreglur með sömu skilyrðum."
Row {0}: Qty is mandatory,Row {0}: Magn er skylt
Against Income Account,Gegn tekjureikningi
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Row # {0}: Ekki er hægt að kaupa innheimtu gegn núverandi eign {1}
UOM coversion factor required for UOM: {0} in Item: {1},UOM næringarþáttur sem krafist er fyrir UOM: {0} í lið: {1}
Please enter quantity for Item {0},Vinsamlegast sláðu inn magn fyrir lið {0}
Electricity Cost,Rafmagnskostnaður
Vehicle Service,Ökutæki
Making Stock Entries,Gerð lagerfæra
Fixed Deposit Number,Fast innborgunarnúmer
Very Coated,Mjög húðaður
Initial Email Notification Sent,Upphafleg tölvupóstskilaboð send
For Warehouse,Fyrir vöruhús
"{0}: Employee email not found, hence email not sent","{0}: Starfsmaður email fannst ekki, þar af leiðandi email ekki send"
From Currency,Frá gjaldmiðli
Return / Debit Note,Til baka / skuldfærslu athugasemd
"Order in which sections should appear. 0 is first, 1 is second and so on.","Panta í hvaða köflum ætti að birtast. 0 er fyrst, 1 er annað og svo framvegis."
Create Sales Orders to help you plan your work and deliver on-time,Búðu til sölupantanir til að hjálpa þér að skipuleggja vinnu þína og afhenda í tíma
Something went wrong!,Eitthvað fór úrskeiðis!
Please select Healthcare Service,Vinsamlegast veldu heilsugæsluþjónustu
Apply / Approve Leaves,Sækja um / samþykkja leyfi
Applies to Company,Gildir fyrirtækinu
Row {0}: Bill of Materials not found for the Item {1},Row {0}: Efnisyfirlit fannst ekki fyrir lið {1}
Account Info,Reikningsupplýsingar
Abbreviation,Skammstöfun
Purchase Orders to Bill,Kaup pantanir til Bill
Total Net Weight,Samtals nettóþyngd
Approving Role (above authorized value),Samþykkja hlutverk (yfir leyfilegt gildi)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Endurtekið viðhengi
Agriculture Manager,Landbúnaðarstjóri
Batch Entries,Hópur færslur
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Vinsamlegast virkjaðu Gildandi á innkaupapöntun og gilda um bókunarútgjöld
Gain/Loss on Asset Disposal,Hagnaður / tap á eignaaukningu
Total Payment,Samtals greiðsla
Total Number of Depreciations,Samtals Fjöldi afskriftir
Fully Depreciated,Fullt afskrifað
Creating Accounts,Búa til reikninga
Item Variant Settings,Variunarstillingar
Supplier Group Name,Nafn birgishóps
Sales Price List,Söluverðalisti
How frequently?,Hversu oft?
Supplier Warehouse,Birgir Vörugeymsla
Only Tax Impact (Cannot Claim But Part of Taxable Income),Aðeins skattáhrif (getur ekki krafist en hluti af skattskyldum tekjum)
Purchase Defaults,Kaup vanskil
Contract Template,Samningur Sniðmát
Serial No {0} does not belong to Batch {1},Raðnúmer {0} tilheyrir ekki batch {1}
Pending Leaves,Bíður Leaves
Applied,Beitt
Consumption Details,Upplýsingar um neyslu
Loading Payment System,Hleðsla greiðslukerfis
Maximum Assessment Score,Hámarksmatskort
Please set default template for Leave Status Notification in HR Settings.,Vinsamlegast stilltu sjálfgefið sniðmát fyrir skilaboð um leyfi til stöðu í HR-stillingum.
Student Report Card,Námsmatsskýrsla
Nature Of Supplies,Eðli birgða
Last Sync Datetime,Síðasta sync Dagsetning
Code {0} already exist,Kóði {0} er þegar til
Based On Payment Terms,Byggt á greiðsluskilmálum
This value is updated in the Default Sales Price List.,Þetta gildi er uppfært í Sjálfgefin söluverðalista.
Special Test Template,Sérstök próf sniðmát
Create Variants,Búa til afbrigði
Default Expense Account,Sjálfgefið kostnaðarreikningur
Please setup Students under Student Groups,Vinsamlegast settu upp nemendur undir nemendahópum
Taxable Amount,Skattskyld fjárhæð
Lead Owner,Lead Owner
Transfer,Flytja
Search Item (Ctrl + i),Leitaratriði (Ctrl + i)
{0} Result submittted,{0} Niðurstaða send
Supplier of Goods or Services.,Birgir vöru eða þjónustu.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Nafn nýrrar reiknings. Athugaðu: Búðu til ekki reikninga fyrir viðskiptavini og birgja
Student Group or Course Schedule is mandatory,Nemandi hópur eða námskeiðaskrá er skylt
Sales Tax Template,Söluskattur sniðmát
Routing,Leiðbeiningar
Payment Reconciliation,Greiðsla Sátt
Match non-linked Invoices and Payments.,Passa ótengdum reikningum og greiðslum.
Opening Balances,Opna sölur
PAN,PAN
Operation Cost,Rekstrarkostnaður
Name of Beneficiary,Nafn bótaþega
New Address,Nýtt heimilisfang
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Dótturfélög hafa nú þegar skipulagt fyrir {1} laus störf á fjárlögum {2}. \ Mönnun áætlun fyrir {0} ætti að úthluta fleiri laus störf og fjárhagsáætlun fyrir {3} en áætlað er fyrir dótturfyrirtæki þess
From BOM,Frá BOM
Student Applicant,Nemandi umsækjandi
Leave Balance Before Application,Skildu jafnvægi fyrir umsókn
Expiry date is mandatory for selected item,Lokadagur er nauðsynlegur fyrir valinn hlut
Default Target Warehouse,Sjálfgefið Target Warehouse
Show Salary Slip,Sýna Launasala
Percentage Allocation should be equal to 100%,Hlutfall úthlutunar skal vera 100%
UOM Conversion Factor,UOM viðskiptaþáttur
Stock cannot be updated against Purchase Receipt {0},Ekki er hægt að uppfæra lager með kaupmóttöku {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Liður Rauða {0}: {1} {2} er ekki til í töflunni hér að framan &quot;{1}&quot;
2 Yearly,2 árlega
Guardian Student,Forráðamaður
Please add a Temporary Opening account in Chart of Accounts,Vinsamlegast bættu við tímabundna upphafsreikningi í reikningsskila
Include in gross,Hafa í brúttó
Select Serial Numbers,Veldu raðnúmer
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Row {0}: Samningur / reikningur passar ekki við {1} / {2} í {3} {4}
Invalid reference {0} {1},Ógilt tilvísun {0} {1}
Corrective/Preventive,Leiðrétting / fyrirbyggjandi
Work In Progress,Verk í vinnslu
Account Currency,Gjaldmiðill reiknings
credit_note_amt,credit_note_amt
Action Name,Aðgerð heiti
Health Insurance,Sjúkratryggingar
Max Strength,Hámarksstyrkur
Duplicate customer group found in the cutomer group table,Afrit viðskiptavinahóps sem er að finna í hópborðið í skautuhópnum
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Leyfið er ekki hægt að beita / slitast fyrir {0}, þar sem eftirlitsjöfnuður hefur þegar verið framseldur í framtíðarsamningi um úthlutunarferli {1}"
Min Amount,Mín
Rate With Margin (Company Currency),Meta með framlegð (Company Currency)
Follow Up,Fylgja eftir
Shipping Country,Sendingarland
Track this Delivery Note against any Project,Fylgstu með þessari afhendingu við hvaða verkefni sem er
Default Payroll Payable Account,Sjálfgefið launaskrá
Update Schedule,Uppfæra áætlun
Updating estimated arrival times.,Uppfærir áætlaða komutíma.
Finance Book Detail,Fjármálabók smáatriði
Serial No {0} does not belong to Delivery Note {1},Raðnúmer {0} tilheyrir ekki afhendingu athugasemd {1}
Please set Tax ID for the customer '%s',Vinsamlegast settu skattaauðkenni fyrir viðskiptavininn &#39;% s&#39;
Logo,Merki
Include holidays within leaves as leaves,Hafa frí í laufum sem laufum
Shift Request,Beiðni um breytingu
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Ekki er hægt að merkja innritunarskammtalaga losað, það eru óskýrðar reikningar {0}"
Scope,Umfang
Service Stop Date,Þjónustuskiladagsetning
Publish Date,Útgáfudagur
O+,O +
Work Order,Vinna fyrirmæli
Transaction,Viðskipti
per hour,á klukkustund
This action will stop future billing. Are you sure you want to cancel this subscription?,Þessi aðgerð mun stöðva framtíð innheimtu. Ertu viss um að þú viljir hætta við þessa áskrift?
State/UT Tax,Ríki / UT skattur
Scorecards,Stigakort
Projected Quantity as Source,Spáð magn sem uppspretta
Parent Supplier Group,Móðurfélag Birgir
Rows with duplicate due dates in other rows were found: {0},Röð með tvíhliða gjalddaga í öðrum röðum fundust: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Skýringarmynd reiknings
Lead,Lead
KRA,KRA
Setup Institution,Uppsetningarstofnun
Salary Register,Launaskrá
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",Þegar um er að ræða fjölþættaráætlun verður viðskiptavinur sjálfvirkt úthlutað viðkomandi flokka eftir því sem hann varði
Posting Date,Upphafsdagur
Attendance From Date,Viðstaddir frá degi
Program in the Fee Structure and Student Group {0} are different.,Forrit í gjaldskrárbyggingu og nemendahópnum {0} eru mismunandi.
GST Summary,GST Yfirlit
Make Academic Term Mandatory,Gerðu fræðilegan tíma skylt
Odometer Value (Last),Stórvægisgildi (síðasta)
Transfer an asset from one warehouse to another,Flytja eign frá einu vöruhúsi til annars
Seating Capacity,Stærð sæti
Employee Benefit Application Detail,Starfsmannaskjal
Employee {0} has already applied for {1} between {2} and {3} : ,Starfsmaður {0} hefur þegar sótt um {1} á milli {2} og {3}:
Capital Work In Progress Account,Capital vinna í framfarir reikning
Benefit Type and Amount,Tegund bóta og upphæð
Please set default payable account for the company {0},Vinsamlegast settu sjálfgefinn greiðslureikning fyrir fyrirtækið {0}
Holiday List,Holiday List
Total Time in Mins,Samtals Tími í Mins
Shipping Amount,Sendingarupphæð
Total Absent,Samtals ekki til staðar
Reference Inv,Tilvísun Inv
Row {0}: {1} is required to create the Opening {2} Invoices,Row {0}: {1} er nauðsynlegt til að búa til opnun {2} Reikningar
Is Company Account,Er félagsreikningur
Do you want to notify all the customers by email?,Viltu tilkynna öllum viðskiptavinum með tölvupósti?
Sales,Sala
Tongue,Tunga
Excise Entry,Vörugjald
Clear filters,Hreinsa síur
In Transit,Í flutningi
Barcode {0} is not a valid {1} code,Strikamerki {0} er ekki gilt {1} kóða
Balance for Account {0} must always be {1},Jafnvægi fyrir reikninginn {0} verður alltaf að vera {1}
Invalid Blanket Order for the selected Customer and Item,Ógildur sængurpöntun fyrir valda viðskiptavininn og hlutinn
"If enabled, system will create the work order for the exploded items against which BOM is available.",Ef það er virkt mun kerfið búa til vinnu til að sprauta hluti sem BOM er í boði.
Product Bundle,Vara knippi
New Exchange Rate,Nýtt gengi
Open To Do,Opið að gera
Receiver List is empty. Please create Receiver List,Móttekin Listi er tóm. Vinsamlegast búðu til mótteknalista
Current Liabilities,Núverandi skuldir
ERPNext Demo,ERPNext Demo
Other Risk Factors,Aðrar áhættuþættir
To Range,Til sviðs
{0} applicable after {1} working days,{0} gilda eftir {1} virka daga
Task Description,Verkefni Lýsing
SWIFT Number,SWIFT númer
Show Payment Schedule in Print,Sýna greiðsluáætlun í prenti
Apply Tax Withholding Amount,Sækja um skattframtal
Supplier Scorecard Standing,Birgir Scorecard Standing
Quality Inspection Reading,Gæði skoðun lestur
Valid number of days,Gildir fjöldi daga
material_request_item,efni_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Sérsniðin undirskrift í prenti
Procedures,Málsmeðferð
Open Issues,Opna tölublað
Series for Asset Depreciation Entry (Journal Entry),Röð fyrir eignatekjur afskriftir (Journal Entry)
Occupancy Status,Staða umráðs
Privilege Leave,Forréttindi
Current Invoice End Date,Núverandi reikningsskiladagur
Collected Time,Safnað tíma
Please select BOM for Item in Row {0},Vinsamlegast veldu BOM fyrir lið í röð {0}
Expense Approver,Kostnaðarákvörðun
New Transactions,Nýjar færslur
Payable Amount,Greiðslugjald
All Supplier Contact,Allir birgir samband
Quotation {0} not of type {1},Tilvitnun {0} ekki af gerðinni {1}
Leave Type {0} is not encashable,Leyfi Type {0} er ekki encashable
Fulfilment Status,Uppfyllingarstaða
Unsubscribe from this Email Digest,Afskráðu þig frá þessum tölvupósti
{0} {1} created,{0} {1} búið til
Person Responsible,Persónuvernd
Asset Category,Eignaflokkur
Limit Percent,Takmarka prósentu
Cash Flow Mapping Accounts,Sjóðstreymisreikningar
Select Serial No,Veldu raðnúmer
Sales Return,Sala aftur
No record found,Engin skrá fannst
Expense Approvers,Kostnaðarsamþykktir
Group same items,Sameina sömu hluti
Parent Company,Móðurfélag
Reminder,Áminning
Bank Overdraft Account,Yfirdráttarreikningur bankans
Difference (Dr - Cr),Mismunur (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group","Varahópur er með sama nafni, vinsamlegast breyttu heiti vörunnar eða endurnefna hlutahópinn"
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Eftirfarandi atriði {0} er ekki merkt sem {1} atriði. Þú getur virkjað þau sem {1} atriði úr hlutastjóranum
Allow Overlap,Leyfa skarast
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Gildi fyrir eiginleika {0} verður að vera innan bilsins {1} til {2} í þrepum {3} fyrir lið {4}
Billing Details,Innheimtuupplýsingar
Quality Procedure Table,Gæðaviðmiðunartafla
Serial No {0} created,Raðnúmer {0} búið til
Warehouse Detail,Vörugeymsla smáatriði
To Deliver and Bill,Til að skila og reikna
Added to details,Bætt við smáatriði
