DocType: Accounting Period,Period Name,Numele perioadei
DocType: Education Settings,Validate Batch for Students in Student Group,Validați lotul pentru elevii din grupul de studenți
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Nici o înregistrare de concediu găsite pentru angajat {0} pentru {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Contul de câștig / pierdere din contul nerealizat
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Va rugam sa introduceti prima companie
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Vă rugăm să selectați Company primul
DocType: Employee Education,Under Graduate,Sub Absolvent
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Stabiliți șablonul implicit pentru notificarea de stare la ieșire în setările HR.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Țintă pe
DocType: BOM,Total Cost,Cost total
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Alocare expirată!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Frunze transmise maxim transportat
DocType: Salary Slip,Employee Loan,angajat de împrumut
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Trimiteți e-mail de solicitare de plată
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Articolul {0} nu există în sistem sau a expirat
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Lăsați necompletat dacă Furnizorul este blocat pe o perioadă nedeterminată
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Imobiliare
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Extras de cont
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Produse farmaceutice
DocType: Purchase Invoice Item,Is Fixed Asset,Este activ fix
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Afișați plăți viitoare
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Acest cont bancar este deja sincronizat
DocType: Homepage,Homepage Section,Secțiunea Prima pagină
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Ordinul de lucru a fost {0}
DocType: Budget,Applicable on Purchase Order,Aplicabil pe comanda de aprovizionare
DocType: Item,STO-ITEM-.YYYY.-,STO-ELEMENT-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Politica de parolă pentru Salarii Slips nu este setată
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,grup de clienți dublu exemplar găsit în tabelul grupului cutomer
DocType: Location,Location Name,Numele locatiei
DocType: Quality Procedure Table,Responsible Individual,Individ responsabil
DocType: Naming Series,Prefix,Prefix
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Locația evenimentului
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Stoc disponibil
DocType: Asset Settings,Asset Settings,Setările activelor
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Consumabile
DocType: Student,B-,B-
DocType: Assessment Result,Grade,calitate
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Cod articol&gt; Grup de articole&gt; Marcă
DocType: Restaurant Table,No of Seats,Numărul de scaune
DocType: Sales Invoice,Overdue and Discounted,Întârziat și redus
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Apel deconectat
DocType: Sales Invoice Item,Delivered By Supplier,Livrate de Furnizor
DocType: Asset Maintenance Task,Asset Maintenance Task,Activitatea de întreținere a activelor
DocType: SMS Center,All Contact,Toate contactele
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Salariu anual
DocType: Daily Work Summary,Daily Work Summary,Sumar Zilnic de Lucru
DocType: Period Closing Voucher,Closing Fiscal Year,Închiderea Anului Fiscal
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} este blocat
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Vă rugăm să selectați Companie pentru crearea Existent Plan de conturi
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Cheltuieli stoc
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Selectați Target Warehouse
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Selectați Target Warehouse
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Vă rugăm să introduceți preferate Contact E-mail
DocType: Purchase Invoice Item,Accepted Qty,Cantitate acceptată
DocType: Journal Entry,Contra Entry,Contra intrare
DocType: Journal Entry Account,Credit in Company Currency,Credit în companie valutar
DocType: Lab Test UOM,Lab Test UOM,Laboratorul de testare UOM
DocType: Delivery Note,Installation Status,Starea de instalare
DocType: BOM,Quality Inspection Template,Model de inspecție a calității
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Doriți să actualizați prezență? <br> Prezent: {0} \ <br> Absent: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Cant. acceptată + respinsă trebuie să fie egală cu cantitatea recepționată pentru articolul {0}
DocType: Item,Supply Raw Materials for Purchase,Materii prime de alimentare pentru cumparare
DocType: Agriculture Analysis Criteria,Fertilizer,Îngrăşământ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",Nu se poate asigura livrarea prin numărul de serie după cum este adăugat articolul {0} cu și fără Asigurați livrarea prin \ Nr.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Cel puțin un mod de plată este necesar factura POS.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Numărul lot nu este necesar pentru articol lot {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Tranzacție de poziție bancară
DocType: Salary Detail,Tax on flexible benefit,Impozitul pe beneficii flexibile
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Articolul {0} nu este activ sau sfarsitul ciclului sau de viata a fost atins
DocType: Student Admission Program,Minimum Age,Varsta minima
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Exemplu: matematică de bază
DocType: Customer,Primary Address,adresa primara
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Cantitate diferențială
DocType: Production Plan,Material Request Detail,Detalii privind solicitarea materialului
DocType: Selling Settings,Default Quotation Validity Days,Valabilitatea zilnică a cotațiilor
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Pentru a include taxa în rândul {0} în rata articol, impozitele în rânduri {1} trebuie de asemenea să fie incluse"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Procedura de calitate.
DocType: SMS Center,SMS Center,SMS Center
DocType: Payroll Entry,Validate Attendance,Validați participarea
DocType: Sales Invoice,Change Amount,Sumă schimbare
DocType: Party Tax Withholding Config,Certificate Received,Certificatul primit
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Setați valoarea facturii pentru B2C. B2CL și B2CS calculate pe baza acestei valori de facturare.
DocType: BOM Update Tool,New BOM,Nou BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Proceduri prescrise
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Afișați numai POS
DocType: Supplier Group,Supplier Group Name,Numele grupului de furnizori
DocType: Driver,Driving License Categories,Categorii de licență de conducere
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Introduceți data livrării
DocType: Depreciation Schedule,Make Depreciation Entry,Asigurați-vă Amortizarea Intrare
DocType: Closed Document,Closed Document,Document închis
DocType: HR Settings,Leave Settings,Lăsați Setările
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Tip Cerere
DocType: Purpose of Travel,Purpose of Travel,Scopul călătoriei
DocType: Payroll Period,Payroll Periods,Perioade de salarizare
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Transminiune
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Modul de configurare a POS (online / offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Dezactivează crearea de jurnale de timp împotriva comenzilor de lucru. Operațiunile nu vor fi urmărite împotriva ordinului de lucru
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Executie
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Detalii privind operațiunile efectuate.
DocType: Asset Maintenance Log,Maintenance Status,Stare Mentenanta
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Suma impozitului pe articol inclus în valoare
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Detalii de membru
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Furnizorul este necesar pentru Contul de plăți {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Articole și Prețuri
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Numărul total de ore: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},De la data trebuie să fie în anul fiscal. Presupunând că la data = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Interval
DocType: Pricing Rule,Promotional Scheme Id,Codul promoțional ID
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Preferinţă
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Consumabile interioare (susceptibile de încărcare inversă)
DocType: Supplier,Individual,Individual
DocType: Academic Term,Academics User,Utilizator cadru pedagogic
DocType: Cheque Print Template,Amount In Figure,Suma în Figura
DocType: Loan Application,Loan Info,Creditul Info
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Toate celelalte ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plan pentru vizite de mentenanță.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Perioada de evaluare a furnizorului
DocType: Support Settings,Search APIs,API-uri de căutare
DocType: Share Transfer,Share Transfer,Trimiteți transferul
,Expiring Memberships,Expirarea calității de membru
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Citiți blogul
DocType: POS Profile,Customer Groups,Grupuri de clienți
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Situațiile financiare
DocType: Guardian,Students,Elevi
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Normele de aplicare de stabilire a prețurilor și de scont.
DocType: Daily Work Summary,Daily Work Summary Group,Grup de lucru zilnic de lucru
DocType: Practitioner Schedule,Time Slots,Intervale de timp
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Lista de prețuri trebuie să fie aplicabilă pentru cumpărarea sau vânzarea de
DocType: Shift Assignment,Shift Request,Cerere de schimbare
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Data de instalare nu poate fi înainte de data de livrare pentru postul {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Reducere la Lista de preturi Rate (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Șablon de șablon
DocType: Job Offer,Select Terms and Conditions,Selectați Termeni și condiții
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,Valoarea afară
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Elementul pentru setările declarației bancare
DocType: Woocommerce Settings,Woocommerce Settings,Setări Woocommerce
DocType: Leave Ledger Entry,Transaction Name,Numele tranzacției
DocType: Production Plan,Sales Orders,Comenzi de Vânzări
