Pension Funds,Emeklilik fonları
Payment Entries {0} are un-linked,{0} Ödeme Girişleri bağlantılı değil
Open Notifications,Bildirimleri Aç
Successfully created payment entries,Başarıyla ödeme girişleri oluşturuldu
Mg/K,Mg / K
Has Serial No,Seri Numarası Yok
Manufacturing User,Üretim Kullanıcısı
Ledger,defteri kebir
Loan,borç
Fuel UOM,Yakıt UOM
Support,Destek
Invalid Company for Inter Company Transaction.,Şirketler Arası İşlem için Geçersiz Şirket.
Fixed Asset Depreciation Settings,Sabit Varlık Amortisman Ayarları
Department and Grade,Bölüm ve Not
Cheques Required,Gerekli Çekler
Do Not Contact,Temas etmeyin
Update Billed Amount in Sales Order,Satış Siparişinde Faturalı Tutarı Güncelle
Meal Preference,Yemek Tercihi
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","En yüksek önceliğe sahip birden fazla Fiyatlandırma Kuralları olsa bile, aşağıdaki iç öncelikler uygulanır:"
Employee {0} is not active or does not exist,{0} çalışanı aktif değil veya mevcut değil
List of all share transactions,Tüm hisse işlemlerinin listesi
Sales Defaults,Satış Varsayılanları
Overlap in scoring between {0} and {1},{0} ve {1} arasında puanlamada çakışma
Weightage,weightage
Create New Payment/Journal Entry,Yeni Ödeme Yaratın / Dergi Girişi
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Yukarıdaki koşullara göre iki veya daha fazla Fiyatlandırma Kuralları bulunursa, Öncelik uygulanır. Öncelik 0 ila 20 arasında bir sayıdır, varsayılan değer sıfırdır (boş). Daha yüksek sayı, aynı koşullara sahip birden fazla Fiyatlandırma Kuralları varsa öncelik kazanacağı anlamına gelir."
Row {0}: Qty is mandatory,{0} Satırı: Miktar zorunludur
Against Income Account,Gelir Hesaplarına Karşı
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Satır # {0}: {1} varlığına karşı Satınalma faturası yapılamıyor
UOM coversion factor required for UOM: {0} in Item: {1},"UOM için gerekli UOM kapsamı faktörü: {0}, Öğede: {1}"
Please enter quantity for Item {0},Lütfen {0} Maddesi için miktar girin
Electricity Cost,Elektrik Maliyeti
Vehicle Service,Araç servisi
Making Stock Entries,Stok Girişleri Yapmak
Fixed Deposit Number,Sabit Mevduat Numarası
Very Coated,Çok kaplamalı
Initial Email Notification Sent,İlk E-posta Bildirimi Gönderildi
For Warehouse,Depo için
"{0}: Employee email not found, hence email not sent","{0}: Çalışan e-postası bulunamadı, bu nedenle e-posta gönderilmedi"
From Currency,Para Biriminden
Return / Debit Note,İade / Borç Notu
"Order in which sections should appear. 0 is first, 1 is second and so on.","Hangi bölümlerin görünmesi gerektiğini sıralayın. 0 birinci, 1 ikinci ve benzeri."
Create Sales Orders to help you plan your work and deliver on-time,Çalışmanızı planlamanıza ve zamanında teslim etmenize yardımcı olacak Satış Siparişleri oluşturun
Something went wrong!,Bir şeyler yanlış gitti!
Please select Healthcare Service,Lütfen Sağlık Hizmeti Seçiniz
Apply / Approve Leaves,Yaprakları Uygula / Onayla
Applies to Company,Şirket için geçerlidir
Row {0}: Bill of Materials not found for the Item {1},{0} Satırı: {1} Öğesi için Malzeme Listesi bulunamadı
Account Info,Hesap bilgisi
Abbreviation,Kısaltma
Purchase Orders to Bill,Faturaya Sipariş Satın Alma
Total Net Weight,Toplam net ağırlık
Approving Role (above authorized value),Rolü Onaylama (yetkili değerin üstünde)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Eklentiyi Sürdür
Agriculture Manager,Tarım Müdürü
Batch Entries,Toplu Girişler
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Lütfen Satınalma Siparişinde Uygulanabilir ve Rezervasyon Gerçek Masraflarında Uygulanabilir
Gain/Loss on Asset Disposal,Varlığın Elden Çıkarılmasında Kazanç / Kayıp
Total Payment,Toplam ödeme
Total Number of Depreciations,Toplam amortisman sayısı
Fully Depreciated,Tamamen amortisman
Creating Accounts,Hesap Oluşturma
Item Variant Settings,Öğe Varyant Ayarları
Supplier Group Name,Tedarikçi Grup Adı
Sales Price List,Satış Fiyatı Listesi
How frequently?,Ne sıklıkla?
Supplier Warehouse,Tedarikçi Depo
Only Tax Impact (Cannot Claim But Part of Taxable Income),Sadece Vergi Etkisi (Talep Edilemez Ama Vergilendirilebilir Gelirin Bir Parçası)
Purchase Defaults,Satın Alma Varsayılanları
Contract Template,Sözleşme Şablonu
Serial No {0} does not belong to Batch {1},"{0} seri numarası, {1} grubuna ait değil"
Pending Leaves,Bekleyen Yapraklar
Applied,Uygulamalı
Consumption Details,Tüketim Detayları
Loading Payment System,Ödeme Ödeme Sistemi
Maximum Assessment Score,Maksimum Değerlendirme Puanı
Please set default template for Leave Status Notification in HR Settings.,Lütfen İK Ayarlarında Durum Durum Bildirimi için varsayılan şablonu ayarlayın.
Student Report Card,Öğrenci Rapor Kartı
Nature Of Supplies,Malzemelerin Doğası
Last Sync Datetime,Son Senkronizasyon Datetime
Code {0} already exist,{0} kodu zaten var
Based On Payment Terms,Ödeme Koşullarına Göre
This value is updated in the Default Sales Price List.,"Bu değer, Varsayılan Satış Fiyatı Listesinde güncellenmiştir."
Special Test Template,Özel Test Şablonu
Create Variants,Varyant Oluştur
Default Expense Account,Varsayılan Gider Hesabı
Please setup Students under Student Groups,Lütfen Öğrenci Grupları altındaki öğrencileri ayarlayın
Taxable Amount,Vergilendirilebilir Tutar
Lead Owner,Lider Sahibi
Transfer,Aktar
Search Item (Ctrl + i),Arama Öğesi (Ctrl + i)
{0} Result submittted,{0} Sonuç gönderildi
Supplier of Goods or Services.,Mal veya Hizmetlerin Tedarikçisi.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Yeni Hesabın Adı. Not: Lütfen Müşteriler ve Tedarikçiler için hesap oluşturmayın
Student Group or Course Schedule is mandatory,Öğrenci Grubu veya Ders Programı zorunludur
Sales Tax Template,Satış Vergisi Şablonu
Routing,Yönlendirme
Payment Reconciliation,Ödeme Uzlaşması
Match non-linked Invoices and Payments.,Bağlantısız Fatura ve Ödemeleri eşleştirin.
Opening Balances,Açılış bakiyeleri
PAN,TAVA
Operation Cost,Operasyon maliyeti
Name of Beneficiary,Yararlanıcının Adı
New Address,Yeni adres
From BOM,Ürün reçetesinden
Student Applicant,Öğrenci Başvuran
Leave Balance Before Application,Uygulama Öncesi Bakiye Bırakın
Expiry date is mandatory for selected item,Seçilen öğe için son kullanma tarihi zorunludur
Default Target Warehouse,Varsayılan Hedef Depo
Show Salary Slip,Maaş fişini göster
Percentage Allocation should be equal to 100%,Yüzde Tahsisi% 100&#39;e eşit olmalıdır
UOM Conversion Factor,UOM Dönüşüm Faktörü
Stock cannot be updated against Purchase Receipt {0},{0} Satınalma Fişine karşı stok güncellenemiyor
Item Row {0}: {1} {2} does not exist in above '{1}' table,Öğe Satırı {0}: {1} {2} yukarıdaki &#39;{1}&#39; tablosunda mevcut değil
2 Yearly,2 Yıllık
Guardian Student,Koruyucu Öğrenci
Please add a Temporary Opening account in Chart of Accounts,Lütfen Hesap Planına Geçici Açılış hesabı ekleyin.
Include in gross,Brüt dahil
Select Serial Numbers,Seri Numaralarını Seç
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},{0} Satırı: Parti / Hesap {3} {4} &#39;de {1} / {2} ile eşleşmiyor
Invalid reference {0} {1},Geçersiz referans {0} {1}
Corrective/Preventive,Önleyici / Düzeltici
Work In Progress,Devam Eden Çalışmalar
Account Currency,Hesap Para Birimi
credit_note_amt,credit_note_amt
Action Name,İşlem Adı
Health Insurance,Sağlık Sigortası
Max Strength,Maksimum gücü
Duplicate customer group found in the cutomer group table,Müşteri grubu tablosunda bulunan yinelenen müşteri grubu
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","{0} tarihinden önce izin uygulanamaz / iptal edilemez, çünkü izin dengesi gelecekteki izin tahsisat kaydında ileri sürülmüştür {1}"
Min Amount,Min Miktarı
Rate With Margin (Company Currency),Marj Oranı (Şirket Para Birimi)
Follow Up,Takip et
Shipping Country,Nakliye ülkesi
Track this Delivery Note against any Project,Bu Teslim Notunu herhangi bir Projeye Karşı İzleyin
Default Payroll Payable Account,Varsayılan Bordro Borçlu Hesabı
Update Schedule,Güncelleme Çizelgesi
Updating estimated arrival times.,Tahmini varış zamanları güncelleniyor.
Finance Book Detail,Finans Kitap Detayı
Serial No {0} does not belong to Delivery Note {1},"{0} seri numarası, {1} Teslim Notuna ait değil"
Please set Tax ID for the customer '%s',Lütfen müşterinin Vergi Kimlik Numarasını ayarlayın &#39;% s&#39;
Logo,Logo
Include holidays within leaves as leaves,Yapraklara tatilleri yaprak olarak dahil et
Shift Request,Vardiya İsteği
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Yatan Hasta Kaydı İşaretlenemiyor, Faturalandırılmamış Faturalar {0} var"
Scope,kapsam
Service Stop Date,Servis Durdurma Tarihi
Publish Date,Yayın tarihi
O+,O +
Work Order,İş emri
Transaction,işlem
per hour,saat başı
This action will stop future billing. Are you sure you want to cancel this subscription?,Bu işlem gelecekteki faturalandırmayı durduracaktır. Bu aboneliği iptal etmek istediğinize emin misiniz?
State/UT Tax,Devlet / UT Vergisi
Scorecards,Skor kartları
Projected Quantity as Source,Kaynak Olarak Tahmini Miktar
Parent Supplier Group,Ana Tedarikçi Grubu
Rows with duplicate due dates in other rows were found: {0},Diğer satırlarda yinelenen bitiş tarihi olan satırlar bulundu: {0}
EDU-FEE-.YYYY.-,EDU-ÜCRET-.YYYY.-
Chart Of Accounts Template,Hesap Şablonu Şablonu
Lead,Öncülük etmek
KRA,ÖSA
Setup Institution,Kurulum Kurumu
Salary Register,Maaş Sicili
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","Çok katmanlı program olması durumunda, Müşteriler harcadıkları gibi ilgili katmana otomatik olarak atanır"
Posting Date,Oluşturulma tarihi
Attendance From Date,Tarihten Devam
Program in the Fee Structure and Student Group {0} are different.,Ücret Yapısı ve {0} Öğrenci Grubundaki program farklıdır.
GST Summary,GST Özeti
Make Academic Term Mandatory,Akademik Terimi Zorunlu Yapmak
Odometer Value (Last),Kilometre Sayacı Değeri (Son)
Transfer an asset from one warehouse to another,Bir öğeyi bir depodan diğerine aktarma
Seating Capacity,Oturma kapasitesi
Employee Benefit Application Detail,Çalışanlara Sağlanan Fayda Başvuru Detayı
Employee {0} has already applied for {1} between {2} and {3} : ,{0} çalışanı {2} ve {3} arasında {1} için zaten başvurdu:
Capital Work In Progress Account,Devam Eden Hesapta Sermaye Çalışması
Benefit Type and Amount,Avantaj Türü ve Tutarı
Please set default payable account for the company {0},Lütfen {0} şirketi için varsayılan ödenecek hesabı ayarlayın.
Holiday List,Tatil Listesi
Total Time in Mins,Dakikada Toplam Süre
Shipping Amount,Nakliye Tutarı
Total Absent,Toplam Yok
Reference Inv,Referans Inv
Row {0}: {1} is required to create the Opening {2} Invoices,{2} Faturaları Açmak için {0}: {1} Satırı gerekiyor.
Is Company Account,Şirket Hesabı
Do you want to notify all the customers by email?,Tüm müşterileri e-posta ile bilgilendirmek ister misiniz?
Sales,Satış
Tongue,Dil
Excise Entry,ÖTV girişi
Clear filters,Filtreleri temizle
In Transit,Transit olarak
Barcode {0} is not a valid {1} code,{0} barkodu geçerli bir {1} kodu değil
Balance for Account {0} must always be {1},{0} Hesabı Bakiyesi her zaman {1} olmalıdır
Invalid Blanket Order for the selected Customer and Item,Seçilen Müşteri ve Ürün için Geçersiz Battaniye Sırası
"If enabled, system will create the work order for the exploded items against which BOM is available.","Etkinleştirildiğinde, sistem, malzeme listesinin uygun olduğu patlamış ürünler için iş emri oluşturur."
Product Bundle,Ürün Paketi
New Exchange Rate,Yeni Döviz Kuru
Open To Do,Yapılacaklar
Receiver List is empty. Please create Receiver List,Alıcı Listesi boş. Lütfen Alıcı Listesi oluşturun
Current Liabilities,Cari Borçlar
ERPNext Demo,ERPNext Demo
Other Risk Factors,Diğer Risk Faktörleri
To Range,Menzile
{0} applicable after {1} working days,{0} {1} iş gününden sonra uygulanabilir
Task Description,Görev tanımı
SWIFT Number,SWIFT Numarası
Show Payment Schedule in Print,Basılı Ödeme Planını Göster
Apply Tax Withholding Amount,Vergi Stopaj Tutarı Uygula
Supplier Scorecard Standing,Tedarikçi Puan Kartı Daimi
Quality Inspection Reading,Kalite Muayene Okuma
Valid number of days,Geçerli gün sayısı
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Baskıda Özel İmza
Procedures,prosedürler
Open Issues,Açık sorunlar
Series for Asset Depreciation Entry (Journal Entry),Varlık Amortisman Girişi için Seri (Dergi Girişi)
Occupancy Status,Doluluk Durumu
Privilege Leave,Imtiyaz izni
Current Invoice End Date,Mevcut Fatura Bitiş Tarihi
Collected Time,Toplanan zaman
Please select BOM for Item in Row {0},Lütfen {0} Satırındaki Öğe için Malzeme Listesini seçin
Expense Approver,Gider Onayı
New Transactions,Yeni İşlemler
Payable Amount,Ödenebilir miktar
All Supplier Contact,Tüm Tedarikçi İletişim
Quotation {0} not of type {1},{0} tırnak {1} tipinde değil
Leave Type {0} is not encashable,{0} türünü bırakın
Fulfilment Status,Yerine Getirme Durumu
Unsubscribe from this Email Digest,Bu e-posta listesinden çıkmak
{0} {1} created,{0} {1} oluşturuldu
Person Responsible,Sorumlu kişi
Asset Category,Varlık Kategorisi
Limit Percent,Yüzde Sınırı
Cash Flow Mapping Accounts,Nakit Akışı Haritalama Hesapları
Select Serial No,Seri No Seç
Sales Return,Satış İadesi
No record found,Kayıt Bulunamadı
Expense Approvers,Gider Onaylayanlar
Group same items,Aynı öğeleri gruplandır
Parent Company,Ana Şirket
Reminder,Hatırlatma
Bank Overdraft Account,Banka Para Çekme Hesabı
Difference (Dr - Cr),Fark (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group","Aynı isimde bir Öğe Grubu var, lütfen öğe adını değiştirin veya öğe grubunu yeniden adlandırın"
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Aşağıdaki {0} maddesi {1} maddesi olarak işaretlenmemiş. Bunları kendi Ürün ana öğesinden {1} öğe olarak etkinleştirebilirsiniz.
Allow Overlap,Örtüşmeye İzin Ver
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},"{0} Özniteliği için değer, {4} Maddesi için {3} artışlarında {1} ila {2} aralığında olmalıdır"
Billing Details,Fatura Detayları
Quality Procedure Table,Kalite Prosedürü Tablosu
Serial No {0} created,Seri Numarası {0} oluşturuldu
Warehouse Detail,Depo Detayı
To Deliver and Bill,Teslim Etmek ve Faturalandırmak
Added to details,Ayrıntılara eklendi
Add Users to Marketplace,Kullanıcıları Pazara Eklemek
Remind Before,Önce hatırlat
Manage Customer,Müşteriyi Yönet
Tier Name,Katman Adı
Manufacturing Settings,Üretim Ayarları
Taken,Alınmış
Please select Start Date and End Date for Item {0},Lütfen {0} Maddesi için Başlangıç Tarihi ve Bitiş Tarihi&#39;ni seçin.
