Pension Funds,Pensioenfonds
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","As twee of meer prysreëls gevind word op grond van bogenoemde voorwaardes, word Prioriteit toegepas. Prioriteit is &#39;n getal tussen 0 en 20 terwyl die standaardwaarde nul is (leeg). Hoër getal beteken dat dit voorrang sal hê indien daar verskeie prysreëls met dieselfde toestande is."
Row {0}: Qty is mandatory,Ry {0}: Hoeveelheid is verpligtend
Against Income Account,Teen Inkomsterekening
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Ry # {0}: Aankoopfaktuur kan nie teen &#39;n bestaande bate gemaak word nie {1}
UOM coversion factor required for UOM: {0} in Item: {1},UOM dekselfaktor benodig vir UOM: {0} in Item: {1}
Please enter quantity for Item {0},Voer asseblief die hoeveelheid in vir item {0}
Electricity Cost,Elektrisiteitskoste
Vehicle Service,Voertuigdiens
Making Stock Entries,Maak voorraadinskrywings
Fixed Deposit Number,Vaste deposito nommer
Very Coated,Baie bedek
Initial Email Notification Sent,Aanvanklike e-pos kennisgewing gestuur
For Warehouse,Vir pakhuis
"{0}: Employee email not found, hence email not sent","{0}: Werknemer e-pos nie gevind nie, vandaar e-pos nie gestuur nie"
From Currency,Van Geld
Return / Debit Note,Opgawe / Debiet Nota
"Order in which sections should appear. 0 is first, 1 is second and so on.","Bestelling in watter afdelings moet verskyn. 0 is eerste, 1 is tweede en so aan."
Create Sales Orders to help you plan your work and deliver on-time,Skep verkoopsbestellings om jou te help om jou werk te beplan en betyds te lewer
Something went wrong!,Iets het verkeerd geloop!
Please select Healthcare Service,Kies asseblief Gesondheidsorgdiens
Apply / Approve Leaves,Pas toe / aanvaar blare
Applies to Company,Van toepassing op Maatskappy
Row {0}: Bill of Materials not found for the Item {1},Ry {0}: Rekening van materiaal wat nie vir die item {1} gevind is nie.
Account Info,Rekening informasie
Abbreviation,staat
Purchase Orders to Bill,Aankooporders aan rekening
Total Net Weight,Totale netto gewig
Approving Role (above authorized value),Goedkeurende rol (bo gemagtigde waarde)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Hersien aanhangsel
Agriculture Manager,Landboubestuurder
Batch Entries,Joernaal Inskrywings
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Aktiveer asseblief Toepaslik op Aankoopbestelling en Toepaslik op Boekings Werklike Uitgawes
Gain/Loss on Asset Disposal,Wins / verlies op bateverkope
Total Payment,Totale betaling
Total Number of Depreciations,Totale aantal afskrywings
Fully Depreciated,Ten volle gedepresieer
Creating Accounts,Rekeninge skep
Item Variant Settings,Item Variant instellings
Supplier Group Name,Verskaffer Groep Naam
Sales Price List,Verkooppryslys
How frequently?,Hoe gereeld?
Supplier Warehouse,Verskaffer Warehouse
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Slegs Belasting Impak (Kan nie eis nie, maar deel van Belasbare inkomste)"
Purchase Defaults,Aankoop verstek
Contract Template,Kontrak Sjabloon
Serial No {0} does not belong to Batch {1},Rekeningnommer {0} hoort nie by bondel {1}
Pending Leaves,Hangende blare
Applied,Toegepaste
Consumption Details,Verbruik besonderhede
Loading Payment System,Laai betaalstelsel
Maximum Assessment Score,Maksimum assesserings telling
Please set default template for Leave Status Notification in HR Settings.,Stel asb. Standaard sjabloon vir verlofstatus kennisgewing in MH-instellings in.
Student Report Card,Studenteverslagkaart
Nature Of Supplies,Aard van Voorrade
Last Sync Datetime,Laaste sinchronisatietyd
Code {0} already exist,Kode {0} bestaan reeds
Based On Payment Terms,Op grond van betaling voorwaardes
This value is updated in the Default Sales Price List.,Hierdie waarde word opgedateer in die verstekverkooppryslys.
Special Test Template,Spesiale Toets Sjabloon
Create Variants,Skep Varianten
Default Expense Account,Verstek uitgawes rekening
Please setup Students under Student Groups,Stel asseblief studente onder Studentegroepe op
Taxable Amount,Belasbare Bedrag
Lead Owner,Leier Eienaar
Transfer,oordrag
Search Item (Ctrl + i),Soek item (Ctrl + i)
{0} Result submittted,{0} Resultaat ingedien
Supplier of Goods or Services.,Verskaffer van goedere of dienste.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Naam van nuwe rekening. Nota: skep asseblief nie rekeninge vir kliënte en verskaffers nie
Student Group or Course Schedule is mandatory,Studentegroep of Kursusskedule is verpligtend
Sales Tax Template,Sales Tax Template
Routing,routing
Payment Reconciliation,Betaalversoening
Match non-linked Invoices and Payments.,Pas nie-gekoppelde fakture en betalings.
Opening Balances,Openingsaldo&#39;s
PAN,PAN
Operation Cost,Bedryfskoste
Name of Beneficiary,Naam van Begunstigde
New Address,Nuwe adres
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Filiaalmaatskappye het reeds beplan vir {1} vakatures teen &#39;n begroting van {2}. \ Staffing Plan vir {0} moet meer vakatures en begroting vir {3} toeken as beplan vir sy filiaalmaatskappye
From BOM,Van BOM
Student Applicant,Studente Aansoeker
Leave Balance Before Application,Verlofbalans Voor Aansoek
Expiry date is mandatory for selected item,Vervaldatum is verpligtend vir geselekteerde item
Default Target Warehouse,Standaard Target Warehouse
Show Salary Slip,Toon Salary Slip
Percentage Allocation should be equal to 100%,Persentasie toekenning moet gelyk wees aan 100%
UOM Conversion Factor,UOM Gesprekfaktor
Item Row {0}: {1} {2} does not exist in above '{1}' table,Itemreeks {0}: {1} {2} bestaan nie in bostaande &#39;{1}&#39; tabel nie
2 Yearly,2 jaarliks
Guardian Student,Voog Student
Please add a Temporary Opening account in Chart of Accounts,Voeg asseblief &#39;n Tydelike Openingsrekening in die Kaart van Rekeninge by
Include in gross,Sluit in bruto
Select Serial Numbers,Kies Serial Numbers
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Ry {0}: Party / Rekening stem nie ooreen met {1} / {2} in {3} {4}
Invalid reference {0} {1},Ongeldige verwysing {0} {1}
Corrective/Preventive,Korrektiewe / voorkomende
Work In Progress,Werk aan die gang
Account Currency,Rekening Valuta
credit_note_amt,credit_note_amt
Action Name,Aksie Naam
Health Insurance,Gesondheidsversekering
Max Strength,Maksimum sterkte
Duplicate customer group found in the cutomer group table,Duplikaat klante groep gevind in die cutomer groep tabel
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Verlof kan nie voor {0} toegepas / gekanselleer word nie, aangesien verlofbalans reeds in die toekomstige verlofrekordrekord {1} oorgedra is."
Min Amount,Min bedrag
Rate With Margin (Company Currency),Koers met marges (maatskappy geldeenheid)
Follow Up,Volg op
Shipping Country,Versending Land
Track this Delivery Note against any Project,Volg hierdie Afleweringsnota teen enige Projek
Default Payroll Payable Account,Standaard betaalstaat betaalbare rekening
Update Schedule,Dateer skedule op
Updating estimated arrival times.,Opdatering van geskatte aankomstye.
Finance Book Detail,Finansies Boek Detail
Please set Tax ID for the customer '%s',Stel asseblief belasting ID vir die kliënt &#39;% s&#39; in
Logo,logo
Include holidays within leaves as leaves,Sluit vakansiedae in blare in as blare
Shift Request,Versoek Versoek
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Kan nie Inpatientrekord ontbloot nie, daar is onbillike fakture {0}"
Scope,omvang
Service Stop Date,Diensstopdatum
Publish Date,Publiseer datum
O+,O +
Work Order,Werks bestelling
Transaction,transaksie
per hour,per uur
This action will stop future billing. Are you sure you want to cancel this subscription?,Hierdie aksie sal toekomstige fakturering stop. Is jy seker jy wil hierdie intekening kanselleer?
State/UT Tax,Staat / UT Belasting
Scorecards,telkaarte
Projected Quantity as Source,Geprojekteerde hoeveelheid as bron
Parent Supplier Group,Ouer Verskaffersgroep
Rows with duplicate due dates in other rows were found: {0},Rye met duplikaatsperdatums in ander rye is gevind: {0}
EDU-FEE-.YYYY.-,EDU-fooi-.YYYY.-
Chart Of Accounts Template,Sjabloon van rekeninge
Lead,lood
KRA,KRA
Setup Institution,Setup instelling
Salary Register,Salarisregister
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","In die geval van &#39;n multi-vlak program, sal kliënte outomaties toegewys word aan die betrokke vlak volgens hul besteding"
Posting Date,Plasing datum
Attendance From Date,Bywoning vanaf datum
Program in the Fee Structure and Student Group {0} are different.,Program in die Fooistruktuur en Studentegroep {0} is anders.
GST Summary,GST Opsomming
Make Academic Term Mandatory,Maak akademiese termyn verpligtend
Odometer Value (Last),Odometer Waarde (Laaste)
Transfer an asset from one warehouse to another,Oordra &#39;n bate van een pakhuis na &#39;n ander
Seating Capacity,Sitplekvermoë
Employee Benefit Application Detail,Werknemervoordeel-aansoekbesonderhede
Employee {0} has already applied for {1} between {2} and {3} : ,Werknemer {0} het reeds aansoek gedoen vir {1} tussen {2} en {3}:
Capital Work In Progress Account,Kapitaal Werk in Voortgesette Rekening
Benefit Type and Amount,Voordeel Tipe en Bedrag
Holiday List,Vakansie Lys
Total Time in Mins,Totale tyd in myne
Shipping Amount,Posgeld
Total Absent,Totaal Afwesig
Reference Inv,Verwysings Inv
Row {0}: {1} is required to create the Opening {2} Invoices,Ry {0}: {1} is nodig om die openings {2} fakture te skep
Is Company Account,Is Maatskappyrekening
Do you want to notify all the customers by email?,Wil u al die kliënte per e-pos in kennis stel?
Sales,verkope
Tongue,tong
Excise Entry,Aksynsinskrywing
Clear filters,Maak filters skoon
In Transit,Onderweg
Barcode {0} is not a valid {1} code,Barcode {0} is nie &#39;n geldige {1} kode
Balance for Account {0} must always be {1},Saldo vir rekening {0} moet altyd {1} wees
Invalid Blanket Order for the selected Customer and Item,Ongeldige bestelling vir die gekose kliënt en item
"If enabled, system will create the work order for the exploded items against which BOM is available.","As dit geaktiveer is, sal die stelsel die werkorde vir die ontplofte items skep teen watter BOM beskikbaar is."
Product Bundle,Produk Bundel
New Exchange Rate,Nuwe wisselkoers
Open To Do,Oop om te doen
Receiver List is empty. Please create Receiver List,Ontvangerlys is leeg. Maak asseblief Ontvangerlys
Current Liabilities,Huidige Laste
ERPNext Demo,ERPNext Demo
Other Risk Factors,Ander risikofaktore
To Range,Om te wissel
{0} applicable after {1} working days,{0} van toepassing na {1} werksdae
Task Description,Taak Beskrywing
SWIFT Number,SWIFT nommer
Show Payment Schedule in Print,Wys betalingskedule in druk
Apply Tax Withholding Amount,Pas Belastingterughoudingsbedrag toe
Supplier Scorecard Standing,Verskaffer Scorecard Standing
Quality Inspection Reading,Kwaliteit Inspeksie Lees
Valid number of days,Geldige aantal dae
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Aangepaste handtekening in druk
Procedures,prosedures
Open Issues,Open probleme
Series for Asset Depreciation Entry (Journal Entry),Reeks vir Bate Waardevermindering Inskrywing (Joernaal Inskrywing)
Occupancy Status,Behuisingsstatus
Privilege Leave,Privilege Verlof
Current Invoice End Date,Huidige Faktuur Einddatum
Collected Time,Versamelde tyd
Please select BOM for Item in Row {0},Kies asseblief BOM vir item in ry {0}
Expense Approver,Uitgawe Goedkeuring
New Transactions,Nuwe transaksies
Payable Amount,Betaalbare bedrag
All Supplier Contact,Alle Verskaffers Kontak
Quotation {0} not of type {1},Kwotasie {0} nie van tipe {1}
Leave Type {0} is not encashable,Verlof Tipe {0} is nie inbreekbaar nie
Fulfilment Status,Vervulling Status
Unsubscribe from this Email Digest,Uitschrijven van hierdie e-pos verhandeling
{0} {1} created,{0} {1} geskep
Person Responsible,Persoon Verantwoordelik
Asset Category,Bate-kategorie
Limit Percent,Limiet persentasie
Cash Flow Mapping Accounts,Kontantvloeikaartrekeninge
Select Serial No,Kies Serial No
Sales Return,Verkope Retour
No record found,Geen rekord gevind nie
Expense Approvers,Uitgawes
Group same items,Groep dieselfde items
Parent Company,Ouer maatskappy
Reminder,herinnering
Bank Overdraft Account,Bankoortrekkingsrekening
Difference (Dr - Cr),Verskil (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group","&#39;N Itemgroep bestaan met dieselfde naam, verander die itemnaam of verander die naamgroep"
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Volgende item {0} is nie gemerk as {1} item nie. U kan hulle as {1} item in die Item-meester aktiveer
Allow Overlap,Laat oorvleuel toe
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Waarde vir kenmerk {0} moet binne die omvang van {1} tot {2} in die inkremente van {3} vir Item {4}
Billing Details,Rekeningbesonderhede
Quality Procedure Table,Kwaliteitsprosedure Tabel
Serial No {0} created,Rekeningnommer {0} geskep
Warehouse Detail,Warehouse Detail
To Deliver and Bill,Om te lewer en rekening
Added to details,Bygevoeg aan besonderhede
Add Users to Marketplace,Voeg gebruikers by die Marktplaats
Remind Before,Herinner aan voorheen
Manage Customer,Bestuur kliënt
Tier Name,Tier Naam
Manufacturing Settings,Vervaardigingsinstellings
Taken,geneem
Please select Start Date and End Date for Item {0},Kies asseblief begin datum en einddatum vir item {0}
Education Settings,Onderwysinstellings
Admission End Date,Toelating Einddatum
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","As jy {0} {1} die waarde van item <b>{2} is</b> , sal die skema <b>{3}</b> op die item toegepas word."
Please specify Company to proceed,Spesifiseer asseblief Maatskappy om voort te gaan
Asset Maintenance Team,Bate Onderhoudspan
Material Request Date,Materiaal Versoek Datum
Responsibilities,verantwoordelikhede
Total Costing Amount (via Timesheets),Totale kosteberekening (via tydskrifte)
Importing Items and UOMs,Items en UOM&#39;s invoer
Leaves per Year,Blare per jaar
Date of Leaving,Datum van vertrek
Export E-Invoices,E-fakture uit te voer
Laboratory SMS Alerts,Laboratorium SMS Alert
Is Published,Is gepubliseer
