DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},تم سے پہلے اندراجات شامل کرنے یا اپ ڈیٹ کرنے کی اجازت نہیں ہے {0}
DocType: Leave Policy,Leave Policy Details,پالیسی کی تفصیلات چھوڑ دو
DocType: BOM,Item Image (if not slideshow),آئٹم تصویر (سلائڈ شو نہیں تو)
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,ڰنٹےکی شرح / 60) * اصل آپریشن کے وقت)
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,قطار # {0}: ریفرنس دستاویز کی قسم میں اخراجات کا دعوی یا جرنل انٹری ہونا لازمی ہے
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,BOM منتخب
DocType: SMS Log,SMS Log,ایس ایم ایس لاگ ان
DocType: Call Log,Ringing,بج رہا ہے۔
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,ہونے والا اشیا کی لاگت
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,{0} پر چھٹی تاریخ سے اور تاریخ کے درمیان نہیں ہے
DocType: Inpatient Record,Admission Scheduled,داخلہ طے شدہ
DocType: Student Log,Student Log,طالب علم دلے
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,سپلائر اسٹینڈنگ کے سانچے.
DocType: Lead,Interested,دلچسپی رکھنے والے
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,افتتاحی
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,پروگرام:
DocType: Item,Copy From Item Group,آئٹم گروپ سے کاپی
DocType: Journal Entry,Opening Entry,افتتاحی انٹری
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,اکاؤنٹ تنخواہ صرف
DocType: Loan,Repay Over Number of Periods,دوران ادوار کی تعداد ادا
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,پیداواری مقدار صفر سے کم نہیں ہوسکتی ہے۔
DocType: Stock Entry,Additional Costs,اضافی اخراجات
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,موجودہ لین دین کے ساتھ اکاؤنٹ گروپ میں تبدیل نہیں کیا جا سکتا.
DocType: Lead,Product Enquiry,مصنوعات کی انکوائری
DocType: Education Settings,Validate Batch for Students in Student Group,طالب علم گروپ کے طلبا کے بیچ کی توثیق
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},ملازم کیلئے کوئی چھٹی ریکارڈ {0} کے لئے {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,غیر حقیقی تبادلہ ایکسچینج / نقصان کا اکاؤنٹ
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,پہلی کمپنی داخل کریں
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,پہلی کمپنی کا انتخاب کریں
DocType: Employee Education,Under Graduate,گریجویٹ کے تحت
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,براہ کرم انسانی حقوق کی ترتیبات میں چھوڑ اسٹیٹ نوٹیفیکیشن کے لئے ڈیفالٹ سانچے مقرر کریں.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,ہدف پر
DocType: BOM,Total Cost,کل لاگت
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,الاٹیکشن کی میعاد ختم ہوگئی!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,فارورڈڈ پتے زیادہ سے زیادہ لے جائیں۔
DocType: Salary Slip,Employee Loan,ملازم قرض
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS -YY .-. ایم ایم.-
DocType: Fee Schedule,Send Payment Request Email,ای میل ادائیگی کی درخواست بھیجیں
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,{0} آئٹم نظام میں موجود نہیں ہے یا ختم ہو گیا ہے
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,خالی چھوڑ دو اگر سپلائر غیر یقینی طور پر بند ہو جائے
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,ریل اسٹیٹ کی
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,اکاؤنٹ کا بیان
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,دواسازی
DocType: Purchase Invoice Item,Is Fixed Asset,فکسڈ اثاثہ ہے
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,مستقبل کی ادائیگی دکھائیں۔
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT -YYYY-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,یہ بینک اکاؤنٹ پہلے ہی مطابقت پذیر ہے۔
DocType: Homepage,Homepage Section,مرکزی صفحہ سیکشن
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},کام آرڈر {0}
DocType: Budget,Applicable on Purchase Order,خریداری آرڈر پر لاگو
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM -YYYY-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,تنخواہ پرچی کے لئے پاس ورڈ کی پالیسی مرتب نہیں کی گئی ہے۔
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,cutomer گروپ کے ٹیبل میں پایا ڈوپلیکیٹ گاہک گروپ
DocType: Location,Location Name,مقام کا نام
DocType: Quality Procedure Table,Responsible Individual,ذمہ دار انفرادی۔
DocType: Naming Series,Prefix,اپسرگ
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,واقعہ مقام
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,دستیاب اسٹاک
DocType: Asset Settings,Asset Settings,اثاثہ کی ترتیبات
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,فراہمی
DocType: Student,B-,B-
DocType: Assessment Result,Grade,گریڈ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,آئٹم کوڈ&gt; آئٹم گروپ&gt; برانڈ
DocType: Restaurant Table,No of Seats,نشستوں کی تعداد
DocType: Sales Invoice,Overdue and Discounted,ضرورت سے زیادہ اور چھوٹ
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,کال منقطع۔
DocType: Sales Invoice Item,Delivered By Supplier,سپلائر کی طرف سے نجات بخشی
DocType: Asset Maintenance Task,Asset Maintenance Task,اثاثہ بحالی کا کام
DocType: SMS Center,All Contact,تمام رابطہ
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,سالانہ تنخواہ
DocType: Daily Work Summary,Daily Work Summary,روز مرہ کے کام کا خلاصہ
DocType: Period Closing Voucher,Closing Fiscal Year,مالی سال بند
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} منجمد ھو گیا ھے
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,اکاؤنٹس کا چارٹ بنانے کے لئے موجودہ کمپنی براہ مہربانی منتخب کریں
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,اسٹاک اخراجات
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,کے ھدف گودام کریں
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,کے ھدف گودام کریں
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,داخل کریں ترجیحی رابطہ ای میل
DocType: Purchase Invoice Item,Accepted Qty,قبول کیا مقدار
DocType: Journal Entry,Contra Entry,برعکس انٹری
DocType: Journal Entry Account,Credit in Company Currency,کمپنی کرنسی میں کریڈٹ
DocType: Lab Test UOM,Lab Test UOM,لیب ٹیسٹ UOM
DocType: Delivery Note,Installation Status,تنصیب کی حیثیت
DocType: BOM,Quality Inspection Template,کوالٹی معائنہ سانچہ
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",آپ کی حاضری کو اپ ڈیٹ کرنا چاہتے ہیں؟ <br> موجودہ: {0} \ <br> غائب: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},مقدار مسترد منظور + شے کے لئے موصول مقدار کے برابر ہونا چاہیے {0}
DocType: Item,Supply Raw Materials for Purchase,خام مال کی سپلائی کی خریداری کے لئے
DocType: Agriculture Analysis Criteria,Fertilizer,کھاد
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.",سیریل نمبر کی طرف سے \ آئٹم {0} کے ذریعے ترسیل کو یقینی بنانے کے بغیر اور سیریل نمبر کی طرف سے یقینی بنانے کے بغیر شامل نہیں کیا جاسکتا ہے.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,ادائیگی کی کم از کم ایک موڈ POS انوائس کے لئے ضروری ہے.
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,بینک بیان ٹرانزیکشن انوائس آئٹم
DocType: Salary Detail,Tax on flexible benefit,لچکدار فائدہ پر ٹیکس
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,{0} آئٹم فعال نہیں ہے یا زندگی کے اختتام تک پہنچ گیا ہے
DocType: Student Admission Program,Minimum Age,کم از کم عمر
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,مثال: بنیادی ریاضی
DocType: Customer,Primary Address,ابتدائی پتہ
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,مختلف مقدار
DocType: Production Plan,Material Request Detail,مواد کی درخواست کی تفصیل
DocType: Selling Settings,Default Quotation Validity Days,پہلے سے طے شدہ کوٹمنٹ والوتی دن
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",شے کی درجہ بندی میں صف {0} میں ٹیکس شامل کرنے کے لئے، قطار میں ٹیکس {1} بھی شامل کیا جانا چاہئے
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,کوالٹی پروسیجر
DocType: SMS Center,SMS Center,ایس ایم ایس مرکز
DocType: Payroll Entry,Validate Attendance,حاضری درست کریں
DocType: Sales Invoice,Change Amount,رقم تبدیل
DocType: Party Tax Withholding Config,Certificate Received,سرٹیفکیٹ موصول ہوا
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,B2C کے لئے انوائس ویلیو سیٹ کریں. اس رسید قیمت پر مبنی B2CL اور B2CS کی حساب سے.
DocType: BOM Update Tool,New BOM,نیا BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,مقرر کردہ طریقہ کار
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,صرف POS دکھائیں
DocType: Supplier Group,Supplier Group Name,سپلائر گروپ کا نام
DocType: Driver,Driving License Categories,ڈرائیونگ لائسنس زمرہ جات
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,ڈلیوری کی تاریخ درج کریں
DocType: Depreciation Schedule,Make Depreciation Entry,ہراس اندراج
DocType: Closed Document,Closed Document,بند دستاویز
DocType: HR Settings,Leave Settings,ترتیبات چھوڑ دو
DocType: Appraisal Template Goal,KRA,سے Kra
DocType: Lead,Request Type,درخواست کی قسم
DocType: Purpose of Travel,Purpose of Travel,سفر کا مقصد
DocType: Payroll Period,Payroll Periods,ادائیگی کا وقت
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,نشریات
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),POS کی سیٹ اپ موڈ (آن لائن / آف لائن)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,کام کے حکم کے خلاف وقت کی لاگت کی تخلیق کو غیر فعال کرتا ہے. آپریشن آرڈر کے خلاف کارروائی نہیں کی جائے گی
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,پھانسی
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,آپریشن کی تفصیلات سے کئے گئے.
DocType: Asset Maintenance Log,Maintenance Status,بحالی رتبہ
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,آئٹم ٹیکس کی قیمت میں قیمت شامل ہے۔
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,رکنیت کی تفصیلات
