DocType: Accounting Period,Period Name,Názov obdobia
DocType: Lead,Product Enquiry,Dotaz Product
DocType: Education Settings,Validate Batch for Students in Student Group,Overenie dávky pre študentov v študentskej skupine
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Žiadny záznam dovolenka nájdené pre zamestnancov {0} na {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Nerealizovaný účet ziskov a strát na výmene
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,"Prosím, najprv zadajte spoločnosť"
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,"Prosím, vyberte najprv firmu"
DocType: Employee Education,Under Graduate,Za absolventa
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Nastavte predvolenú šablónu pre možnosť Ohlásiť stav upozornenia v nastaveniach ľudských zdrojov.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Target On
DocType: BOM,Total Cost,Celkové náklady
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Platnosť pridelenia vypršala!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maximálny počet prepravených listov
DocType: Salary Slip,Employee Loan,Pôžička zamestnanca
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Poslať e-mail s požiadavkou na platbu
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Bod {0} neexistuje v systému nebo vypršela
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,"Nechajte prázdne, ak je Dodávateľ blokovaný neurčito"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Nehnuteľnosť
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Výpis z účtu
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Farmaceutické
DocType: Purchase Invoice Item,Is Fixed Asset,Je dlhodobého majetku
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Zobraziť budúce platby
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Tento bankový účet je už synchronizovaný
DocType: Homepage,Homepage Section,Domovská stránka
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Pracovná objednávka bola {0}
DocType: Budget,Applicable on Purchase Order,Platí pre nákupnú objednávku
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Nie je nastavená politika hesiel pre platové pásky
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Duplicitné skupinu zákazníkov uvedené v tabuľke na knihy zákazníkov skupiny
DocType: Location,Location Name,Názov miesta
DocType: Quality Procedure Table,Responsible Individual,Zodpovedná osoba
DocType: Naming Series,Prefix,Prefix
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Umiestnenie udalosti
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,K dispozícii na sklade
DocType: Asset Settings,Asset Settings,Nastavenia majetku
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Spotrebný materiál
DocType: Student,B-,B-
DocType: Assessment Result,Grade,stupeň
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Kód položky&gt; Skupina položiek&gt; Značka
DocType: Restaurant Table,No of Seats,Počet sedadiel
DocType: Sales Invoice,Overdue and Discounted,Omeškanie a zľava
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Hovor bol odpojený
DocType: Sales Invoice Item,Delivered By Supplier,Dodáva sa podľa dodávateľa
DocType: Asset Maintenance Task,Asset Maintenance Task,Úloha údržby majetku
DocType: SMS Center,All Contact,Vše Kontakt
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Ročné Plat
DocType: Daily Work Summary,Daily Work Summary,Denný súhrn práce
DocType: Period Closing Voucher,Closing Fiscal Year,Uzavření fiskálního roku
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} je zmrazený
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Vyberte existujúci spoločnosti pre vytváranie účtový rozvrh
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Náklady na skladovanie
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Vyberte položku Target Warehouse
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Vyberte položku Target Warehouse
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,"Prosím, zadajte Preferred Kontaktný e-mail"
DocType: Purchase Invoice Item,Accepted Qty,Prijaté množstvo
DocType: Journal Entry,Contra Entry,Contra Entry
DocType: Journal Entry Account,Credit in Company Currency,Úverové spoločnosti v mene
DocType: Lab Test UOM,Lab Test UOM,Laboratórne testovanie UOM
DocType: Delivery Note,Installation Status,Stav instalace
DocType: BOM,Quality Inspection Template,Šablóna inšpekcie kvality
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Chcete aktualizovať dochádzku? <br> Súčasná: {0} \ <br> Prítomných {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Schválené + Zamietnuté množstvo sa musí rovnať Prijatému množstvu pre položku {0}
DocType: Item,Supply Raw Materials for Purchase,Dodávky suroviny pre nákup
DocType: Agriculture Analysis Criteria,Fertilizer,umelé hnojivo
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Nie je možné zabezpečiť doručenie sériovým číslom, pretože je pridaná položka {0} s alebo bez dodávky."
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,pre POS faktúru je nutná aspoň jeden spôsob platby.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Šarža č. Sa vyžaduje pre dávkovú položku {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Položka faktúry transakcie na bankový účet
DocType: Salary Detail,Tax on flexible benefit,Daň z flexibilného prínosu
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,"Bod {0} není aktivní, nebo byl dosažen konec života"
DocType: Student Admission Program,Minimum Age,Minimálny vek
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Príklad: Základné Mathematics
DocType: Customer,Primary Address,Primárna adresa
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Rozdielové množstvo
DocType: Production Plan,Material Request Detail,Podrobnosti o vyžiadaní materiálu
DocType: Selling Settings,Default Quotation Validity Days,Predvolené dni platnosti cenovej ponuky
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Chcete-li zahrnout daně na řádku v poměru Položka {0}, daně v řádcích {1} musí být zahrnuty"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Postup kvality.
DocType: SMS Center,SMS Center,SMS centrum
DocType: Payroll Entry,Validate Attendance,Overenie účasti
DocType: Sales Invoice,Change Amount,zmena Suma
DocType: Party Tax Withholding Config,Certificate Received,Certifikát bol prijatý
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Nastavte hodnotu faktúry pre B2C. B2CL a B2CS vypočítané na základe tejto hodnoty faktúry.
DocType: BOM Update Tool,New BOM,New BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Predpísané postupy
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Zobraziť len POS
DocType: Supplier Group,Supplier Group Name,Názov skupiny dodávateľov
DocType: Driver,Driving License Categories,Kategórie vodičských preukazov
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Zadajte dátum doručenia
DocType: Depreciation Schedule,Make Depreciation Entry,Urobiť Odpisy Entry
DocType: Closed Document,Closed Document,Uzavretý dokument
DocType: HR Settings,Leave Settings,Nechajte nastavenia
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Typ požadavku
DocType: Purpose of Travel,Purpose of Travel,Účel cesty
DocType: Payroll Period,Payroll Periods,Mzdové obdobia
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Vysílání
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Nastavovací režim POS (Online / Offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Zakazuje vytváranie časových denníkov proti pracovným príkazom. Operácie sa nesmú sledovať proti pracovnému príkazu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Provedení
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Podrobnosti o prováděných operací.
DocType: Asset Maintenance Log,Maintenance Status,Status Maintenance
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Čiastka dane z položky zahrnutá v hodnote
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Podrobnosti o členstve
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Dodávateľ je potrebná proti zaplatení účtu {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Položky a Ceny
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Celkom hodín: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},"Od data by měla být v rámci fiskálního roku. Za předpokladu, že od data = {0}"
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,interval
DocType: Pricing Rule,Promotional Scheme Id,ID propagačnej schémy
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,prednosť
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Dočasné dodávky (podliehajú spätnému účtovaniu
DocType: Supplier,Individual,Individuální
DocType: Academic Term,Academics User,akademici Užívateľ
DocType: Cheque Print Template,Amount In Figure,Na obrázku vyššie
DocType: Loan Application,Loan Info,pôžička Informácie
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Všetky ostatné ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plán pro návštěvy údržby.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Termín dodacieho obdobia dodávateľa
DocType: Support Settings,Search APIs,API vyhľadávania
DocType: Share Transfer,Share Transfer,Prenos podielu
,Expiring Memberships,Platnosť členstva
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Prečítajte si blog
DocType: POS Profile,Customer Groups,skupiny zákazníkov
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Finančné výkazy
DocType: Guardian,Students,študenti
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Pravidla pro používání cen a slevy.
DocType: Daily Work Summary,Daily Work Summary Group,Denná súhrnná skupina práce
DocType: Practitioner Schedule,Time Slots,Časové úseky
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Ceník musí být použitelný pro nákup nebo prodej
DocType: Shift Assignment,Shift Request,Žiadosť o posun
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Datum Instalace nemůže být před datem dodání pro bod {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Zľava z cenníkovej ceny (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Šablóna položky
DocType: Job Offer,Select Terms and Conditions,Vyberte Podmienky
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,limitu
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Položka Nastavenia bankového výpisu
DocType: Woocommerce Settings,Woocommerce Settings,Woocommerce Settings
DocType: Leave Ledger Entry,Transaction Name,Názov transakcie
DocType: Production Plan,Sales Orders,Predajné objednávky
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Viacnásobný vernostný program bol nájdený pre zákazníka. Vyberte prosím ručne.
DocType: Purchase Taxes and Charges,Valuation,Ocenění
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Nastavit jako výchozí
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Dátum skončenia platnosti je povinný pre vybratú položku.
,Purchase Order Trends,Nákupní objednávka trendy
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Prejdite na položku Zákazníci
DocType: Hotel Room Reservation,Late Checkin,Neskoro checkin
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Hľadanie prepojených platieb
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Žiadosť o cenovú ponuku je možné pristupovať kliknutím na nasledujúci odkaz
