DocType: Accounting Period,Period Name,Periodo pavadinimas
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Atostogų į {0} yra ne tarp Nuo datos ir iki šiol
DocType: Inpatient Record,Admission Scheduled,Priėmimas numatytas
DocType: Student Log,Student Log,Studentų Prisijungti
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Tiekėjo lentelės šablonai.
DocType: Lead,Interested,Suinteresuotas
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,atidarymas
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Programa:
DocType: Item,Copy From Item Group,Kopijuoti Nuo punktas grupės
DocType: Journal Entry,Opening Entry,atidarymas įrašas
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Sąskaita mokate tik
DocType: Loan,Repay Over Number of Periods,Grąžinti Over periodų skaičius
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Produkcijos kiekis negali būti mažesnis už nulį
DocType: Stock Entry,Additional Costs,Papildomos išlaidos
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Sąskaita su esama sandoris negali būti konvertuojamos į grupę.
DocType: Lead,Product Enquiry,Prekės Užklausa
DocType: Education Settings,Validate Batch for Students in Student Group,Patvirtinti Serija studentams Studentų grupės
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Ne atostogos rekordas darbuotojo rado {0} už {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Nerealizuotas valiutų keitimo pelno / nuostolių sąskaita
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Prašome įvesti įmonę pirmas
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Prašome pasirinkti Company pirmas
DocType: Employee Education,Under Graduate,pagal diplomas
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Prašome nustatyti numatytąjį šabloną pranešimui apie būklės palikimą HR nustatymuose.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Tikslinė Apie
DocType: BOM,Total Cost,Iš viso išlaidų
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Paskirstymas pasibaigė!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maksimalus nešiotų lapų skaičius
DocType: Salary Slip,Employee Loan,Darbuotojų Paskolos
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Siųsti mokėjimo užklausą el. Paštu
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Prekė {0} sistemoje neegzistuoja arba pasibaigė galiojimas
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,"Palikite tuščią, jei tiekėjas yra užblokuotas neribotą laiką"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Nekilnojamasis turtas
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Sąskaitų ataskaita
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,vaistai
DocType: Purchase Invoice Item,Is Fixed Asset,Ar Ilgalaikio turto
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Rodyti būsimus mokėjimus
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Ši banko sąskaita jau sinchronizuota
DocType: Homepage,Homepage Section,Pagrindinio puslapio skyrius
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Darbo tvarka buvo {0}
DocType: Budget,Applicable on Purchase Order,Taikoma pirkimo užsakymui
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Atlyginimų kortelių slaptažodžio politika nenustatyta
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,rasti abonentu grupės lentelėje dublikatas klientų grupė
DocType: Location,Location Name,Vietos pavadinimas
DocType: Quality Procedure Table,Responsible Individual,Atsakingas asmuo
DocType: Naming Series,Prefix,priešdėlis
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Renginio vieta
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Turimos atsargos
DocType: Asset Settings,Asset Settings,Turto nustatymai
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,vartojimo
DocType: Student,B-,B-
DocType: Assessment Result,Grade,klasė
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Prekės kodas&gt; Prekių grupė&gt; Prekės ženklas
DocType: Restaurant Table,No of Seats,Sėdimų vietų skaičius
DocType: Sales Invoice,Overdue and Discounted,Pavėluotai ir su nuolaida
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Skambutis atjungtas
DocType: Sales Invoice Item,Delivered By Supplier,Paskelbta tiekėjo
DocType: Asset Maintenance Task,Asset Maintenance Task,Turto išlaikymo užduotis
DocType: SMS Center,All Contact,visi Susisiekite
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Metinis atlyginimas
DocType: Daily Work Summary,Daily Work Summary,Dienos darbo santrauka
DocType: Period Closing Voucher,Closing Fiscal Year,Uždarius finansinius metus
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} yra sušaldyti
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Prašome pasirinkti veikiančią bendrovę kurti sąskaitų planą
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Akcijų išlaidos
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Pasirinkite Target sandėlis
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Pasirinkite Target sandėlis
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Prašome įvesti Pageidautina kontaktinį elektroninio pašto adresą
DocType: Purchase Invoice Item,Accepted Qty,Priimtas kiekis
DocType: Journal Entry,Contra Entry,contra įrašas
DocType: Journal Entry Account,Credit in Company Currency,Kredito įmonėje Valiuta
DocType: Lab Test UOM,Lab Test UOM,Lab Test UOM
DocType: Delivery Note,Installation Status,Įrengimas būsena
DocType: BOM,Quality Inspection Template,Kokybės tikrinimo šablonas
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Norite atnaujinti lankomumą? <br> Dovana: {0} \ <br> Nėra: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Priimamos + Atmesta Kiekis turi būti lygi Gauta kiekio punktui {0}
DocType: Item,Supply Raw Materials for Purchase,Tiekimo Žaliavos pirkimas
DocType: Agriculture Analysis Criteria,Fertilizer,Trąšos
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Negali užtikrinti pristatymo pagal serijos numerį, nes \ Priemonė {0} yra pridėta su ir be įsitikinimo pristatymu pagal serijos numerį."
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Bent vienas režimas mokėjimo reikalingas POS sąskaitą.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Siunčiamos prekės {0} partijos nereikia
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Banko sąskaita faktūra
DocType: Salary Detail,Tax on flexible benefit,Mokestis už lanksčią naudą
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,"Prekė {0} nėra aktyvus, ar buvo pasiektas gyvenimo pabaigos"
DocType: Student Admission Program,Minimum Age,Minimalus amžius
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Pavyzdys: Elementarioji matematika
DocType: Customer,Primary Address,Pirminis adresas
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Diff Qty
DocType: Production Plan,Material Request Detail,Medžiagos užklausa išsamiai
DocType: Selling Settings,Default Quotation Validity Days,Numatytų kuponų galiojimo dienos
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Įtraukti mokestį iš eilės {0} prekės norma, mokesčiai eilučių {1}, taip pat turi būti įtraukti"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Kokybės procedūra.
DocType: SMS Center,SMS Center,SMS centro
DocType: Payroll Entry,Validate Attendance,Patvirtinti lankomumą
DocType: Sales Invoice,Change Amount,Pakeisti suma
DocType: Party Tax Withholding Config,Certificate Received,Gauta sertifikatas
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,"Nustatykite B2C sąskaitos faktūros vertę. B2CL ir B2CS, apskaičiuotos pagal šią sąskaitos faktūros vertę."
DocType: BOM Update Tool,New BOM,nauja BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Nustatytos procedūros
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Rodyti tik POS
DocType: Supplier Group,Supplier Group Name,Tiekėjo grupės pavadinimas
DocType: Driver,Driving License Categories,Vairuotojo pažymėjimo kategorijos
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Įveskite pristatymo datą
DocType: Depreciation Schedule,Make Depreciation Entry,Padaryti nusidėvėjimo įrašą
DocType: Closed Document,Closed Document,Uždaras dokumentas
DocType: HR Settings,Leave Settings,Palikite nustatymus
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,prašymas tipas
DocType: Purpose of Travel,Purpose of Travel,Kelionės tikslas
DocType: Payroll Period,Payroll Periods,Darbo užmokesčio laikotarpiai
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,transliavimas
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),POS nustatymas (internetu / neprisijungus)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Neleidžia kurti laiko žurnalų prieš darbo užsakymus. Operacijos neturi būti stebimos pagal darbo tvarką
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,vykdymas
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Išsami informacija apie atliktas operacijas.
DocType: Asset Maintenance Log,Maintenance Status,techninės priežiūros būseną
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,"Prekės vertė, įskaičiuota į vertę"
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Narystės duomenys
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Tiekėjas privalo prieš MOKĖTINOS sąskaitą {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Elementus ir kainodara
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Iš viso valandų: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Nuo data turėtų būti per finansinius metus. Darant prielaidą Iš data = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Intervalas
DocType: Pricing Rule,Promotional Scheme Id,Reklaminės schemos ID
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Pirmenybė
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Įvežimo prekės (gali būti apmokestintos atvirkščiai)
DocType: Supplier,Individual,individualus
DocType: Academic Term,Academics User,akademikai Vartotojas
DocType: Cheque Print Template,Amount In Figure,Suma pav
DocType: Loan Application,Loan Info,paskolos informacija
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Visi kiti ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Planas techninės priežiūros apsilankymų.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Tiekėjo rezultatų kortelės laikotarpis
DocType: Support Settings,Search APIs,Paieškos API
DocType: Share Transfer,Share Transfer,Dalintis pervedimu
,Expiring Memberships,Nesibaigianti narystė
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Skaityti dienoraštį
DocType: POS Profile,Customer Groups,klientų Grupės
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Finansinės ataskaitos
DocType: Guardian,Students,studentai
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Taikymo taisyklės kainodaros ir nuolaida.
DocType: Daily Work Summary,Daily Work Summary Group,Dienos darbo santraukų grupė
DocType: Practitioner Schedule,Time Slots,Laiko lizdai
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Kainų sąrašas turi būti taikoma perkant ar parduodant
DocType: Shift Assignment,Shift Request,&quot;Shift&quot; užklausa
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Montavimo data gali būti ne anksčiau pristatymo datos punkte {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Nuolaida Kainų sąrašas tarifas (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Elemento šablonas
DocType: Job Offer,Select Terms and Conditions,Pasirinkite Terminai ir sąlygos
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,iš Vertė
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Banko ataskaitos nustatymo elementas
DocType: Woocommerce Settings,Woocommerce Settings,Woocommerce nustatymai
DocType: Leave Ledger Entry,Transaction Name,Sandorio pavadinimas
DocType: Production Plan,Sales Orders,pardavimų užsakymai
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Kolektyvinė lojalumo programa. Prašome pasirinkti rankiniu būdu.
DocType: Purchase Taxes and Charges,Valuation,įvertinimas
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Nustatyti kaip numatytąją
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Pasirinktos prekės galiojimo laikas yra privalomas.
