Pension Funds,Mirovinski fondovi
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Redak # {0}: faktura kupovine ne može se izvršiti protiv postojeće imovine {1}
UOM coversion factor required for UOM: {0} in Item: {1},Potreban faktor pokrivanja UOM-a za UOM: {0} u stavci: {1}
Please enter quantity for Item {0},Unesite količinu za stavku {0}
Electricity Cost,Cijena struje
Vehicle Service,Servis za vozila
Making Stock Entries,Izrada dionica
Fixed Deposit Number,Broj fiksnog depozita
Very Coated,Vrlo premazana
Initial Email Notification Sent,Početno slanje obavijesti e-poštom
For Warehouse,Za skladište
"{0}: Employee email not found, hence email not sent","{0}: e-pošta zaposlenika nije pronađena, stoga e-pošta nije poslana"
From Currency,Iz valute
Return / Debit Note,Povratna / debitna napomena
"Order in which sections should appear. 0 is first, 1 is second and so on.","Red u kojem se odjeljci trebaju pojaviti. 0 je prvo, 1 je drugo i tako dalje."
Create Sales Orders to help you plan your work and deliver on-time,Stvorite prodajne narudžbe kako biste lakše planirali svoj rad i isporučili ga na vrijeme
Something went wrong!,Nešto je pošlo po zlu!
Please select Healthcare Service,Odaberite Zdravstvenu službu
Apply / Approve Leaves,Primijeni / odobri lišće
Applies to Company,Odnosi se na tvrtku
Row {0}: Bill of Materials not found for the Item {1},Redak {0}: neplanirani materijali za stavku {1}
Account Info,Informacije računa
Abbreviation,Skraćenica
Purchase Orders to Bill,Narudžbenice za račun
Total Net Weight,Ukupna neto težina
Approving Role (above authorized value),Odobravanje uloge (iznad ovlaštene vrijednosti)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Nastavi privitak
Agriculture Manager,Voditelj poljoprivrede
Batch Entries,Skupni unosi
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Molimo omogućite Primjenjivo na narudžbenici i primjenjivo na stvarne troškove rezervacije
Gain/Loss on Asset Disposal,Dobitak / gubitak na raspolaganju
Total Payment,Ukupno Plaćanje
Total Number of Depreciations,Ukupan broj amortizacije
Fully Depreciated,Potpuno amortizirano
Creating Accounts,Izrada računa
Item Variant Settings,Postavka varijante stavke
Supplier Group Name,Naziv grupe dobavljača
Sales Price List,Prodajni cjenik
How frequently?,Koliko često?
Supplier Warehouse,Skladište dobavljača
Only Tax Impact (Cannot Claim But Part of Taxable Income),Samo utjecaj poreza (ne može se zahtijevati dio oporezivog dohotka)
Purchase Defaults,Zadane postavke kupnje
Contract Template,Predložak ugovora
Serial No {0} does not belong to Batch {1},Serijski broj {0} ne pripada Batch {1}
Pending Leaves,Ostavljeni listovi
Applied,primijenjen
Consumption Details,Pojedinosti o potrošnji
Loading Payment System,Učitavanje sustava plaćanja
Maximum Assessment Score,Maksimalna ocjena ocjene
Please set default template for Leave Status Notification in HR Settings.,Postavite zadani predložak za Obavijest o ostavljanju statusa u postavkama za ljudske resurse.
Student Report Card,Studentska iskaznica
Nature Of Supplies,Priroda potrošnog materijala
Last Sync Datetime,Vrijeme zadnje sinkronizacije
Code {0} already exist,Kôd {0} već postoji
Based On Payment Terms,Na temelju uvjeta plaćanja
This value is updated in the Default Sales Price List.,Ova se vrijednost ažurira u Zadana prodajna cijena.
Special Test Template,Posebni testni predložak
Create Variants,Napravite varijante
Default Expense Account,Zadani račun troškova
Please setup Students under Student Groups,Postavite učenike u studentske grupe
Taxable Amount,Oporezivi iznos
Lead Owner,Vodeći vlasnik
Transfer,Prijenos
Search Item (Ctrl + i),Stavka pretraživanja (Ctrl + i)
{0} Result submittted,{0} Rezultat je poslan
Supplier of Goods or Services.,Dobavljač robe ili usluga.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Naziv novog računa. Napomena: nemojte stvarati račune za klijente i dobavljače
Student Group or Course Schedule is mandatory,Studentska grupa ili raspored tečaja je obavezan
Sales Tax Template,Predložak poreza na promet
Routing,usmjeravanje
Payment Reconciliation,Usklađivanje plaćanja
Match non-linked Invoices and Payments.,Podudaraju s nepovezanim dostavnicama i plaćanjima.
Opening Balances,Otvaranje stanja
PAN,PAN
Operation Cost,Operativni trošak
Name of Beneficiary,Ime korisnika
New Address,Nova adresa
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Podružnice su već planirale za {1} slobodnih radnih mjesta s proračunom od {2}. Kadrovski plan za {0} trebao bi dodijeliti više slobodnih radnih mjesta i proračun za {3} nego što je planirano za njegova društva kćeri
From BOM,Iz BOM-a
Student Applicant,Student koji podnosi zahtjev
Leave Balance Before Application,Ostavite ravnotežu prije primjene
Expiry date is mandatory for selected item,Datum odabira je obavezan za odabranu stavku
Default Target Warehouse,Zadano ciljno skladište
Show Salary Slip,Prikaži isplatu plaće
Percentage Allocation should be equal to 100%,Postotak udjela trebao bi biti jednak 100%
UOM Conversion Factor,UOM konverzijski faktor
Stock cannot be updated against Purchase Receipt {0},Stock nije moguće ažurirati u odnosu na potvrdu o kupnji {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Redak stavke {0}: {1} {2} ne postoji u tablici iznad {{1} &#39;
2 Yearly,2 Godišnje
Guardian Student,Student čuvar
Please add a Temporary Opening account in Chart of Accounts,Dodajte Privremeni otvarajući račun u Kontni plan
Include in gross,Uključi bruto
Select Serial Numbers,Odaberite Serijski brojevi
UOMs,UOMs
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Redak {0}: stranka / račun ne podudara se s {1} / {2} u {3} {4}
Invalid reference {0} {1},Nevažeća referenca {0} {1}
Corrective/Preventive,Korektivna / Preventivna
Work In Progress,Radovi u tijeku
Account Currency,Valuta računa
credit_note_amt,credit_note_amt
Action Name,Naziv radnje
Health Insurance,Zdravstveno osiguranje
Max Strength,Maksimalna snaga
Duplicate customer group found in the cutomer group table,Udvostručena grupa korisnika pronađena je u tablici grupnih rezača
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Ostaviti nije moguće primijeniti / otkazati prije {0}, budući da je saldo dopusta već prenesen u zapis za buduću raspodjelu dopusta {1}"
Min Amount,Min. Iznos
Rate With Margin (Company Currency),Stopa s marginom (valuta tvrtke)
Follow Up,Follow Up
Shipping Country,Zemlja dostave
Track this Delivery Note against any Project,Pratite ovu dostavnicu s bilo kojim projektom
Default Payroll Payable Account,Račun zadužen za zadane plaće
Update Schedule,Raspored ažuriranja
Updating estimated arrival times.,Ažuriranje predviđenog vremena dolaska.
Finance Book Detail,Financije knjiga detalj
Serial No {0} does not belong to Delivery Note {1},Serijski broj {0} ne pripada napomeni za isporuku {1}
Please set Tax ID for the customer '%s',Postavite porezni broj za klijenta &quot;% s&quot;
Logo,Logo
Include holidays within leaves as leaves,Uključite praznike u lišće kao lišće
Shift Request,Zahtjev pomaka
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Nije moguće označiti ispražnjenu bolničku evidenciju, postoje fakture koje nisu fakturirane {0}"
Scope,djelokrug
Service Stop Date,Datum zaustavljanja usluge
Publish Date,Datum objave
O+,O +
Work Order,Radni nalog
Transaction,Transakcija
per hour,na sat
This action will stop future billing. Are you sure you want to cancel this subscription?,Ova će radnja zaustaviti buduće naplate. Jeste li sigurni da želite otkazati ovu pretplatu?
State/UT Tax,Porez na državu / UT
Scorecards,bodovima
Projected Quantity as Source,Projicirana količina kao izvor
Parent Supplier Group,Grupa dobavljača roditelja
Rows with duplicate due dates in other rows were found: {0},Pronađeni su redovi s dvostrukim datumima dospijeća u drugim redovima: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Predložak kontnog plana
Lead,voditi
KRA,KRA
Setup Institution,Postavljanje ustanove
Salary Register,Popis plaća
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","U slučaju višeslojnog programa, korisnici će biti automatski dodijeljeni dotičnom stupu prema utrošenom trošku"
Posting Date,Datum objave
Attendance From Date,Sudjelovanje od datuma
Program in the Fee Structure and Student Group {0} are different.,Program u strukturi naknada i studentska grupa {0} su različiti.
GST Summary,Sažetak GST-a
Make Academic Term Mandatory,Obvezni akademski mandat
Odometer Value (Last),Vrijednost odometra (posljednja)
Transfer an asset from one warehouse to another,Prijenos imovine iz jednog skladišta u drugo
Seating Capacity,Kapacitet sjedala
Employee Benefit Application Detail,Pojedinosti primanja zaposlenika
Employee {0} has already applied for {1} between {2} and {3} : ,Zaposlenik {0} već se prijavio za {1} između {2} i {3}:
Capital Work In Progress Account,Kapitalni rad na računu napretka
Benefit Type and Amount,Vrsta i iznos pogodnosti
Please set default payable account for the company {0},Postavite račun za zadanu obvezu za tvrtku {0}
Holiday List,Popis za odmor
Total Time in Mins,Ukupno vrijeme u min
Shipping Amount,Količina isporuke
Total Absent,Ukupno odsutno
Reference Inv,Reference Inv
Row {0}: {1} is required to create the Opening {2} Invoices,Redak {0}: {1} potreban je za stvaranje otvaranja računa {2}
Is Company Account,Račun tvrtke
Do you want to notify all the customers by email?,Želite li obavijestiti sve klijente putem e-pošte?
Sales,Prodajni
Tongue,Jezik
Excise Entry,Trošarina
Clear filters,Očisti filtre
In Transit,U tranzitu
Barcode {0} is not a valid {1} code,Barkod {0} nije važeći kôd {1}
Balance for Account {0} must always be {1},Stanje za račun {0} mora uvijek biti {1}
Invalid Blanket Order for the selected Customer and Item,Nevažeća narudžbenica za odabranog kupca i stavku
"If enabled, system will create the work order for the exploded items against which BOM is available.","Ako je omogućeno, sustav će izraditi radni nalog za eksplodirane stavke prema kojima je dostupna sastavnica."
Product Bundle,Skup proizvoda
New Exchange Rate,Novi tečaj
Open To Do,Otvori za napraviti
Receiver List is empty. Please create Receiver List,Popis primatelja je prazan. Napravite popis primatelja
Current Liabilities,Trenutni dugovi
ERPNext Demo,ERPNext Demo
Other Risk Factors,Ostali čimbenici rizika
To Range,U domet
{0} applicable after {1} working days,{0} primjenjivo nakon {1} radnih dana
Task Description,Opis zadatka
SWIFT Number,SWIFT broj
Show Payment Schedule in Print,Prikaži raspored plaćanja u ispisu
Apply Tax Withholding Amount,Primijenite iznos zadržavanja poreza
Supplier Scorecard Standing,Stajanje popisa dobavljača
Quality Inspection Reading,Čitanje kontrole kvalitete
Valid number of days,Valjan broj dana
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Prilagođeni potpis u ispisu
Procedures,Postupci
Open Issues,Otvoreni problemi
Series for Asset Depreciation Entry (Journal Entry),Serija za unos vrijednosti amortizacije (unos dnevnika)
Occupancy Status,Status smještaja
Privilege Leave,Dopust za povlastice
Current Invoice End Date,Trenutni datum završetka fakture
Collected Time,Prikupljeno vrijeme
Please select BOM for Item in Row {0},Odaberite BOM za stavku u retku {0}
Expense Approver,Odobrenje troškova
New Transactions,Nove transakcije
Payable Amount,Iznos koji se plaća
All Supplier Contact,Svi kontakti dobavljača
Quotation {0} not of type {1},Ponuda {0} nije vrste {1}
Leave Type {0} is not encashable,Vrsta ostavljanja {0} ne može se kopirati
Fulfilment Status,Status ispunjenja
Unsubscribe from this Email Digest,Otkaži pretplatu na ovaj popis e-pošte
{0} {1} created,Izrađeno je {0} {1}
Person Responsible,Odgovorna osoba
Asset Category,Kategorija imovine
Limit Percent,Ograniči postotak
Cash Flow Mapping Accounts,Računi mapiranja novčanog toka
Select Serial No,Odaberite Serijski broj
Sales Return,Povratak prodaje
No record found,Nema pronađenih zapisa
Expense Approvers,Odobrenja troškova
Group same items,Grupirajte iste stavke
Parent Company,Matično društvo
Reminder,Podsjetnik
Bank Overdraft Account,Račun prekoračenja banaka
Difference (Dr - Cr),Razlika (Dr - Cr)
"An Item Group exists with same name, please change the item name or rename the item group","Grupa proizvoda postoji s istim imenom, promijenite naziv stavke ili preimenujte grupu stavki"
B+,B +
Following item {0} is not marked as {1} item. You can enable them as {1} item from its Item master,Sljedeća stavka {0} nije označena kao {1} stavka. Možete ih omogućiti kao {1} stavku iz glavnog elementa stavke
Allow Overlap,Dopusti preklapanje
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},Vrijednost za atribut {0} mora biti u rasponu od {1} do {2} u koracima od {3} za stavku {4}
Billing Details,Pojedinosti o naplati
Quality Procedure Table,Tablica postupaka kvalitete
Serial No {0} created,Izrađen je serijski broj {0}
Warehouse Detail,Pojedinosti skladišta
To Deliver and Bill,Za isporuku i Bill
Added to details,Dodano detaljima
Add Users to Marketplace,Dodajte korisnike na tržište
Remind Before,Podsjetite prije
Manage Customer,Upravljanje klijentom
Tier Name,Naziv sloja
Manufacturing Settings,Postavke proizvodnje
Taken,Poduzete
Please select Start Date and End Date for Item {0},Odaberite Datum početka i Datum završetka za stavku {0}
Education Settings,Postavke obrazovanja
Admission End Date,Datum završetka prijema
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Ako {0} {1} vrijedi stavku <b>{2}</b> , shema <b>{3}</b> će se primijeniti na stavku."
