DocType: Accounting Period,Period Name,Όνομα περιόδου
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Primary School"" or ""University""",π.χ. «Δημοτικό Σχολείο» ή «Πανεπιστήμιο»
apps/erpnext/erpnext/config/stock.py,Stock Reports,Αναφορές απόθεμα
DocType: Warehouse,Warehouse Detail,Λεπτομέρειες αποθήκης
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle.py,Last carbon check date cannot be a future date,Η τελευταία ημερομηνία ελέγχου άνθρακα δεν μπορεί να είναι μελλοντική ημερομηνία
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term End Date cannot be later than the Year End Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,Το τέλος Όρος ημερομηνία δεν μπορεί να είναι μεταγενέστερη της χρονιάς Ημερομηνία Λήξης του Ακαδημαϊκού Έτους στην οποία ο όρος συνδέεται (Ακαδημαϊκό Έτος {}). Διορθώστε τις ημερομηνίες και προσπαθήστε ξανά.
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Είναι πάγιο περιουσιακό στοιχείο"" δεν μπορεί να από επιλεχθεί επειδή έχει καταχωρημένες έγγραφες"
DocType: Delivery Trip,Departure Time,Ωρα αναχώρησης
DocType: Vehicle Service,Brake Oil,Brake Oil
DocType: Tax Rule,Tax Type,Φορολογική Τύπος
,Completed Work Orders,Ολοκληρωμένες Εντολές Εργασίας
DocType: Support Settings,Forum Posts,Δημοσιεύσεις φόρουμ
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","Η εργασία έχει τεθεί ως εργασία υποβάθρου. Σε περίπτωση που υπάρχει θέμα επεξεργασίας στο παρασκήνιο, το σύστημα θα προσθέσει ένα σχόλιο σχετικά με το σφάλμα σε αυτήν την Συμφωνία Χρηματιστηρίου και θα επανέλθει στο στάδιο του Σχεδίου"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code validity has not started","Λυπούμαστε, η εγκυρότητα του κωδικού κουπονιού δεν έχει ξεκινήσει"
apps/erpnext/erpnext/regional/india/utils.py,Taxable Amount,Υποχρεωτικό ποσό
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,You are not authorized to add or update entries before {0},Δεν επιτρέπεται να προσθέσετε ή να ενημερώσετε τις καταχωρήσεις πριν από {0}
DocType: Leave Policy,Leave Policy Details,Αφήστε τα στοιχεία πολιτικής
DocType: BOM,Item Image (if not slideshow),Φωτογραφία είδους (αν όχι slideshow)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,Σειρά # {0}: Η λειτουργία {1} δεν έχει ολοκληρωθεί για {2} ποσότητα τελικών προϊόντων στην Παραγγελία Εργασίας {3}. Ενημερώστε την κατάσταση λειτουργίας μέσω της κάρτας εργασίας {4}.
DocType: Work Order Operation,(Hour Rate / 60) * Actual Operation Time,(Ώρα / 60) * Πραγματικός χρόνος λειτουργίας
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Γραμμή # {0}: Ο τύπος εγγράφου αναφοράς πρέπει να είναι ένας από τους λογαριασμούς διεκδίκησης εξόδων ή καταχώρησης ημερολογίου
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM,Επιλέξτε BOM
DocType: SMS Log,SMS Log,Αρχείο καταγραφής SMS
DocType: Call Log,Ringing,Ήχος κλήσης
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Delivered Items,Κόστος των προϊόντων που έχουν παραδοθεί
apps/erpnext/erpnext/hr/doctype/holiday_list/holiday_list.py,The holiday on {0} is not between From Date and To Date,Οι διακοπές σε {0} δεν είναι μεταξύ Από Ημερομηνία και μέχρι σήμερα
DocType: Inpatient Record,Admission Scheduled,Εισαγωγή Προγραμματισμένη
DocType: Student Log,Student Log,φοιτητής Σύνδεση
apps/erpnext/erpnext/config/buying.py,Templates of supplier standings.,Πρότυπα κατάταξης προμηθευτών.
DocType: Lead,Interested,Ενδιαφερόμενος
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Opening,Άνοιγμα
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Program: ,Πρόγραμμα:
DocType: Item,Copy From Item Group,Αντιγραφή από ομάδα ειδών
DocType: Journal Entry,Opening Entry,Αρχική καταχώρηση
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Ο λογαριασμός πληρώνουν μόνο
DocType: Loan,Repay Over Number of Periods,Εξοφλήσει Πάνω αριθμός των περιόδων
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Η ποσότητα παραγωγής δεν μπορεί να είναι μικρότερη από μηδέν
DocType: Stock Entry,Additional Costs,Πρόσθετα έξοδα
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Ο λογαριασμός με υπάρχουσα συναλλαγή δεν μπορεί να μετατραπεί σε ομάδα.
DocType: Lead,Product Enquiry,Ερώτηση για προϊόν
DocType: Education Settings,Validate Batch for Students in Student Group,Επικύρωση παρτίδας για σπουδαστές σε ομάδα σπουδαστών
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Δεν ρεκόρ άδεια βρέθηκαν για εργαζόμενο {0} για {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Μη πραγματοποιημένος λογαριασμός κέρδους / ζημιάς στο Exchange
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Παρακαλώ εισάγετε πρώτα εταιρεία
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Επιλέξτε την εταιρεία πρώτα
DocType: Employee Education,Under Graduate,Τελειόφοιτος
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Ορίστε το προεπιλεγμένο πρότυπο για την Ενημέρωση κατάστασης αδείας στις Ρυθμίσεις HR.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Στόχος στις
DocType: BOM,Total Cost,Συνολικό κόστος
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Η κατανομή έχει λήξει!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Μέγιστο φερόμενο φύλλο μεταφοράς
DocType: Salary Slip,Employee Loan,Υπάλληλος Δανείου
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .- MM.-
DocType: Fee Schedule,Send Payment Request Email,Αποστολή ηλεκτρονικού ταχυδρομείου αίτησης πληρωμής
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Το είδος {0} δεν υπάρχει στο σύστημα ή έχει λήξει
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Αφήστε κενό εάν ο Προμηθευτής έχει αποκλειστεί επ &#39;αόριστον
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Ακίνητα
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Κατάσταση λογαριασμού
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Φαρμακευτική
DocType: Purchase Invoice Item,Is Fixed Asset,Είναι Παγίων
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Εμφάνιση μελλοντικών πληρωμών
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Αυτός ο τραπεζικός λογαριασμός έχει ήδη συγχρονιστεί
DocType: Homepage,Homepage Section,Τμήμα αρχικής σελίδας
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Η εντολή εργασίας ήταν {0}
DocType: Budget,Applicable on Purchase Order,Ισχύει στην εντολή αγοράς
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Δεν έχει οριστεί η πολιτική κωδικού πρόσβασης για τις μισθολογικές προσθήκες
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Διπλότυπο ομάδα πελατών που βρίσκονται στο τραπέζι ομάδα cutomer
DocType: Location,Location Name,Ονομα τοποθεσίας
DocType: Quality Procedure Table,Responsible Individual,Υπεύθυνο άτομο
DocType: Naming Series,Prefix,Πρόθεμα
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Τοποθεσία συμβάντος
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Διαθέσιμο στοκ
DocType: Asset Settings,Asset Settings,Ρυθμίσεις περιουσιακών στοιχείων
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Αναλώσιμα
DocType: Student,B-,ΣΙ-
DocType: Assessment Result,Grade,Βαθμός
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Κωδικός στοιχείου&gt; Ομάδα στοιχείων&gt; Μάρκα
DocType: Restaurant Table,No of Seats,Αριθμός καθισμάτων
DocType: Sales Invoice,Overdue and Discounted,Καθυστερημένη και εκπτωτική
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Κλήση αποσυνδεδεμένο
DocType: Sales Invoice Item,Delivered By Supplier,Παραδίδονται από τον προμηθευτή
DocType: Asset Maintenance Task,Asset Maintenance Task,Εργασία συντήρησης ενεργητικού
DocType: SMS Center,All Contact,Όλες οι επαφές
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Ετήσιος Μισθός
DocType: Daily Work Summary,Daily Work Summary,Καθημερινή Σύνοψη εργασίας
