DocType: Accounting Period,Period Name,Název období
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,"Prosím, vyberte první firma"
DocType: Employee Education,Under Graduate,Za absolventa
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Prosím nastavte výchozí šablonu pro ohlášení stavu o stavu v HR nastaveních.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Target On
DocType: BOM,Total Cost,Celkové náklady
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Platnost přidělení vypršela!
DocType: Soil Analysis,Ca/K,Ca / K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maximální počet přepravených listů
DocType: Salary Slip,Employee Loan,zaměstnanec Loan
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .- MM.-
DocType: Fee Schedule,Send Payment Request Email,Odeslat e-mail s žádostí o platbu
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Bod {0} neexistuje v systému nebo vypršela
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,"Nechte prázdné, pokud je dodavatel blokován neomezeně"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Nemovitost
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Výpis z účtu
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Farmaceutické
DocType: Purchase Invoice Item,Is Fixed Asset,Je dlouhodobý majetek
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Zobrazit budoucí platby
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Tento bankovní účet je již synchronizován
DocType: Homepage,Homepage Section,Sekce domovské stránky
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Pracovní příkaz byl {0}
DocType: Budget,Applicable on Purchase Order,Platí pro objednávku
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Zásady hesla pro platové lístky nejsou nastaveny
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,Duplicitní skupinu zákazníků uvedeny v tabulce na knihy zákazníků skupiny
DocType: Location,Location Name,Název umístění
DocType: Quality Procedure Table,Responsible Individual,Odpovědná osoba
DocType: Naming Series,Prefix,Prefix
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Umístění události
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Dostupné skladem
DocType: Asset Settings,Asset Settings,Nastavení aktiv
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Spotřební
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Školní známka
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Kód položky&gt; Skupina položek&gt; Značka
DocType: Restaurant Table,No of Seats,Počet sedadel
DocType: Sales Invoice,Overdue and Discounted,Po lhůtě splatnosti a se slevou
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Hovor byl odpojen
DocType: Sales Invoice Item,Delivered By Supplier,Dodává se podle dodavatele
DocType: Asset Maintenance Task,Asset Maintenance Task,Úloha údržby aktiv
DocType: SMS Center,All Contact,Vše Kontakt
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Roční Plat
DocType: Daily Work Summary,Daily Work Summary,Denní práce Souhrn
DocType: Period Closing Voucher,Closing Fiscal Year,Uzavření fiskálního roku
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} je zmrazený
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Vyberte existující společnosti pro vytváření účtový rozvrh
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Stock Náklady
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Vyberte objekt Target Warehouse
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,"Prosím, zadejte Preferred Kontakt e-mail"
DocType: Purchase Invoice Item,Accepted Qty,Přijato Množství
DocType: Journal Entry,Contra Entry,Contra Entry
DocType: Journal Entry Account,Credit in Company Currency,Úvěrové společnosti v měně
DocType: Lab Test UOM,Lab Test UOM,Laboratorní test UOM
DocType: Delivery Note,Installation Status,Stav instalace
DocType: BOM,Quality Inspection Template,Šablona inspekce kvality
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Chcete aktualizovat docházku? <br> Present: {0} \ <br> Chybí: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Schválené + Zamítnuté množství se musí rovnat množství Přijaté u položky {0}
DocType: Item,Supply Raw Materials for Purchase,Dodávky suroviny pro nákup
DocType: Agriculture Analysis Criteria,Fertilizer,Hnojivo
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Nelze zajistit dodávku podle sériového čísla, protože je přidána položka {0} se službou Zajistit dodání podle \ sériového čísla"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,pro POS fakturu je nutná alespoň jeden způsob platby.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Šarže č. Je vyžadována pro dávkovou položku {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Položka faktury bankovního výpisu
DocType: Salary Detail,Tax on flexible benefit,Daň z flexibilní výhody
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,"Bod {0} není aktivní, nebo byl dosažen konec života"
DocType: Student Admission Program,Minimum Age,Minimální věk
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Příklad: Základní Mathematics
DocType: Customer,Primary Address,primární adresa
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Rozdílové množství
DocType: Production Plan,Material Request Detail,Podrobnosti o vyžádání materiálu
DocType: Selling Settings,Default Quotation Validity Days,Výchozí dny platnosti kotací
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Chcete-li zahrnout daně na řádku v poměru Položka {0}, daně v řádcích {1} musí být zahrnuty"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Postup kvality.
DocType: SMS Center,SMS Center,SMS centrum
DocType: Payroll Entry,Validate Attendance,Ověřit účast
DocType: Sales Invoice,Change Amount,změna Částka
DocType: Party Tax Withholding Config,Certificate Received,Certifikát byl přijat
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Nastavte hodnotu faktury pro B2C. B2CL a B2CS vypočítané na základě této fakturované hodnoty.
DocType: BOM Update Tool,New BOM,Nový BOM
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Předepsané postupy
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Zobrazit pouze POS
DocType: Supplier Group,Supplier Group Name,Název skupiny dodavatelů
DocType: Driver,Driving License Categories,Kategorie řidičských oprávnění
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Zadejte prosím datum doručení
DocType: Depreciation Schedule,Make Depreciation Entry,Udělat Odpisy Entry
DocType: Closed Document,Closed Document,Uzavřený dokument
DocType: HR Settings,Leave Settings,Ponechte nastavení
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Typ požadavku
DocType: Purpose of Travel,Purpose of Travel,Účel cesty
DocType: Payroll Period,Payroll Periods,Mzdové lhůty
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Vysílání
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Režim nastavení POS (Online / Offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Zakáže vytváření časových protokolů proti pracovním příkazům. Operace nesmí být sledovány proti pracovní objednávce
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Provedení
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Podrobnosti o prováděných operací.
DocType: Asset Maintenance Log,Maintenance Status,Status Maintenance
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Částka daně z položky zahrnutá v hodnotě
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Podrobnosti o členství
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Dodavatel je vyžadován oproti splatnému účtu {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Položky a Ceny
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Celkem hodin: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},"Od data by měla být v rámci fiskálního roku. Za předpokladu, že od data = {0}"
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Interval
DocType: Pricing Rule,Promotional Scheme Id,ID propagačního schématu
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Přednost
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Dočasné dodávky (podléhají zpětnému poplatku
DocType: Supplier,Individual,Individuální
DocType: Academic Term,Academics User,akademici Uživatel
DocType: Cheque Print Template,Amount In Figure,Na obrázku výše
DocType: Loan Application,Loan Info,Informace o úvěr
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Všechny ostatní ITC
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Plán pro návštěvy údržby.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Období dodavatele skóre karty
DocType: Support Settings,Search APIs,API vyhledávání
DocType: Share Transfer,Share Transfer,Sdílet přenos
,Expiring Memberships,Platnost členství
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Přečtěte si blog
DocType: POS Profile,Customer Groups,Skupiny zákazníků
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Finanční výkazy
DocType: Guardian,Students,studenti
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Pravidla pro používání cen a slevy.
DocType: Daily Work Summary,Daily Work Summary Group,Denní shrnutí skupiny práce
DocType: Practitioner Schedule,Time Slots,Časové úseky
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Ceník musí být použitelný pro nákup nebo prodej
DocType: Shift Assignment,Shift Request,Žádost o posun
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Datum Instalace nemůže být před datem dodání pro bod {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Sleva na Ceník Rate (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Šablona položky
DocType: Job Offer,Select Terms and Conditions,Vyberte Podmínky
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,limitu
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Položka nastavení bankovního výpisu
DocType: Woocommerce Settings,Woocommerce Settings,Nastavení Woocommerce
DocType: Leave Ledger Entry,Transaction Name,Název transakce
DocType: Production Plan,Sales Orders,Prodejní objednávky
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Pro zákazníka byl nalezen vícenásobný věrnostní program. Zvolte prosím ručně.
DocType: Purchase Taxes and Charges,Valuation,Ocenění
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Nastavit jako výchozí
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Datum vypršení platnosti je pro vybranou položku povinné.
,Purchase Order Trends,Nákupní objednávka trendy
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Přejděte na položku Zákazníci
DocType: Hotel Room Reservation,Late Checkin,Pozdní checkin
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Nalezení propojených plateb
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Žádost o cenovou nabídku lze přistupovat kliknutím na následující odkaz
DocType: Quiz Result,Selected Option,Vybraná možnost
DocType: SG Creation Tool Course,SG Creation Tool Course,SG nástroj pro tvorbu hřiště
