Pension Funds,年金基金
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",子会社は既に{2}の予算で{1}の空室を計画しています。 {0}の人員配置計画では、{3}にその子会社の計画よりも多くの空きと予算を割り当てる必要があります
From BOM,BOMから
Student Applicant,学生応募者
Leave Balance Before Application,申請前に残高を残す
Expiry date is mandatory for selected item,選択された商品には有効期限が必須です
Default Target Warehouse,デフォルトのターゲット倉庫
Show Salary Slip,給与明細を表示する
Percentage Allocation should be equal to 100%,配分率は100％にする必要があります
UOM Conversion Factor,UOM換算係数
Stock cannot be updated against Purchase Receipt {0},購買入庫{0}に対して在庫を更新することはできません
Item Row {0}: {1} {2} does not exist in above '{1}' table,項目行{0}：{1} {2}は上の &#39;{1}&#39;テーブルに存在しません
2 Yearly,2年ごと
Guardian Student,保護者の学生
Please add a Temporary Opening account in Chart of Accounts,勘定科目表に一時的な開始口座を追加してください
Include in gross,総額に含める
Select Serial Numbers,シリアル番号を選択
UOMs,UOM
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},行{0}：パーティー/アカウントが{3}の{1} / {2}と一致しません{4}
Invalid reference {0} {1},無効な参照{0} {1}
Corrective/Preventive,是正／予防
Work In Progress,進行中の作業
Account Currency,アカウント通貨
credit_note_amt,credit_note_amt
Action Name,アクション名
Health Insurance,健康保険
Max Strength,最大強度
Duplicate customer group found in the cutomer group table,cutomerグループテーブルに重複する顧客グループが見つかりました
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}",将来の休暇配分レコード{1}で休暇残高がすでに繰越されているため、{0}の前に休暇を適用/キャンセルすることはできません
Min Amount,最小額
Rate With Margin (Company Currency),マージンレート（会社通貨）
Follow Up,ファローアップ
Shipping Country,発送国
Track this Delivery Note against any Project,どのプロジェクトに対してもこの配信メモを追跡する
Default Payroll Payable Account,デフォルトの給与計算買掛金勘定
Update Schedule,更新スケジュール
Updating estimated arrival times.,到着予定時刻を更新します。
Finance Book Detail,ファイナンスブックの詳細
Serial No {0} does not belong to Delivery Note {1},シリアル番号{0}は納品書{1}に属していません
Please set Tax ID for the customer '%s',顧客 &#39;％s&#39;の納税者番号を設定してください
Logo,ロゴ
Include holidays within leaves as leaves,葉の中の休日を葉として含める
Shift Request,シフト依頼
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}",入院患者記録にマークを付けられません。未請求の請求書があります{0}
Scope,範囲
Service Stop Date,サービス停止日
Publish Date,公開日
O+,O +
Work Order,作業命令
Transaction,トランザクション
per hour,1時間当たり
This action will stop future billing. Are you sure you want to cancel this subscription?,この操作により、今後の請求は中止されます。この購読をキャンセルしてよろしいですか？
State/UT Tax,州/ユタ州税
Scorecards,スコアカード
Projected Quantity as Source,供給元としての予測数量
Parent Supplier Group,親サプライヤーグループ
Rows with duplicate due dates in other rows were found: {0},他の行に期日が重複している行が見つかりました：{0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,勘定科目表テンプレート
Lead,鉛
KRA,KRA
Setup Institution,教育機関を設立
Salary Register,給与登録
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",マルチティアプログラムの場合、顧客は、使用した金額に従って、関係するティアに自動的に割り当てられます。
Posting Date,郵送日
Attendance From Date,日付からの出席
Program in the Fee Structure and Student Group {0} are different.,料金体系と学生グループ{0}のプログラムが異なります。
GST Summary,GSTサマリー
Make Academic Term Mandatory,学術用語を必須にする
Odometer Value (Last),走行距離値（最後）
Transfer an asset from one warehouse to another,ある倉庫から別の倉庫への資産の移動
Seating Capacity,座席定員
Employee Benefit Application Detail,従業員給付アプリケーションの詳細
Employee {0} has already applied for {1} between {2} and {3} : ,従業員{0}は既に{2}と{3}の間の{1}を申請しています。
Capital Work In Progress Account,資本工事中アカウント
Benefit Type and Amount,給付の種類と金額
Please set default payable account for the company {0},会社のデフォルトの買掛金を設定してください{0}
Holiday List,休日リスト
Total Time in Mins,1分あたりの合計時間
Shipping Amount,発送金額
Total Absent,全欠席
Reference Inv,参照招待
Row {0}: {1} is required to create the Opening {2} Invoices,開始{2}請求書を作成するには、行{0}：{1}が必要です
Is Company Account,会社のアカウントです
Do you want to notify all the customers by email?,すべての顧客にEメールで通知しますか？
Sales,売上高
Tongue,舌
Excise Entry,物品税エントリ
Clear filters,フィルターをクリア
In Transit,輸送中
Barcode {0} is not a valid {1} code,バーコード{0}は無効な{1}コードです
Balance for Account {0} must always be {1},アカウント{0}の残高は常に{1}である必要があります
Invalid Blanket Order for the selected Customer and Item,選択された顧客と商品の無効な一括注文
"If enabled, system will create the work order for the exploded items against which BOM is available.",有効になっている場合、BOMが利用可能な展開品目に対して作業指図が登録されます。
Product Bundle,商品バンドル
New Exchange Rate,新しい為替レート
Open To Do,やること
