Pension Funds,Fundusze emerytalne
Update Billed Amount in Sales Order,Zaktualizuj kwotę rozliczenia w zleceniu sprzedaży
Meal Preference,Preferencje Posiłków
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:","Nawet jeśli istnieje wiele reguł cenowych o najwyższym priorytecie, stosowane są następujące priorytety wewnętrzne:"
Employee {0} is not active or does not exist,Pracownik {0} nie jest aktywny lub nie istnieje
List of all share transactions,Lista wszystkich transakcji na akcjach
Sales Defaults,Domyślne ustawienia sprzedaży
Overlap in scoring between {0} and {1},Nakładaj się na punktację między {0} a {1}
Weightage,Waga
Create New Payment/Journal Entry,Utwórz nową płatność / wpis do dziennika
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.","Jeśli na podstawie powyższych warunków zostaną znalezione dwa lub więcej reguł cenowych, zostanie zastosowany priorytet. Priorytet to liczba od 0 do 20, natomiast wartość domyślna to zero (puste). Wyższa liczba oznacza, że będzie miała pierwszeństwo, jeśli istnieje wiele reguł cenowych o takich samych warunkach."
Row {0}: Qty is mandatory,Wiersz {0}: ilość jest obowiązkowa
Against Income Account,Przeciw kontu dochodowemu
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},Wiersz # {0}: nie można wystawić faktury zakupu dla istniejącego zasobu {1}
UOM coversion factor required for UOM: {0} in Item: {1},Współczynnik zmiany UOM wymagany dla UOM: {0} w pozycji: {1}
Please enter quantity for Item {0},Wprowadź ilość dla przedmiotu {0}
Electricity Cost,Koszt energii elektrycznej
Vehicle Service,Serwis pojazdów
Making Stock Entries,Wprowadzanie zapasów
Fixed Deposit Number,Naprawiono numer depozytu
Very Coated,Bardzo powlekany
Initial Email Notification Sent,Wstępne powiadomienie e-mailem wysłane
For Warehouse,Dla magazynu
"{0}: Employee email not found, hence email not sent","{0}: Nie znaleziono adresu e-mail pracownika, dlatego wiadomość e-mail nie została wysłana"
From Currency,Z waluty
Return / Debit Note,Zwrot / nota debetowa
"Order in which sections should appear. 0 is first, 1 is second and so on.","Kolejność, w której sekcje powinny się pojawić. 0 jest pierwsze, 1 jest drugie i tak dalej."
Create Sales Orders to help you plan your work and deliver on-time,"Twórz zlecenia sprzedaży, aby pomóc Ci zaplanować pracę i dostarczyć terminowość"
Something went wrong!,Coś poszło nie tak!
Please select Healthcare Service,Wybierz usługę opieki zdrowotnej
Apply / Approve Leaves,Zastosuj / Zatwierdź liście
Applies to Company,Dotyczy firmy
Row {0}: Bill of Materials not found for the Item {1},Wiersz {0}: zestawienie materiałów nie zostało znalezione dla elementu {1}
Account Info,Informacje o koncie
Abbreviation,Skrót
Purchase Orders to Bill,Zamówienia zakupu dla Billa
Total Net Weight,Całkowita waga netto
Approving Role (above authorized value),Zatwierdzająca rola (powyżej dozwolonej wartości)
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
Resume Attachment,Wznów dołączenie
Agriculture Manager,Kierownik ds. Rolnictwa
Batch Entries,Wpisy wsadowe
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Włącz opcję Obowiązujące w przypadku zamówienia zakupu i ma zastosowanie w przypadku rzeczywistych kosztów rezerwacji
Gain/Loss on Asset Disposal,Zysk / strata na zbyciu aktywów
Total Payment,Całkowita płatność
Total Number of Depreciations,Całkowita liczba amortyzacji
Fully Depreciated,W pełni zdeprecjonowany
Creating Accounts,Tworzenie kont
Item Variant Settings,Ustawienia wariantu elementu
Supplier Group Name,Nazwa grupy dostawców
Sales Price List,Cennik sprzedaży
How frequently?,Jak często?
Supplier Warehouse,Magazyn dostawcy
Only Tax Impact (Cannot Claim But Part of Taxable Income),"Tylko wpływ podatkowy (nie można żądać, ale część dochodu podlegającego opodatkowaniu)"
Purchase Defaults,Domyślne zakupy
Contract Template,Szablon umowy
Serial No {0} does not belong to Batch {1},Numer seryjny {0} nie należy do partii {1}
Pending Leaves,W oczekiwaniu na liście
Applied,Stosowany
Consumption Details,Szczegóły zużycia
Loading Payment System,Ładowanie systemu płatności
Maximum Assessment Score,Maksymalny wynik oceny
Please set default template for Leave Status Notification in HR Settings.,Ustaw domyślny szablon dla opcji Pozostaw powiadomienie o stanie w Ustawieniach HR.
Student Report Card,Karta raportu studenta
Nature Of Supplies,Natura dostaw
Last Sync Datetime,Ostatnia synchronizacja danych
Code {0} already exist,Kod {0} już istnieje
Based On Payment Terms,Na podstawie warunków płatności
This value is updated in the Default Sales Price List.,Ta wartość jest aktualizowana w domyślnym cenniku sprzedaży.
Special Test Template,Specjalny szablon testowy
Create Variants,Utwórz warianty
Default Expense Account,Konto wydatków domyślnych
Please setup Students under Student Groups,Proszę ustawić Studentów w Grupach Uczniów
Taxable Amount,Kwota podlegająca opodatkowaniu
Lead Owner,Główny właściciel
Transfer,Transfer
Search Item (Ctrl + i),Szukaj przedmiotu (Ctrl + i)
{0} Result submittted,{0} Wynik przesłany
Supplier of Goods or Services.,Dostawca towarów lub usług.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,Nazwa nowego konta. Uwaga: nie twórz kont dla klientów i dostawców
Student Group or Course Schedule is mandatory,Grupa studentów lub harmonogram zajęć jest obowiązkowa
Sales Tax Template,Szablon podatku od sprzedaży
Routing,Routing
Payment Reconciliation,Uzgodnienie płatności
Match non-linked Invoices and Payments.,Dopasuj niepowiązane faktury i płatności.
Opening Balances,Salda otwarcia
PAN,PATELNIA
Operation Cost,Koszt operacji
Name of Beneficiary,Imię beneficjenta
New Address,Nowy adres
"Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \
				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies",Firmy zależne zaplanowały już {1} oferty pracy o budżecie {2}. Plan kadrowy dla {0} powinien przeznaczyć więcej wolnych miejsc pracy i budżetu na {3} niż planowano dla spółek zależnych
From BOM,Z BOM
Student Applicant,Wnioskodawca
Leave Balance Before Application,Pozostaw wagę przed aplikacją
Expiry date is mandatory for selected item,Data ważności jest obowiązkowa dla wybranej pozycji
Default Target Warehouse,Domyślny magazyn docelowy
Show Salary Slip,Pokaż pensję wynagrodzenia
Percentage Allocation should be equal to 100%,Przydział procentowy powinien być równy 100%
UOM Conversion Factor,Współczynnik konwersji UOM
Stock cannot be updated against Purchase Receipt {0},Nie można zaktualizować zapasu przed pokwitowaniem zakupu {0}
Item Row {0}: {1} {2} does not exist in above '{1}' table,Wiersz pozycji {0}: {1} {2} nie istnieje w powyższej tabeli „{1}”
2 Yearly,2 rocznie
Guardian Student,Guardian Student
Please add a Temporary Opening account in Chart of Accounts,Dodaj konto tymczasowego otwierania w planie kont
Include in gross,Uwzględnij w brutto
Select Serial Numbers,Wybierz numery seryjne
UOMs,UOM
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},Wiersz {0}: Party / konto nie pasuje do {1} / {2} w {3} {4}
Invalid reference {0} {1},Nieprawidłowe odwołanie {0} {1}
Corrective/Preventive,Korygujące / zapobiegawcze
Work In Progress,Praca w toku
Account Currency,Waluta konta
credit_note_amt,credit_note_amt
Action Name,Nazwa działania
Health Insurance,Ubezpieczenie zdrowotne
Max Strength,Maksymalna siła
Duplicate customer group found in the cutomer group table,Zduplikowana grupa klientów znaleziona w tabeli grup cutomerów
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Urlopu nie można zastosować / anulować przed {0}, ponieważ saldo urlopu zostało już przeniesione w przyszłym rekordzie alokacji urlopów {1}"
Min Amount,Min. Kwota
Rate With Margin (Company Currency),Stawka z marżą (waluta firmy)
Follow Up,Zagryźć
Shipping Country,Kraj wysyłki
Track this Delivery Note against any Project,Śledź tę notatkę dostawy w odniesieniu do dowolnego projektu
Default Payroll Payable Account,Domyślne konto płatnych płac
Update Schedule,Aktualizuj harmonogram
Updating estimated arrival times.,Aktualizowanie szacowanych czasów przyjazdu.
Finance Book Detail,Szczegóły książki finansowej
Serial No {0} does not belong to Delivery Note {1},Numer seryjny {0} nie należy do dokumentu dostawy {1}
Please set Tax ID for the customer '%s',Ustaw identyfikator podatkowy dla klienta „% s”
Logo,Logo
Include holidays within leaves as leaves,Uwzględnij wakacje w liściach jako liście
Shift Request,Prośba o zmianę
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Nie można zaznaczyć Wypisanego rekordu pacjenta w szpitalu, istnieją niezapłacone faktury {0}"
Scope,Zakres
Service Stop Date,Data zakończenia usługi
Publish Date,Data publikacji
O+,O +
Work Order,Porządek pracy
Transaction,Transakcja
per hour,na godzinę
This action will stop future billing. Are you sure you want to cancel this subscription?,Ta akcja zatrzyma przyszłe rozliczenia. Czy na pewno chcesz anulować tę subskrypcję?
State/UT Tax,Podatek stanowy / UT
Scorecards,Karty wyników
Projected Quantity as Source,Przewidywana ilość jako źródło
Parent Supplier Group,Grupa dostawców macierzystych
Rows with duplicate due dates in other rows were found: {0},Znaleziono wiersze o zduplikowanych terminach w innych wierszach: {0}
EDU-FEE-.YYYY.-,EDU-FEE-.YYYY.-
Chart Of Accounts Template,Szablon planu kont
Lead,Prowadzić
KRA,KRA
Setup Institution,Instytucja konfiguracji
Salary Register,Rejestr wynagrodzeń
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent","W przypadku programu wielowarstwowego klienci będą automatycznie przypisywani do danego poziomu, jak na ich wydane"
Posting Date,Data wysłania
Attendance From Date,Obecność od daty
Program in the Fee Structure and Student Group {0} are different.,Program w strukturze opłat i grupie studentów {0} jest inny.
GST Summary,Podsumowanie GST
Make Academic Term Mandatory,Obowiązkowe określenie terminu akademickiego
Odometer Value (Last),Wartość licznika kilometrów (ostatni)
Transfer an asset from one warehouse to another,Przenieś aktywa z jednego magazynu do drugiego
Seating Capacity,Liczba miejsc
Employee Benefit Application Detail,Szczegóły dotyczące aplikacji świadczeń pracowniczych
Employee {0} has already applied for {1} between {2} and {3} : ,Pracownik {0} złożył już wniosek o {1} między {2} a {3}:
Capital Work In Progress Account,Konto kapitałowe w toku
Benefit Type and Amount,Rodzaj i kwota świadczenia
Please set default payable account for the company {0},Ustaw domyślne konto płatne dla firmy {0}
Holiday List,Lista świąteczna
Total Time in Mins,Całkowity czas w minutach
Shipping Amount,Kwota wysyłki
Total Absent,Całkowity nieobecny
Reference Inv,Nr referencyjny
Row {0}: {1} is required to create the Opening {2} Invoices,Wiersz {0}: {1} jest wymagany do utworzenia Otwarcia {2} Faktur
Is Company Account,Czy konto firmowe
Do you want to notify all the customers by email?,Czy chcesz powiadomić wszystkich klientów e-mailem?
Sales,Obroty
Tongue,Język
Excise Entry,Wpis akcyzowy
Clear filters,Wyczyść filtry
In Transit,W tranzycie
Barcode {0} is not a valid {1} code,Kod kreskowy {0} nie jest prawidłowym kodem {1}
Balance for Account {0} must always be {1},Saldo konta {0} musi zawsze wynosić {1}
Invalid Blanket Order for the selected Customer and Item,Invalid Blanket Order dla wybranego klienta i przedmiotu
"If enabled, system will create the work order for the exploded items against which BOM is available.","Jeśli ta opcja jest włączona, system utworzy zlecenie pracy dla rozstrzelonych elementów, dla których dostępna jest LM."
Product Bundle,Pakiet produktów
New Exchange Rate,Nowy kurs wymiany
Open To Do,Otwórz do zrobienia
Receiver List is empty. Please create Receiver List,Lista odbiorców jest pusta. Utwórz listę odbiorców
Current Liabilities,Zobowiązania bieżące
ERPNext Demo,Demo ERPNext
Other Risk Factors,Inne czynniki ryzyka
To Range,Do zasięgu
{0} applicable after {1} working days,{0} ma zastosowanie po {1} dniach roboczych
Task Description,Opis zadania
SWIFT Number,Numer swift
Show Payment Schedule in Print,Pokaż harmonogram płatności w druku
Apply Tax Withholding Amount,Zastosuj kwotę potrącenia podatku
Supplier Scorecard Standing,Stała karta wyników dostawcy
Quality Inspection Reading,Czytanie inspekcji jakości
Valid number of days,Ważna liczba dni
material_request_item,material_request_item
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
Custom Signature in Print,Niestandardowy podpis w druku
Procedures,Procedury
Open Issues,Otwarte kwestie
Series for Asset Depreciation Entry (Journal Entry),Seria do amortyzacji aktywów (wpis do dziennika)
Occupancy Status,Status obłożenia
Privilege Leave,Urlop uprzywilejowany
Current Invoice End Date,Aktualna data zakończenia faktury
Collected Time,Czas zebrania
Please select BOM for Item in Row {0},Wybierz BOM dla pozycji w wierszu {0}
Expense Approver,Zatwierdzający wydatki
New Transactions,Nowe transakcje
Payable Amount,Kwota do zapłaty
All Supplier Contact,Cały kontakt z dostawcą
Quotation {0} not of type {1},Oferta {0} nie typu {1}
Leave Type {0} is not encashable,Pozostaw typ {0} nie jest możliwy do szyfrowania
Fulfilment Status,Status realizacji
Unsubscribe from this Email Digest,Anuluj subskrypcję tego e-maila
{0} {1} created,{0} {1} utworzone
Person Responsible,Osoba odpowiedzialna
Asset Category,Kategoria aktywów
Limit Percent,Limit procentowy
Cash Flow Mapping Accounts,Konta mapowania przepływów pieniężnych
Select Serial No,Wybierz Nr seryjny
Sales Return,Zwrot sprzedaży
No record found,Nie znaleziona nagrania
Expense Approvers,Osoby zatwierdzające wydatki
Group same items,Grupuj te same elementy
Parent Company,Przedsiębiorstwo macierzyste
