Pension Funds,የጡረታ ፈንዶች
Supplier Scorecard Scoring Criteria,የአምራች ውጤት መስጫ የማጣሪያ መስፈርት
Stock,አክሲዮን
Receipt Document Type,ደረሰኝ ሰነድ አይነት
Classification of Customers by region,ደንበኞችን በክፍል ደረጃ መስጠት
Billable,የሚከፈልበት
Government,መንግስት
"Create Employee records to manage leaves, expense claims and payroll","ቅጠሎችን, የክፍያ ጥያቄዎችን እና የደመወዝ ክፍያዎችን ለመቆጣጠር የሰራተኛ ሪኮርድን ይፍጠሩ"
Point-of-Sale,የሽያጭ ቦታ
User {0} is already assigned to Healthcare Practitioner {1},ተጠቃሚ {0} አስቀድሞ ለጤና እንክብካቤ ተቆጣጣሪ {1} ተመድቦለታል
Standard Buying,መደበኛ ግዢ
Apprentice,ተለማማጅ
Add Timesheets,የጊዜ ሰሌዳዎችን ያክሉ
"Number of new Account, it will be included in the account name as a prefix","የአዲሱ መለያ ቁጥር, እንደ &quot;ቅድመ-ቅጥያ&quot; በመለያው ስም ውስጥ ይካተታል"
Supplier Warehouse mandatory for sub-contracted Purchase Receipt,ለንዑስ ኮንትራክተሩ ደረሰኝ አስገቢው የመጋዘን አቅራቢ
Please enter Preferred Contact Email,እባክዎን ተመራጭ የኢሜይል አድራሻ ያስገቡ
Normal,መደበኛ
Customer POS Id,የደንበኛ POS እቁ
Weight Per Unit,ክብደት በያንዳንዱ
Child nodes can be only created under 'Group' type nodes,የልጆች ምሰሶዎች በ &quot;ቡድን&quot; ምድራዊ ሥፍራዎች ብቻ ሊፈጥሩ ይችላሉ
(including),(ጨምሮ)
Requested,ተጠይቋል
Item {0} is not a stock Item,እቃ {0} የአክሲዮን ዕቃ አይደለም
Multi Currency,ብዙ ምንዛሬ
Write Off Difference Amount,የተለያየ መጠን ይጻፉ
Item {0} is disabled,ንጥል {0} ቦዝኗል
Last Completion Date,መጨረሻ የተጠናቀቀበት ቀን
Fulfillment,ፍጻሜ
"The task has been enqueued as a background job. In case there is any issue on processing in background, the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage","ስራው እንደ ዳራ ሥራ እንዲሰላሰል ተደርጓል. በጀርባ ማቀናበር ላይ ችግር ካለ, ስርዓቱ በዚህ ስኬት አመክንዮ ላይ ስሕተት አስተያየት ያክሉ እንዲሁም ወደ ረቂቅ ደረጃ ይመለሱ."
Total Order Considered,ጠቅላላ ትዕዛዝ ተጠባባቂ ነው
Optimize Route,መስመርን ያመቻቹ
Discount Percentage can be applied either against a Price List or for all Price List.,የቅናሽ ዋጋ መቶኛ በማንኛውም የዋጋ ዝርዝር ወይም ለሁሉም የዋጋ ዝርዝር ይሠራል.
Trainer Email,የአሰልጣኝ ኢሜል
Get from Patient Encounter,ከታካሚ ጉብኝቱ ያግኙ
Software Developer,ሶፍትዌር ገንቢ
Sample Collection,የናሙና ስብስብ
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',እባክዎን &#39;ስልጠና ግብረመልስና&#39; እና &#39;አዲስ&#39; ላይ ጠቅ በማድረግ ግብረመልስዎን ወደ ስልጠና ያጋሩት.
Connecting to QuickBooks,ወደ QuickBooks በማገናኘት ላይ
Enrolling student,ተማሪውን መመዝገብ
Claimed,ይገባኛል ጥያቄ የቀረበበት
Leaves,ቅጠል
Salary breakup based on Earning and Deduction.,በገንዘብ አያያዝ እና ተቀባዮች ላይ የተመሠረተ የደመወዝ ክፍያ.
Salary Structure Missing,የደመወዝ ጭብጥ ይጎድላል
Action Field,የእርምጃ መስክ
Quotation Trends,የቅስጥ አዝማሚያዎች
Connect Amazon with ERPNext,Amazon ን ከ ERPNext ጋር ያገናኙ
Response and Resolution Time,ምላሽ እና ጥራት ሁነታ
Collection Tier,የስብስብ ደረጃ
Guardian Of ,የ Guardian Of
Payment Gateway Details,የክፍያ በርዕስ ዝርዝሮች
Website Warehouse,የድርጣቢያ መጋዘን
Rate With Margin,በሊነል ደረጃ ይስጡ
Salary Structure must be submitted before submission of Tax Ememption Declaration,የደመወዝ ጭነት መዋቅሩ የግብር ማቅረቢያ መግለጫ ከመግባቱ በፊት መቅረብ አለበት
Add Leads,መርጃዎችን አክል
Reserve Warehouse,የመጠባበቂያ ክምችት
Payment Term Name,የክፍያ ስም ስም
No Permission,ፈቃድ የለም
Select Company...,ኩባንያ ይምረጡ ...
Use Naming Series,ስም መስጠት ስሞችን ተጠቀም
Formula,ፎርሙላ
Action if Accumulated Monthly Budget Exceeded on Actual,የተጠናከረ ወርሃዊ በጀት ከተከፈለ
Allow Encashment,ማስመጣትን ፍቀድ
Project activity / task.,የፕሮጀክት እንቅስቃሴ / ተግባር.
Bank Statement Transaction Invoice Item,የባንክ የሂሳብ ግብይት ደረሰኝ አይነት
Total Operating Cost,ጠቅላላ የመክፈያ ወጪ
Employee Onboarding Template,Employee Onboarding Template
Same Item,ተመሳሳይ ንጥል
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions","የአንድ ነጋዴ ግብይት መጠን ከፍተኛውን የተፈቀደ መጠን ይለጣል, ግብይቱን በመከፋፈል የተለየ የክፍያ ትዕዛዝ ይፍጠሩ"
Salary Slips Created,ደመወዝ ሠሌዳዎች ተፈጥሯል
Lab Test(s) ,የቤተ ሙከራ ሙከራ (ዎች)
Party Details,የድግስ ዝርዝሮች
Cost of Purchased Items,የወጪ እቃዎች ወጪ
All communications including and above this shall be moved into the new Issue,እነዚህን ጨምሮ ጨምሮ ሁሉም ግንኙነቶች ወደ አዲሱ ጉዳይ ይንቀሳቀሳሉ
Material Consumption for Manufacture,ለመግጫ ቁሳቁሶች
Table for Item that will be shown in Web Site,በድረ ገጽ የሚታዩ ሰንጠረዥ
Restaurant Menu,የምግብ ቤት ምናሌ
Purpose,ዓላማ
Salary Structure Assignment for Employee already exists,ለሰራተኛ የደመወዝ ትስስር ምደባ ቀድሞውኑ ይገኛል
Service Unit,የአገልግሎት ክፍል
Identification Document Number,የማረጋገጫ ሰነድ ቁጥር
Additional Costs,ተጨማሪ ወጭዎች
"Parent Course (Leave blank, if this isn't part of Parent Course)",የወላጅ ኮርስ (የወላጅ ኮርሱ አካል ካልሆነ ባዶ ይተውት)
Employee Education,የሰራተኞች ትምህርት
Number of positions cannot be less then current count of employees,የቦታው ብዛት በቁጥር አነስተኛ ከሆነ የሠራተኞች ብዛት
All Customer Groups,ሁሉም የሽያጭ ቡድኖች
Buying Price List,የዋጋ ዝርዝርን በመግዛት ላይ
Finished Good Item Code,መልካም የንጥል ህግ ተጠናቋል
Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,ለ {0} በርካታ የበጀት ዓመታት አሉ. እባኮን በፋሲካ ዓመታዊ ዓመት ውስጥ ያዘጋጁ
Available for use date is required,ለመጠቀም ቀን ይገኛል
Training Date,የስልጠና ቀን
Reading Uploaded File,የተጫነ ፋይልን ማንበብ
Material Request,Material Request
Total Allocated Amount (Company Currency),ጠቅላላ ድጐማ (የኩባንያው የገንዘብ ምንዛሬ)
Restaurant Order Entry Item,የምግብ ቤት ዕቃ ማስገቢያ ንጥል
Distance,ርቀት
Get financial breakup of Taxes and charges data by Amazon ,የፋይናንስ ክፍያን እና የአቅርቦት ውሂብ በአማዞን ያግኙ
Mileage,ኪሎጅ
"For an item {0}, quantity must be positive number","ለንጥል {0}, ቁጥሩ አዎንታዊ ቁጥር መሆን አለበት"
Item Cart,የእቃ ዕቃ ዝርዝር
Payment Entries {0} are un-linked,የክፍያ ምዝገባዎች {0} አልተገናኙም
Open Notifications,ማሳወቂያዎችን ክፈት
Successfully created payment entries,የክፍያ ግብዓቶችን በተሳካ ሁኔታ ፈጥሯል
Mg/K,Mg / K
Has Serial No,Serial No
Manufacturing User,የማምረቻ ተጠቃሚ
Ledger,Ledger
Loan,ብድር
Fuel UOM,ነዳጅ UOM
Support,ድጋፍ
Invalid Company for Inter Company Transaction.,ልክ ያልሆነ ኩባንያ ለድርጅት ድርጅት የገንዘብ ልውውጥ.
Fixed Asset Depreciation Settings,ቋሚ የንብረት አፈፃፀም ቅንብሮች
Department and Grade,መምሪያ እና ክፍል
Cheques Required,ቼኮች አስፈላጊ ናቸው
Do Not Contact,አያነጋግሩ
Update Billed Amount in Sales Order,በሽያጭ ትእዛዝ ውስጥ የተከፈለ ሂሳብ ያዘምኑ
Meal Preference,የምግብ ምርጫ
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",ከፍተኛ ቅደም ተከተል ያላቸው በርካታ የዋጋ አሰጣጥ ደንቦች ቢኖሩም ውስጣዊ ቅድሚያዎችን መከተል ይመረጣል.
Employee {0} is not active or does not exist,ተቀጣሪ {0} ገባሪ አይደለም ወይም የለም
List of all share transactions,የሁሉም የገበያ ግብይቶች ዝርዝር
Sales Defaults,የሽያጭ ነባሪዎች
Overlap in scoring between {0} and {1},በ {0} እና በ {1} መካከል በማቀናበር በኩል ይደራረቡ
Weightage,ክብደት
Create New Payment/Journal Entry,አዲስ ክፍያ / የጆርናል ምዝገባ ይፍጠሩ
HR-ATT-.YYYY.-,ሃ-ኤቲ-ያህዌ-
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",ከላይ በተጠቀሱት ሁኔታዎች ላይ ተመስርተው ሁለት ወይም ከዚያ በላይ የሆኑ የዋጋ አሰጣጥ ደንቦች ከተገኙ ቅድሚያ ተተክቷል. ቅድሚያ መስጠት ከ 0 እስከ 20 ባለው ውስጥ ያለው ቁጥር ሲሆን ነባሪ እሴቱ ዜሮ (ባዶ). ከፍ ያለ ቁጥር ማለት ተመሳሳይ ሁኔታዎችን የሚያካትቱ ብዙ የዋጋ አሰጣጥ ደንቦች ቢኖሩ ይመረጣል.
Row {0}: Qty is mandatory,ረድፍ {0}: ቁጥሮች ግዴታ ነው
Against Income Account,የገቢ አካውንትን በተመለከተ
Row #{0}: Purchase Invoice cannot be made against an existing asset {1},ረድፍ # {0}: የግዢ ደረሰኝ በአንድ ነባር ንብረት ላይ ሊሠራ አይችልም {1}
UOM coversion factor required for UOM: {0} in Item: {1},የ UOM ተደራራቢ ሒሳብ ለ UOM ያስፈልገዋል: {0} በንጥል {1} ውስጥ
Please enter quantity for Item {0},እባክዎ ለንጥል ብዛት {0} ያስገቡ
Electricity Cost,የኤሌክትሪክ ዋጋ
Vehicle Service,የተሽከርካሪ አገልግሎት
Making Stock Entries,የግብአት ምዝገባዎችን በማዘጋጀት ላይ
Fixed Deposit Number,የተወሰነ የንብረት ቆጠራ ቁጥር
Very Coated,በጣም የቆየ
Initial Email Notification Sent,የመጀመሪያ ኢሜይል ማሳወቂያ ተላከ
For Warehouse,ለመጋዘን
"{0}: Employee email not found, hence email not sent","{0}: የተቀጣሪ ኢሜይል አልተገኘም, ስለዚህ ኢሜይል አልተላከም"
From Currency,ከዋጋ
Return / Debit Note,ተመላሽ / ዕዳ ማስታወሻ
"Order in which sections should appear. 0 is first, 1 is second and so on.","የትኞቹ ክፍሎች እንዲታዩበት ቅደም ተከተል. 0 መጀመሪያ ነው, 1 ሰከንድ እና የመሳሰሉት."
Create Sales Orders to help you plan your work and deliver on-time,ስራዎን እንዲያቅዱ እና በሰዓቱ እንዲደርሱ ለመርዳት የሽያጭ ትዕዛዞችን ይፍጠሩ
Something went wrong!,የሆነ ስህተት ተከስቷል!
Please select Healthcare Service,የጤና እንክብካቤ አገልግሎትን እባክዎ ይምረጡ
Apply / Approve Leaves,Apply / Approve Leaves
Applies to Company,ለኩባንያው ይተገበራል
Row {0}: Bill of Materials not found for the Item {1},ረድፍ {0}: ለእዚህ ንጥል {1} አልተገኘም.
Account Info,የመለያ መረጃ
Abbreviation,ምህፃረ ቃል
Purchase Orders to Bill,ለግል ክፍያ ትዕዛዞችን ይግዙ
Total Net Weight,ጠቅላላ የተጣራ ክብደት
Approving Role (above authorized value),ድርሻ ማፅደቅ (ከተፈቀደ ዋጋ በላይ)
HR-EAD-.YYYY.-,ሃ-ኤድ-ያዮይሂ.-
Resume Attachment,ዓባሪን ከቆመበት ቀጥል
Agriculture Manager,የግብርና ሥራ አስኪያጅ
Batch Entries,Batch Entries
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,እባክዎ በትዕዛዝ ትዕዛዝ እና በተጨባጭ ወጪዎች ላይ ተፈፃሚነት እንዲኖረው ያድርጉ
Gain/Loss on Asset Disposal,የንብረት ማስወገጃ ንብረትን / ንብረትን መቀነስ / ማጣት
Total Payment,ጠቅላላ ክፍያ
Total Number of Depreciations,የአፈጻጸም ጠቅላላ ብዛት
Fully Depreciated,ሙሉ በሙሉ ተሻሽሏል
Creating Accounts,መለያዎችን በመፍጠር ላይ
Item Variant Settings,የንጥል ልዩነት ቅንብሮች
Supplier Group Name,የአቅራቢ የቡድን ስም
Sales Price List,የሽያጭ ዋጋ ዝርዝር
How frequently?,ምን ያህል ጊዜ ነው?
Supplier Warehouse,የሱቅ መጋዘን
Only Tax Impact (Cannot Claim But Part of Taxable Income),የግብር ማስከፈል ኃላፊነት ብቻ (ታክስ የሚከፈል ገቢ አካል ሊሆን አይችልም)
Purchase Defaults,የግዢ ነባሪዎች
Contract Template,የውጤት አብነት
Serial No {0} does not belong to Batch {1},Serial No {0} የቡድን {1} አይደለም
Pending Leaves,በመጠባበቅ ላይ ያሉ ቅጠል
Applied,ተተግብሯል
Consumption Details,የጭነት አጠቃቀም ዝርዝሮች
Loading Payment System,የክፍያ ስርዓት በመጫን ላይ
Maximum Assessment Score,ከፍተኛ የተገመተ ነጥብ ውጤት
Please set default template for Leave Status Notification in HR Settings.,እባክዎ በ HR ቅንብሮች ውስጥ ለመልቀቅ የአቋም መለያን ያዘጋጁ.
Student Report Card,የተማሪ ሪፖርት ካርድ
Nature Of Supplies,የችግሮች አይነት
Last Sync Datetime,የመጨረሻ የተመሳሰለ ጊዜ
Code {0} already exist,ኮድ {0} አስቀድሞም ይገኛል
Based On Payment Terms,በክፍያ ውሎች ላይ ተመስርቶ
This value is updated in the Default Sales Price List.,ይህ ዋጋ በነባሪው የሽያጭ ዋጋ ዝርዝር ውስጥ ይዘምናል.
Special Test Template,ልዩ የፍተሻ አብነት
Create Variants,ዘይቤዎችን ይፍጠሩ
Default Expense Account,ነባሪ የፍጆታ መለኪያ
Please setup Students under Student Groups,እባክዎ ተማሪዎች በተማሪዎች ቡድኖች ውስጥ ያዋቅሯቸው
Taxable Amount,ግብር የሚከፈልበት መጠን
Lead Owner,መሪ
Transfer,ዝውውር
Search Item (Ctrl + i),ፈልግ ንጥል (Ctrl + i)
{0} Result submittted,{0} ውጤት ተገዝቷል
Supplier of Goods or Services.,የዕቃ ዕቃዎች ወይም አገልግሎቶች አቅራቢ.
Name of new Account. Note: Please don't create accounts for Customers and Suppliers,የአዲስ መለያ ስም. ማሳሰቢያ-እባክዎ ለደንበኞች እና አቅራቢዎች መለያ አይፍጠሩ
Student Group or Course Schedule is mandatory,የተማሪ ቡድን ወይም የኮርሱ ግዜ ግዴታ ነው
